county,office,district,candidate,party,precinct,early_voting,election_day,votes
Zavala,U. S. Senator,,Edward Wayne Kimbrough,DEM,1,7,34,41
Zavala,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,1,45,83,128
Zavala,U. S. Senator,,Robert Francis O'Rourke,DEM,1,16,35,51
Zavala,U. S. Senator,,Edward Wayne Kimbrough,DEM,1A,5,9,14
Zavala,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,1A,58,90,148
Zavala,U. S. Senator,,Robert Francis O'Rourke,DEM,1A,22,41,63
Zavala,U. S. Senator,,Edward Wayne Kimbrough,DEM,2,30,69,99
Zavala,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,2,162,308,470
Zavala,U. S. Senator,,Robert Francis O'Rourke,DEM,2,64,140,204
Zavala,U. S. Senator,,Edward Wayne Kimbrough,DEM,3,31,53,84
Zavala,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,3,126,237,363
Zavala,U. S. Senator,,Robert Francis O'Rourke,DEM,3,47,82,129
Zavala,U. S. Senator,,Edward Wayne Kimbrough,DEM,4,19,54,73
Zavala,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,4,83,167,250
Zavala,U. S. Senator,,Robert Francis O'Rourke,DEM,4,40,89,129
Zavala,U. S. Senator,,Edward Wayne Kimbrough,DEM,4A,13,23,36
Zavala,U. S. Senator,,Irasema Ramirez-Hernandez,DEM,4A,40,86,126
Zavala,U. S. Senator,,Robert Francis O'Rourke,DEM,4A,22,43,65
Zavala,Lieutenant Governor,,Michael  Cooper,DEM,1,30,81,111
Zavala,Lieutenant Governor,,Michael Edward Collier,DEM,1,33,60,93
Zavala,Lieutenant Governor,,Michael  Cooper,DEM,1A,43,73,116
Zavala,Lieutenant Governor,,Michael Edward Collier,DEM,1A,24,39,63
Zavala,Lieutenant Governor,,Michael  Cooper,DEM,2,129,244,373
Zavala,Lieutenant Governor,,Michael Edward Collier,DEM,2,84,181,265
Zavala,Lieutenant Governor,,Michael  Cooper,DEM,3,108,202,310
Zavala,Lieutenant Governor,,Michael Edward Collier,DEM,3,62,119,181
Zavala,Lieutenant Governor,,Michael  Cooper,DEM,4,68,146,214
Zavala,Lieutenant Governor,,Michael Edward Collier,DEM,4,44,106,150
Zavala,Lieutenant Governor,,Michael  Cooper,DEM,4A,26,59,85
Zavala,Lieutenant Governor,,Michael Edward Collier,DEM,4A,31,61,92
Zavala,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,1,19,43,62
Zavala,Railroad Commissioner,,Roman James Alfred McAllen,DEM,1,41,94,135
Zavala,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,1A,23,37,60
Zavala,Railroad Commissioner,,Roman James Alfred McAllen,DEM,1A,42,72,114
Zavala,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,2,66,127,193
Zavala,Railroad Commissioner,,Roman James Alfred McAllen,DEM,2,137,278,415
Zavala,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,3,53,98,151
Zavala,Railroad Commissioner,,Roman James Alfred McAllen,DEM,3,107,199,306
Zavala,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,4,38,88,126
Zavala,Railroad Commissioner,,Roman James Alfred McAllen,DEM,4,77,172,249
Zavala,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,4A,12,29,41
Zavala,Railroad Commissioner,,Roman James Alfred McAllen,DEM,4A,44,88,132
