county,precinct,office,district,party,candidate,votes,election_day,early_voting
Floyd,1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",24,8,16
Floyd,1,U.S. Senate,,REP,Over Votes,0,0,0
Floyd,1,U.S. Senate,,REP,Under Votes,19,10,9
Floyd,1,Registered Voters,,REP,,1167,,
Floyd,1,Ballots Cast,,REP,,346,2,200
Floyd,1,U.S. Senate,,REP,Geraldine Sam,5,2,3
Floyd,1,U.S. Senate,,REP,Mary Miller,7,1,6
Floyd,1,U.S. Senate,,REP,Stefano de Stefano,7,2,5
Floyd,1,U.S. Senate,,REP,Ted Cruz,263,112,151
Floyd,1,U.S. House,19,REP,Jodey Arrington,289,118,171
Floyd,1,Governor,,REP,Barbara Krueger,23,5,18
Floyd,1,Governor,,REP,Greg Abbott,278,117,161
Floyd,1,Governor,,REP,SECEDE Kilgore,6,4,2
Floyd,1,Lieutenant Governor,,REP,Dan Patrick,187,76,111
Floyd,1,Lieutenant Governor,,REP,Scott Milder,123,54,69
Floyd,1,Attorney General,,REP,Ken Paxton,265,114,151
Floyd,1,Comptroller of Public Accounts,,REP,Glenn Hegar,253,109,144
Floyd,1,Commissioner of the General Land Office,,REP,Davey Edwards,19,9,10
Floyd,1,Commissioner of the General Land Office,,REP,Jerry Patterson,73,28,45
Floyd,1,Commissioner of the General Land Office,,REP,Rick Range,15,4,11
Floyd,1,Commissioner of the General Land Office,,REP,George P. Bush,179,77,102
Floyd,1,Commissioner of Agriculture,,REP,Trey Blocker,57,25,32
Floyd,1,Commissioner of Agriculture,,REP,Jim Hogan,45,18,27
Floyd,1,Commissioner of Agriculture,,REP,Sid Miller,169,69,100
Floyd,1,Railroad Commissioner,,REP,Weston Martinez,62,23,39
Floyd,1,Railroad Commissioner,,REP,Christi Craddick,196,86,110
Floyd,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,231,98,133
Floyd,1,"Justice, Supreme Court, Place 4",,REP,John Devine,230,96,134
Floyd,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,227,96,131
Floyd,1,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,112,46,66
Floyd,1,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,130,55,75
Floyd,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,219,91,128
Floyd,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,84,31,53
Floyd,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,65,27,38
Floyd,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,80,35,45
Floyd,1,State Representative,68,REP,Drew Springer,257,108,149
Floyd,1,"Justice, 7th Court of Appeals District, Place No. 2",,REP,Judy Parker,230,98,132
Floyd,1,"Justice, 7th Court of Appeals District, Place No. 3",,REP,Pat Pirtle,230,97,133
Floyd,1,"District Judge, 110th Judicial District",,REP,William P. Smith,259,108,151
Floyd,1,County Judge,,REP,Marty C. Lucke,288,120,168
Floyd,1,District Clerk,,REP,Patty Davenport,290,117,173
Floyd,1,County Clerk,,REP,Ginger Morgan,285,111,174
Floyd,1,County Treasurer,,REP,Elva Martinez,150,59,91
Floyd,1,County Treasurer,,REP,Lori Morales,162,69,93
Floyd,1,"Justice of the Peace, Precinct No. 1 and 4",,REP,Tali Jackson,290,116,174
Floyd,1,County Chairman,,REP,Kerry D. Pratt,283,118,165
Floyd,1,U.S. Senate,,DEM,Over Votes,0,0,0
Floyd,1,U.S. Senate,,DEM,Under Votes,3,1,2
Floyd,1,Registered Voters,,DEM,,1167,,
Floyd,1,Ballots Cast,,DEM,,346,6,200
Floyd,1,U.S. Senate,,DEM,Beto O'Rourke,6,6,0
Floyd,1,U.S. Senate,,DEM,Edward Kimbrough,3,2,1
Floyd,1,U.S. Senate,,DEM,Sema Hernandez,6,2,4
Floyd,1,U.S. House,19,DEM,Miguel Levario,14,10,4
Floyd,1,Governor,,DEM,Lupe Valdez,5,3,2
Floyd,1,Governor,,DEM,Tom Wakely,1,1,0
Floyd,1,Governor,,DEM,Andrew White,4,4,0
Floyd,1,Governor,,DEM,Jeffrey Payne,1,0,1
Floyd,1,Governor,,DEM,Joe Mumbach,0,0,0
Floyd,1,Governor,,DEM,Grady Yarbrough,1,1,0
Floyd,1,Governor,,DEM,James Jolly Clark,1,0,1
Floyd,1,Governor,,DEM,"Cedric Davis, Sr.",0,0,0
Floyd,1,Governor,,DEM,Adrian Ocegueda,1,1,0
