county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail
Lee,101,Straight Party,,REP,Republican,361,131,207,23
Lee,101,Straight Party,,DEM,Democratic,165,78,79,8
Lee,101,Straight Party,,LIB,Libertarian,4,2,2,0
Lee,101,U.S. Senate,,REP,Ted Cruz,608,223,355,30
Lee,101,U.S. Senate,,DEM,Beto O'Rourke,254,109,123,22
Lee,101,U.S. Senate,,LIB,Neal M. Dikeman,6,4,2,0
Lee,101,U.S. House,10,REP,Michael T. McCaul,614,230,356,28
Lee,101,U.S. House,10,DEM,Mike Siegel,230,98,112,20
Lee,101,U.S. House,10,LIB,Mike Ryan,16,6,9,1
Lee,101,Governor,,REP,Greg Abbott,635,238,367,30
Lee,101,Governor,,DEM,Lupe Valdez,223,96,105,22
Lee,101,Governor,,LIB,Mark Jay Tippetts,7,2,5,0
Lee,101,Lt. Governor,,REP,Dan Patrick,585,214,342,29
Lee,101,Lt. Governor,,DEM,Mike Collier,264,115,128,21
Lee,101,Lt. Governor,,LIB,K. Douglas McKennon,16,7,8,1
Lee,101,Attorney General,,REP,Ken Paxton,577,210,338,29
Lee,101,Attorney General,,DEM,Justin Nelson,260,112,128,20
Lee,101,Attorney General,,LIB,Michael Ray Harris,19,11,6,2
Lee,101,Comptroller Public Accts,,REP,Glenn Hegar,616,229,357,30
Lee,101,Comptroller Public Accts,,DEM,Joi Chevalier,226,98,108,20
Lee,101,Comptroller Public Accts,,LIB,Ben Sanders,20,8,11,1
Lee,101,Commissioner Gen Land Office,,REP,George P. Bush,613,230,354,29
Lee,101,Commissioner Gen Land Office,,DEM,Miguel Suazo,225,98,106,21
Lee,101,Commissioner Gen Land Office,,LIB,Matt Pina,21,7,13,1
Lee,101,Commissioner of Agriculture,,REP,Sid Miller,590,217,345,28
Lee,101,Commissioner of Agriculture,,DEM,Kim Olson,248,108,118,22
Lee,101,Commissioner of Agriculture,,LIB,Richard Carpenter,16,8,7,1
Lee,101,Railroad Commissioner,,REP,Christi Craddick,590,222,340,28
Lee,101,Railroad Commissioner,,DEM,Roman McAllen,231,99,113,19
Lee,101,Railroad Commissioner,,LIB,Mike Wright,31,13,14,4
Lee,101,"Justice, Supreme Court P2",,REP,Jimmy Blacklock,600,225,346,29
Lee,101,"Justice, Supreme Court P2",,DEM,Steven Kirkland,245,104,120,21
Lee,101,"Justice, Supreme Court P4",,REP,John Devine,602,226,347,29
Lee,101,"Justice, Supreme Court P4",,DEM,R.K. Sandill,239,102,116,21
Lee,101,"Justice, Supreme Court P6",,REP,Jeff Brown,596,221,346,29
Lee,101,"Justice, Supreme Court P6",,DEM,Kathy Cheng,243,108,115,20
Lee,101,Presiding Criminal Appeals,,REP,Sharon Keller,592,218,345,29
Lee,101,Presiding Criminal Appeals,,DEM,Maria T. Jackson,239,106,113,20
Lee,101,Presiding Criminal Appeals,,LIB,William Strange III,14,6,8,0
Lee,101,"Judge, Court of Criminal Appeals P7",,REP,B. Parker Hervey,607,225,352,30
Lee,101,"Judge, Court of Criminal Appeals P7",,DEM,Ramona Franklin,231,103,110,18
Lee,101,"Judge, Court of Criminal Appeals P8",,REP,Michelle Slaughter,621,236,355,30
Lee,101,"Judge, Court of Criminal Appeals P8",,LIB,Mark Ash,119,50,51,18
Lee,101,State Representative,17,REP,John P. Cyrier,624,234,363,27
Lee,101,State Representative,17,DEM,Michelle Ryan,227,100,109,18
Lee,101,Justice Court of Appeals D3 P2,,REP,C. Olson Bourland,597,222,351,24
Lee,101,Justice Court of Appeals D3 P2,,DEM,Edward Smith,237,104,111,22
Lee,101,Justice Court of Appeals D3 P3,,REP,Scott Field,599,223,350,26
Lee,101,Justice Court of Appeals D3 P3,,DEM,Chari Kelly,238,106,114,18
Lee,101,Justice Court of Appeals D3 P5,,REP,David Puryear,601,225,350,26
Lee,101,Justice Court of Appeals D3 P5,,DEM,Thomas J. Baker,236,104,113,19
Lee,101,Justice Court of Appeals D3 P6,,DEM,Gisela D. Triana,236,104,112,20
Lee,101,Justice Court of Appeals D3 P6,,NP,Kerry O'Brien,0,0,0,0
Lee,101,Justice Court of Appeals D3 P6,,NP,Write-in 30,0,0,0,0
Lee,101,County Judge,,REP,Paul E Fischer,712,279,399,34
Lee,101,District Clerk,,REP,Lisa Teinert,711,274,403,34
Lee,101,County Clerk,,REP,Sharon Blasig,707,272,401,34
Lee,101,County Treasurer,,REP,Melinda Krause,698,270,394,34
Lee,101,Justice Peace P2,,REP,Michael York,712,275,403,34
Lee,102,Straight Party,,REP,Republican,43,15,26,2
Lee,102,Straight Party,,DEM,Democratic,43,19,18,6
Lee,102,Straight Party,,LIB,Libertarian,0,0,0,0
Lee,102,U.S. Senate,,REP,Ted Cruz,72,25,43,4
Lee,102,U.S. Senate,,DEM,Beto O'Rourke,61,23,28,10
Lee,102,U.S. Senate,,LIB,Neal M. Dikeman,0,0,0,0
Lee,102,U.S. House,10,REP,Michael T. McCaul,71,25,43,3
Lee,102,U.S. House,10,DEM,Mike Siegel,60,22,27,11
Lee,102,U.S. House,10,LIB,Mike Ryan,0,0,0,0
Lee,102,Governor,,REP,Greg Abbott,74,26,44,4
Lee,102,Governor,,DEM,Lupe Valdez,59,21,28,10
Lee,102,Governor,,LIB,Mark Jay Tippetts,0,0,0,0
Lee,102,Lt. Governor,,REP,Dan Patrick,69,25,40,4
Lee,102,Lt. Governor,,DEM,Mike Collier,63,23,30,10
Lee,102,Lt. Governor,,LIB,K. Douglas McKennon,2,0,2,0
Lee,102,Attorney General,,REP,Ken Paxton,70,23,43,4
Lee,102,Attorney General,,DEM,Justin Nelson,60,22,28,10
Lee,102,Attorney General,,LIB,Michael Ray Harris,3,2,1,0
Lee,102,Comptroller Public Accts,,REP,Glenn Hegar,70,23,44,3
Lee,102,Comptroller Public Accts,,DEM,Joi Chevalier,60,22,28,10
Lee,102,Comptroller Public Accts,,LIB,Ben Sanders,1,1,0,0
Lee,102,Commissioner Gen Land Office,,REP,George P. Bush,73,25,44,4
Lee,102,Commissioner Gen Land Office,,DEM,Miguel Suazo,58,21,27,10
Lee,102,Commissioner Gen Land Office,,LIB,Matt Pina,1,1,0,0
