county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Red River,2,Straight Party,,REP,Republican Party    REP,161,35,110,16
Red River,2,Straight Party,,DEM,Democratic Party   DEM,79,35,36,8
Red River,2,Straight Party,,LIB,Libertarian Party    LIB,0,0,0,0
Red River,2,U.S. Senate,,REP,Ted Cruz,255,72,155,28
Red River,2,U.S. Senate,,DEM,Beto O'Rourke,115,53,53,9
Red River,2,U.S. Senate,,LIB,Neal M. Dikeman,1,0,1,0
Red River,2,U.S. House,4,REP,John Ratcliffe,255,70,157,28
Red River,2,U.S. House,4,DEM,Catherine Krantz,113,54,50,9
Red River,2,U.S. House,4,LIB,Ken Ashby,2,1,1,0
Red River,2,Governor,,REP,Greg Abbott,255,73,156,26
Red River,2,Governor,,DEM,Lupe Valdez,113,53,51,9
Red River,2,Governor,,LIB,Mark Jay Tippetts,2,0,2,0
Red River,2,Lieutenant Governor,,REP,Dan Patrick,242,70,147,25
Red River,2,Lieutenant Governor,,DEM,Mike Collier,118,53,56,9
Red River,2,Lieutenant Governor,,LIB,Kerry Douglas McKennon,6,1,4,1
Red River,2,Attorney General,,REP,Ken Paxton,245,70,150,25
Red River,2,Attorney General,,DEM,Justin Nelson,118,55,54,9
Red River,2,Attorney General,,LIB,Michael Ray Harris,5,0,4,1
Red River,2,Comptroller of Public Accounts,,REP,Glenn Hegar,247,67,154,26
Red River,2,Comptroller of Public Accounts,,DEM,Joi Chevalier,111,52,50,9
Red River,2,Comptroller of Public Accounts,,LIB,Ben Sanders,7,3,4,0
Red River,2,Commissioner of the General Land Office,,REP,George P. Bush,242,68,148,26
Red River,2,Commissioner of the General Land Office,,DEM,Miguel Suazo,113,50,54,9
Red River,2,Commissioner of the General Land Office,,LIB,Matt Pina,9,4,5,0
Red River,2,Commissioner of Agriculture,,REP,Sid Miller,242,65,152,25
Red River,2,Commissioner of Agriculture,,DEM,Kim Olson,116,54,53,9
Red River,2,Commissioner of Agriculture,,LIB,Richard Carpenter,5,3,2,0
Red River,2,Railroad Commissioner,,REP,Christi Craddick,247,67,154,26
Red River,2,Railroad Commissioner,,DEM,Roman McAllen,112,53,50,9
Red River,2,Railroad Commissioner,,LIB,Mike Wright,6,3,3,0
Red River,2,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,249,67,156,26
Red River,2,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,114,54,51,9
Red River,2,"Justice, Supreme Court, Place 4",,REP,John Devine,252,69,157,26
Red River,2,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,112,53,50,9
Red River,2,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,251,69,156,26
Red River,2,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,114,53,52,9
Red River,2,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,241,62,153,26
Red River,2,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,113,54,50,9
Red River,2,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,9,4,5,0
Red River,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,251,67,158,26
Red River,2,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,113,55,49,9
Red River,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,253,70,158,25
Red River,2,"Judge, Court of Criminal Appeals, Place 8",,LIB,Mark Ash,45,26,18,1
Red River,2,State Representative,1,REP,Gary Van Deaver,280,87,167,26
Red River,2,"Justice, 6th Court of Appeals District, Place No. 2",,REP,Scott Stevens,272,84,163,25
Red River,2,"District Judge, 102nd Judicial District",,REP,Jeff M. Addison,268,82,161,25
Red River,2,County Judge,,REP,L. D. Williamson,273,85,163,25
Red River,2,District Clerk,,DEM,Janice Bivins Gentry,187,86,88,13
Red River,2,County Clerk,,REP,Shawn Sargent Weemes,276,84,167,25
Red River,2,County Treasurer,,REP,Sandra Storey Embrey,268,84,160,24
Red River,2,"County Commissioner, Precinct No. 2",,REP,David Hutson,261,77,159,25
Red River,2,Justice of the Peace ,,REP,Shelley Benton,272,84,164,24
Red River,3,Straight Party,,REP,Republican Party    REP,227,63,152,12
Red River,3,Straight Party,,DEM,Democratic Party   DEM,189,84,101,4
Red River,3,Straight Party,,LIB,Libertarian Party    LIB,0,0,0,0
Red River,3,U.S. Senate,,REP,Ted Cruz,304,90,195,19
Red River,3,U.S. Senate,,DEM,Beto O'Rourke,257,114,133,10
Red River,3,U.S. Senate,,LIB,Neal M. Dikeman,3,3,0,0
Red River,3,U.S. House,4,REP,John Ratcliffe,300,89,193,18
Red River,3,U.S. House,4,DEM,Catherine Krantz,254,116,128,10
Red River,3,U.S. House,4,LIB,Ken Ashby,5,2,2,1
Red River,3,Governor,,REP,Greg Abbott,308,90,199,19
Red River,3,Governor,,DEM,Lupe Valdez,251,113,128,10
Red River,3,Governor,,LIB,Mark Jay Tippetts,2,2,0,0
Red River,3,Lieutenant Governor,,REP,Dan Patrick,293,84,191,18
Red River,3,Lieutenant Governor,,DEM,Mike Collier,262,120,132,10
Red River,3,Lieutenant Governor,,LIB,Kerry Douglas McKennon,5,3,1,1
Red River,3,Attorney General,,REP,Ken Paxton,293,88,188,17
Red River,3,Attorney General,,DEM,Justin Nelson,260,118,131,11
Red River,3,Attorney General,,LIB,Michael Ray Harris,7,1,5,1
Red River,3,Comptroller of Public Accounts,,REP,Glenn Hegar,305,88,198,19
