county,office,candidate,party,precinct,precinct_name,early_voting,election_day,votes,
Hardin,Attorney General,Warren Paxton,REP,12,church of christ kountze,49,48,97,
Hardin,Attorney General,Warren Paxton,REP,13,pete trest building,100,125,225,
Hardin,Attorney General,Warren Paxton,REP,14,pinewood fire station,15,84,99,
Hardin,Attorney General,Warren Paxton,REP,15,sour lake community cente,40,131,171,
Hardin,Attorney General,Warren Paxton,REP,16,parkway life,77,115,192,
Hardin,Attorney General,Warren Paxton,REP,17,pineridge church,18,62,80,
Hardin,Attorney General,Warren Paxton,REP,18,church of christ lumberto,224,323,547,
Hardin,Attorney General,Warren Paxton,REP,19,keith road fire station,17,52,69,
Hardin,Attorney General,Warren Paxton,REP,2,yyafa,123,231,354,
Hardin,Attorney General,Warren Paxton,REP,3,saratoga fire station,25,95,120,
Hardin,Attorney General,Warren Paxton,REP,4,batson baptist church,23,181,204,
Hardin,Attorney General,Warren Paxton,REP,5,thicket fire station,16,92,108,
Hardin,Attorney General,Warren Paxton,REP,6,woodcrest baptist church,120,185,305,
Hardin,Attorney General,Warren Paxton,REP,7,honey island assembly god,42,65,107,
Hardin,Attorney General,Warren Paxton,REP,8,vfw hall,31,63,94,
Hardin,Attorney General,Warren Paxton,REP,9,first assembly church,46,195,241,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,1,courthouse,12,14,26,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,10,st johns episcopal church,20,23,43,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,11,wiley mae church,2,8,10,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,12,church of christ kountze,5,8,13,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,13,pete trest,6,9,15,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,14,pinewood fire station,2,3,5,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,15,sour lake community cente,3,18,21,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,16,parkway church,6,12,18,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,17,pineridge church,4,,4,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,18,church of christ lumberto,34,26,60,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,19,keith road fire station,6,7,13,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,2,yyafa,22,28,50,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,3,saratoga fire station,1,1,2,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,4,first baptist batson,0,3,3,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,5,thicket fire station,0,4,4,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,6,crestwood baptist church,22,33,55,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,7,assembly of god honey isl,0,0,0,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,8,vfw hall village mills,5,6,11,
Hardin,Commissioner of Agriculture,Kimberly Dawn Olson,DEM,9,assembly of god silsbee,18,24,42,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,1,courthouse,28,30,58,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,1,courthouse,26,29,55,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,1,courthouse,13,9,22,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,10,st johns episcopal church,9,14,23,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,10,st johns episcopal church,5,35,40,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,10,st johns episcopal church,1,7,8,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,11,wiley mae church,10,20,30,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,11,wiley mae church,8,24,32,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,11,wiley mae church,7,9,16,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,12,church of christ kountze,21,18,39,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,12,church of christ kountze,18,21,39,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,12,church of christ kountze,11,10,21,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,13,pete trest building,32,51,83,
Hardin,Commissioner of Agriculture,Sidney Miller,REP,13,pete trest building,43,45,88,
Hardin,Commissioner of Agriculture,Trey Blocker,REP,13,pete trest building,18,20,38,
Hardin,Commissioner of Agriculture,Jimmie Hogan,REP,14,pinewood fire station,7,31,38,
