county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional
Bell,101,Registered Voters,,,,6653,,,,
Bell,102,Registered Voters,,,,3149,,,,
Bell,103,Registered Voters,,,,5685,,,,
Bell,104,Registered Voters,,,,7510,,,,
Bell,105,Registered Voters,,,,1607,,,,
Bell,106,Registered Voters,,,,5941,,,,
Bell,107,Registered Voters,,,,591,,,,
Bell,108,Registered Voters,,,,1599,,,,
Bell,109,Registered Voters,,,,3091,,,,
Bell,110,Registered Voters,,,,2990,,,,
Bell,111,Registered Voters,,,,5833,,,,
Bell,113,Registered Voters,,,,291,,,,
Bell,201,Registered Voters,,,,4046,,,,
Bell,202,Registered Voters,,,,6863,,,,
Bell,203,Registered Voters,,,,6757,,,,
Bell,204,Registered Voters,,,,3100,,,,
Bell,205,Registered Voters,,,,5461,,,,
Bell,206,Registered Voters,,,,2015,,,,
Bell,207,Registered Voters,,,,4176,,,,
Bell,208,Registered Voters,,,,7132,,,,
Bell,209,Registered Voters,,,,7997,,,,
Bell,210,Registered Voters,,,,6312,,,,
Bell,301,Registered Voters,,,,3683,,,,
Bell,302,Registered Voters,,,,4382,,,,
Bell,303,Registered Voters,,,,4969,,,,
Bell,304,Registered Voters,,,,786,,,,
Bell,305,Registered Voters,,,,2876,,,,
Bell,306,Registered Voters,,,,2806,,,,
Bell,307,Registered Voters,,,,3548,,,,
Bell,308,Registered Voters,,,,2499,,,,
Bell,309,Registered Voters,,,,798,,,,
Bell,310,Registered Voters,,,,496,,,,
Bell,311,Registered Voters,,,,2840,,,,
Bell,312,Registered Voters,,,,2017,,,,
Bell,313,Registered Voters,,,,2813,,,,
Bell,314,Registered Voters,,,,3262,,,,
Bell,315,Registered Voters,,,,6699,,,,
Bell,317,Registered Voters,,,,7172,,,,
Bell,401,Registered Voters,,,,1296,,,,
Bell,402,Registered Voters,,,,2510,,,,
Bell,404,Registered Voters,,,,5490,,,,
Bell,405,Registered Voters,,,,6373,,,,
Bell,406,Registered Voters,,,,3528,,,,
Bell,408,Registered Voters,,,,7247,,,,
Bell,409,Registered Voters,,,,1855,,,,
Bell,410,Registered Voters,,,,3545,,,,
Bell,412,Registered Voters,,,,6694,,,,
Bell,413,Registered Voters,,,,7705,,,,
Bell,101,Ballots Cast,,,,3818,869,2638,307,4
