county,precinct_number,office,district,candidate,party,early_voting,election_day,votes
Bee,1,Attorney General,,Justin Nelson,DEM,29,37,66
Bee,1,Attorney General,,Ken Paxton,REP,82,100,182
Bee,2,Attorney General,,Justin Nelson,DEM,0,1,1
Bee,2,Attorney General,,Ken Paxton,REP,9,39,48
Bee,3,Attorney General,,Justin Nelson,DEM,38,27,65
Bee,3,Attorney General,,Ken Paxton,REP,66,57,123
Bee,4,Attorney General,,Justin Nelson,DEM,4,6,10
Bee,4,Attorney General,,Ken Paxton,REP,13,19,32
Bee,5,Attorney General,,Justin Nelson,DEM,0,3,3
Bee,5,Attorney General,,Ken Paxton,REP,8,45,53
Bee,6,Attorney General,,Justin Nelson,DEM,43,54,97
Bee,6,Attorney General,,Ken Paxton,REP,23,52,75
Bee,8,Attorney General,,Justin Nelson,DEM,3,2,5
Bee,8,Attorney General,,Ken Paxton,REP,15,18,33
Bee,9,Attorney General,,Justin Nelson,DEM,34,30,64
Bee,9,Attorney General,,Ken Paxton,REP,11,9,20
Bee,10,Attorney General,,Justin Nelson,DEM,28,19,47
Bee,10,Attorney General,,Ken Paxton,REP,21,11,32
Bee,11,Attorney General,,Justin Nelson,DEM,2,6,8
Bee,11,Attorney General,,Ken Paxton,REP,6,22,28
Bee,12,Attorney General,,Justin Nelson,DEM,1,2,3
Bee,12,Attorney General,,Ken Paxton,REP,11,33,44
Bee,13,Attorney General,,Justin Nelson,DEM,27,26,53
Bee,13,Attorney General,,Ken Paxton,REP,41,87,128
Bee,14,Attorney General,,Justin Nelson,DEM,12,9,21
Bee,14,Attorney General,,Ken Paxton,REP,6,16,22
Bee,16,Attorney General,,Justin Nelson,DEM,12,14,26
Bee,16,Attorney General,,Ken Paxton,REP,51,50,101
Bee,17,Attorney General,,Justin Nelson,DEM,33,25,58
Bee,17,Attorney General,,Ken Paxton,REP,43,31,74
Bee,18,Attorney General,,Justin Nelson,DEM,20,23,43
Bee,18,Attorney General,,Ken Paxton,REP,131,93,224
Bee,19,Attorney General,,Justin Nelson,DEM,19,7,26
Bee,19,Attorney General,,Ken Paxton,REP,2,3,5
Bee,1,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,7,11,18
Bee,1,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,31,33,64
Bee,1,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,82,93,175
Bee,2,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,0,0,0
Bee,2,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,0,0,0
Bee,2,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,6,32,38
Bee,3,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,19,9,28
Bee,3,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,22,19,41
Bee,3,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,64,51,115
Bee,4,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,2,1,3
Bee,4,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,3,6,9
Bee,4,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,13,17,30
Bee,5,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,0,1,1
Bee,5,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,0,2,2
Bee,5,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,5,41,46
Bee,6,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,28,18,46
Bee,6,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,36,44,80
Bee,6,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,21,51,72
Bee,8,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,2,0,2
Bee,8,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,1,2,3
Bee,8,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,14,15,29
Bee,9,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,3,3,6
Bee,9,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,32,34,66
Bee,9,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,12,9,21
Bee,10,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,6,3,9
Bee,10,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,29,19,48
Bee,10,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,22,12,34
Bee,11,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,0,0,0
Bee,11,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,2,6,8
Bee,11,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,5,14,19
Bee,12,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,1,0,1
Bee,12,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,3,2,5
Bee,12,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,11,28,39
Bee,13,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,6,8,14
Bee,13,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,23,22,45
Bee,13,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,40,82,122
Bee,14,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,5,2,7
Bee,14,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,11,11,22
Bee,14,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,6,11,17
Bee,16,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,3,3,6
Bee,16,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,10,12,22
Bee,16,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,53,48,101
Bee,17,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,11,5,16
Bee,17,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,24,28,52
Bee,17,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,43,30,73
Bee,18,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,7,3,10
Bee,18,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,13,21,34
Bee,18,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,117,85,202
Bee,19,"Chief Justice, 13th Court of Appeals District",,Ray Thomas,DEM,3,3,6
Bee,19,"Chief Justice, 13th Court of Appeals District",,Dori Contreras,DEM,17,4,21
Bee,19,"Chief Justice, 13th Court of Appeals District",,Ernie Aliseda,REP,1,3,4
Bee,1,Commissioner of Agriculture,,Kim Olson,DEM,32,36,68
Bee,1,Commissioner of Agriculture,,Trey Blocker,REP,19,29,48
Bee,1,Commissioner of Agriculture,,Sid Miller,REP,47,52,99
Bee,1,Commissioner of Agriculture,,Jim Hogan,REP,22,22,44
Bee,2,Commissioner of Agriculture,,Kim Olson,DEM,0,1,1
Bee,2,Commissioner of Agriculture,,Trey Blocker,REP,1,8,9
Bee,2,Commissioner of Agriculture,,Sid Miller,REP,10,26,36
Bee,2,Commissioner of Agriculture,,Jim Hogan,REP,1,12,13
Bee,3,Commissioner of Agriculture,,Kim Olson,DEM,38,27,65
Bee,3,Commissioner of Agriculture,,Trey Blocker,REP,19,11,30
Bee,3,Commissioner of Agriculture,,Sid Miller,REP,35,26,61
Bee,3,Commissioner of Agriculture,,Jim Hogan,REP,14,17,31
Bee,4,Commissioner of Agriculture,,Kim Olson,DEM,4,7,11
Bee,4,Commissioner of Agriculture,,Trey Blocker,REP,3,4,7
Bee,4,Commissioner of Agriculture,,Sid Miller,REP,10,11,21
Bee,4,Commissioner of Agriculture,,Jim Hogan,REP,2,3,5
Bee,5,Commissioner of Agriculture,,Kim Olson,DEM,0,3,3
Bee,5,Commissioner of Agriculture,,Trey Blocker,REP,2,9,11
Bee,5,Commissioner of Agriculture,,Sid Miller,REP,5,26,31
Bee,5,Commissioner of Agriculture,,Jim Hogan,REP,1,15,16
Bee,6,Commissioner of Agriculture,,Kim Olson,DEM,44,51,95
Bee,6,Commissioner of Agriculture,,Trey Blocker,REP,5,17,22
Bee,6,Commissioner of Agriculture,,Sid Miller,REP,17,31,48
Bee,6,Commissioner of Agriculture,,Jim Hogan,REP,6,12,18
Bee,8,Commissioner of Agriculture,,Kim Olson,DEM,3,2,5
Bee,8,Commissioner of Agriculture,,Trey Blocker,REP,1,2,3
Bee,8,Commissioner of Agriculture,,Sid Miller,REP,5,15,20
Bee,8,Commissioner of Agriculture,,Jim Hogan,REP,4,2,6
Bee,9,Commissioner of Agriculture,,Kim Olson,DEM,32,28,60
