county,precinct,precinct_name,office,district,party,candidate,votes,election_day,early_voting
Somervell,1,ANNEX,Attorney General,,REP,Warren Paxton,287,146,141
Somervell,2,CITIZEN CENTER,Attorney General,,REP,Warren Paxton,456,217,239
Somervell,3,EXPO,Attorney General,,REP,Warren Paxton,328,191,137
Somervell,4,OAK DALE,Attorney General,,REP,Warren Paxton,372,161,211
Somervell,1,ANNEX,Railroad Commissioner,,REP,Christi Craddick,235,118,117
Somervell,1,ANNEX,Railroad Commissioner,,REP,Weston Martinez,73,42,31
Somervell,2,CITIZEN CENTER,Railroad Commissioner,,REP,Christi Craddick,350,147,203
Somervell,2,CITIZEN CENTER,Railroad Commissioner,,REP,Weston Martinez,115,66,49
Somervell,3,EXPO,Railroad Commissioner,,REP,Christi Craddick,260,142,118
Somervell,3,EXPO,Railroad Commissioner,,REP,Weston Martinez,87,53,34
Somervell,4,OAK DALE,Railroad Commissioner,,REP,Christi Craddick,302,133,169
Somervell,4,OAK DALE,Railroad Commissioner,,REP,Weston Martinez,81,37,44
Somervell,1,ANNEX,Commissioner of Agriculture,,REP,Jimmie Hogan,60,27,33
Somervell,1,ANNEX,Commissioner of Agriculture,,REP,Sidney Miller,240,125,115
Somervell,1,ANNEX,Commissioner of Agriculture,,REP,Trey Blocker,40,17,23
Somervell,2,CITIZEN CENTER,Commissioner of Agriculture,,REP,Jimmie Hogan,58,27,31
Somervell,2,CITIZEN CENTER,Commissioner of Agriculture,,REP,Sidney Miller,414,199,215
Somervell,2,CITIZEN CENTER,Commissioner of Agriculture,,REP,Trey Blocker,69,23,46
Somervell,3,EXPO,Commissioner of Agriculture,,REP,Jimmie Hogan,58,31,27
Somervell,3,EXPO,Commissioner of Agriculture,,REP,Sidney Miller,269,157,112
Somervell,3,EXPO,Commissioner of Agriculture,,REP,Trey Blocker,59,31,28
Somervell,4,OAK DALE,Commissioner of Agriculture,,REP,Jimmie Hogan,51,25,26
Somervell,4,OAK DALE,Commissioner of Agriculture,,REP,Sidney Miller,315,138,177
Somervell,4,OAK DALE,Commissioner of Agriculture,,REP,Trey Blocker,74,23,51
Somervell,1,ANNEX,Lieutenant Governor,,REP,Dan Patrick,259,126,133
Somervell,1,ANNEX,Lieutenant Governor,,REP,Scott Milder,101,49,52
Somervell,2,CITIZEN CENTER,Lieutenant Governor,,REP,Dan Patrick,429,204,225
Somervell,2,CITIZEN CENTER,Lieutenant Governor,,REP,Scott Milder,140,55,85
Somervell,3,EXPO,Lieutenant Governor,,REP,Dan Patrick,287,174,113
Somervell,3,EXPO,Lieutenant Governor,,REP,Scott Milder,113,46,67
Somervell,4,OAK DALE,Lieutenant Governor,,REP,Dan Patrick,337,140,197
Somervell,4,OAK DALE,Lieutenant Governor,,REP,Scott Milder,124,54,70
Somervell,1,ANNEX,Commissioner of the General Land Office,,REP,George Bush,230,115,115
Somervell,1,ANNEX,Commissioner of the General Land Office,,REP,Jerry Patterson,67,36,31
Somervell,1,ANNEX,Commissioner of the General Land Office,,REP,Richard Range,10,3,7
Somervell,1,ANNEX,Commissioner of the General Land Office,,REP,William Edwards,23,11,12
Somervell,2,CITIZEN CENTER,Commissioner of the General Land Office,,REP,George Bush,334,156,178
Somervell,2,CITIZEN CENTER,Commissioner of the General Land Office,,REP,Jerry Patterson,130,55,75
Somervell,2,CITIZEN CENTER,Commissioner of the General Land Office,,REP,Richard Range,39,23,16
Somervell,2,CITIZEN CENTER,Commissioner of the General Land Office,,REP,William Edwards,38,19,19
Somervell,3,EXPO,Commissioner of the General Land Office,,REP,George Bush,237,129,108
Somervell,3,EXPO,Commissioner of the General Land Office,,REP,Jerry Patterson,85,47,38
Somervell,3,EXPO,Commissioner of the General Land Office,,REP,Richard Range,16,7,9
Somervell,3,EXPO,Commissioner of the General Land Office,,REP,William Edwards,18,15,3
Somervell,4,OAK DALE,Commissioner of the General Land Office,,REP,George Bush,296,136,160
Somervell,4,OAK DALE,Commissioner of the General Land Office,,REP,Jerry Patterson,88,32,56
Somervell,4,OAK DALE,Commissioner of the General Land Office,,REP,Richard Range,21,7,14
Somervell,4,OAK DALE,Commissioner of the General Land Office,,REP,William Edwards,33,8,25
Somervell,1,ANNEX,U. S. Senator,,REP,Bruce Jacobson,36,14,22
Somervell,1,ANNEX,U. S. Senator,,REP,Geraldine Sam,6,1,5
Somervell,1,ANNEX,U. S. Senator,,REP,Mary Miller,14,7,7
Somervell,1,ANNEX,U. S. Senator,,REP,Rafael  Cruz,298,150,148
Somervell,1,ANNEX,U. S. Senator,,REP,Stefano de Stefano IV,1,1,0
Somervell,2,CITIZEN CENTER,U. S. Senator,,REP,Bruce Jacobson,41,20,21
Somervell,2,CITIZEN CENTER,U. S. Senator,,REP,Geraldine Sam,6,4,2
Somervell,2,CITIZEN CENTER,U. S. Senator,,REP,Mary Miller,32,17,15
Somervell,2,CITIZEN CENTER,U. S. Senator,,REP,Rafael  Cruz,486,224,262
Somervell,2,CITIZEN CENTER,U. S. Senator,,REP,Stefano de Stefano IV,7,2,5
Somervell,3,EXPO,U. S. Senator,,REP,Bruce Jacobson,36,12,24
Somervell,3,EXPO,U. S. Senator,,REP,Geraldine Sam,2,1,1
Somervell,3,EXPO,U. S. Senator,,REP,Mary Miller,23,8,15
Somervell,3,EXPO,U. S. Senator,,REP,Rafael  Cruz,338,197,141
Somervell,3,EXPO,U. S. Senator,,REP,Stefano de Stefano IV,3,3,0
Somervell,4,OAK DALE,U. S. Senator,,REP,Bruce Jacobson,37,12,25
Somervell,4,OAK DALE,U. S. Senator,,REP,Geraldine Sam,9,5,4
Somervell,4,OAK DALE,U. S. Senator,,REP,Mary Miller,23,10,13
Somervell,4,OAK DALE,U. S. Senator,,REP,Rafael  Cruz,398,175,223
Somervell,4,OAK DALE,U. S. Senator,,REP,Stefano de Stefano IV,5,1,4
Somervell,1,ANNEX,Comptroller of Public Accounts,,REP,Glenn Hegar,259,134,125
Somervell,2,CITIZEN CENTER,Comptroller of Public Accounts,,REP,Glenn Hegar,434,207,227
Somervell,3,EXPO,Comptroller of Public Accounts,,REP,Glenn Hegar,321,184,137
Somervell,4,OAK DALE,Comptroller of Public Accounts,,REP,Glenn Hegar,352,154,198
Somervell,1,ANNEX,State Representative,59,REP,Christopher  Evans,133,65,68
Somervell,1,ANNEX,State Representative,59,REP,Jesse Sheffield,219,108,111
Somervell,2,CITIZEN CENTER,State Representative,59,REP,Christopher  Evans,242,107,135
Somervell,2,CITIZEN CENTER,State Representative,59,REP,Jesse Sheffield,328,158,170
Somervell,3,EXPO,State Representative,59,REP,Christopher  Evans,150,92,58
Somervell,3,EXPO,State Representative,59,REP,Jesse Sheffield,235,115,120
Somervell,4,OAK DALE,State Representative,59,REP,Christopher  Evans,179,74,105
Somervell,4,OAK DALE,State Representative,59,REP,Jesse Sheffield,278,120,158
Somervell,1,ANNEX,U.S. House,25,REP,John Williams,281,144,137
Somervell,2,CITIZEN CENTER,U.S. House,25,REP,John Williams,460,215,245
Somervell,3,EXPO,U.S. House,25,REP,John Williams,330,190,140
Somervell,4,OAK DALE,U.S. House,25,REP,John Williams,382,160,222
Somervell,1,ANNEX,Governor,,REP,Barbara Krueger,22,10,12
Somervell,1,ANNEX,Governor,,REP,Gregory Abbott,334,166,168
Somervell,1,ANNEX,Governor,,REP,Larry Kilgore,2,0,2
Somervell,2,CITIZEN CENTER,Governor,,REP,Barbara Krueger,39,19,20
Somervell,2,CITIZEN CENTER,Governor,,REP,Gregory Abbott,534,247,287
Somervell,2,CITIZEN CENTER,Governor,,REP,Larry Kilgore,6,5,1
Somervell,3,EXPO,Governor,,REP,Barbara Krueger,40,18,22
Somervell,3,EXPO,Governor,,REP,Gregory Abbott,360,204,156
Somervell,3,EXPO,Governor,,REP,Larry Kilgore,4,2,2
Somervell,4,OAK DALE,Governor,,REP,Barbara Krueger,35,12,23
Somervell,4,OAK DALE,Governor,,REP,Gregory Abbott,439,190,249
Somervell,4,OAK DALE,Governor,,REP,Larry Kilgore,8,5,3
Somervell,1,ANNEX,Lieutenant Governor,,DEM,Michael  Cooper,8,3,5
Somervell,1,ANNEX,Lieutenant Governor,,DEM,Michael Edward Collier,13,7,6
Somervell,2,CITIZEN CENTER,Lieutenant Governor,,DEM,Michael  Cooper,16,5,11
Somervell,2,CITIZEN CENTER,Lieutenant Governor,,DEM,Michael Edward Collier,29,12,17
Somervell,3,EXPO,Lieutenant Governor,,DEM,Michael  Cooper,5,1,4
Somervell,3,EXPO,Lieutenant Governor,,DEM,Michael Edward Collier,21,10,11
Somervell,4,OAK DALE,Lieutenant Governor,,DEM,Michael  Cooper,7,3,4
Somervell,4,OAK DALE,Lieutenant Governor,,DEM,Michael Edward Collier,20,12,8
Somervell,1,ANNEX,U. S. Senator,,DEM,Edward Wayne Kimbrough,9,6,3
Somervell,1,ANNEX,U. S. Senator,,DEM,Irasema Ramirez-Hernandez,3,2,1
Somervell,1,ANNEX,U. S. Senator,,DEM,Robert Francis O'Rourke,14,4,10
Somervell,2,CITIZEN CENTER,U. S. Senator,,DEM,Edward Wayne Kimbrough,4,1,3
Somervell,2,CITIZEN CENTER,U. S. Senator,,DEM,Irasema Ramirez-Hernandez,6,1,5
Somervell,2,CITIZEN CENTER,U. S. Senator,,DEM,Robert Francis O'Rourke,36,16,20
Somervell,3,EXPO,U. S. Senator,,DEM,Edward Wayne Kimbrough,8,4,4
Somervell,3,EXPO,U. S. Senator,,DEM,Irasema Ramirez-Hernandez,6,2,4
Somervell,3,EXPO,U. S. Senator,,DEM,Robert Francis O'Rourke,13,6,7
Somervell,4,OAK DALE,U. S. Senator,,DEM,Edward Wayne Kimbrough,2,2,0
Somervell,4,OAK DALE,U. S. Senator,,DEM,Irasema Ramirez-Hernandez,7,2,5
Somervell,4,OAK DALE,U. S. Senator,,DEM,Robert Francis O'Rourke,23,14,9
Somervell,1,ANNEX,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,6,2,4
Somervell,1,ANNEX,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,13,7,6
Somervell,2,CITIZEN CENTER,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,20,8,12
Somervell,2,CITIZEN CENTER,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,24,9,15
Somervell,3,EXPO,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,15,7,8
Somervell,3,EXPO,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,10,4,6
Somervell,4,OAK DALE,Comptroller of Public Accounts,,DEM,Joi Lynne Chevalier,11,6,5
Somervell,4,OAK DALE,Comptroller of Public Accounts,,DEM,Timothy Raymond Mahoney,15,8,7
Somervell,1,ANNEX,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,12,5,7
Somervell,1,ANNEX,Railroad Commissioner,,DEM,Roman James Alfred McAllen,6,3,3
Somervell,2,CITIZEN CENTER,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,17,6,11
Somervell,2,CITIZEN CENTER,Railroad Commissioner,,DEM,Roman James Alfred McAllen,26,11,15
Somervell,3,EXPO,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,11,5,6
Somervell,3,EXPO,Railroad Commissioner,,DEM,Roman James Alfred McAllen,14,6,8
Somervell,4,OAK DALE,Railroad Commissioner,,DEM,Christopher Cornell Spellmon,16,9,7
Somervell,4,OAK DALE,Railroad Commissioner,,DEM,Roman James Alfred McAllen,10,5,5
Somervell,1,ANNEX,Governor,,DEM,Adrian Ocegueda,0,0,0
Somervell,1,ANNEX,Governor,,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Somervell,1,ANNEX,Governor,,DEM,Grady Yarbrough,2,0,2
Somervell,1,ANNEX,Governor,,DEM,Guadalupe Valdez,5,4,1
Somervell,1,ANNEX,Governor,,DEM,James Jolly Clark,0,0,0
Somervell,1,ANNEX,Governor,,DEM,Jeffrey Alan Payne,2,1,1
Somervell,1,ANNEX,Governor,,DEM,Joseph William Mumbach,1,1,0
Somervell,1,ANNEX,Governor,,DEM,Robert Andrew  White,5,2,3
Somervell,1,ANNEX,Governor,,DEM,Thomas John Wakely,6,3,3
Somervell,2,CITIZEN CENTER,Governor,,DEM,Adrian Ocegueda,5,2,3
Somervell,2,CITIZEN CENTER,Governor,,DEM,"Cedric Wayne Davis, Sr.",2,1,1
Somervell,2,CITIZEN CENTER,Governor,,DEM,Grady Yarbrough,2,0,2
Somervell,2,CITIZEN CENTER,Governor,,DEM,Guadalupe Valdez,16,7,9
Somervell,2,CITIZEN CENTER,Governor,,DEM,James Jolly Clark,0,0,0
Somervell,2,CITIZEN CENTER,Governor,,DEM,Jeffrey Alan Payne,5,2,3
Somervell,2,CITIZEN CENTER,Governor,,DEM,Joseph William Mumbach,0,0,0
Somervell,2,CITIZEN CENTER,Governor,,DEM,Robert Andrew  White,12,5,7
Somervell,2,CITIZEN CENTER,Governor,,DEM,Thomas John Wakely,4,1,3
Somervell,3,EXPO,Governor,,DEM,Adrian Ocegueda,2,0,2
Somervell,3,EXPO,Governor,,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Somervell,3,EXPO,Governor,,DEM,Grady Yarbrough,1,0,1
Somervell,3,EXPO,Governor,,DEM,Guadalupe Valdez,14,6,8
Somervell,3,EXPO,Governor,,DEM,James Jolly Clark,0,0,0
Somervell,3,EXPO,Governor,,DEM,Joseph William Mumbach,0,0,0
Somervell,3,EXPO,Governor,,DEM,Robert Andrew  White,5,2,3
Somervell,3,EXPO,Governor,,DEM,Thomas John Wakely,2,2,0
Somervell,4,OAK DALE,Governor,,DEM,Adrian Ocegueda,0,0,0
Somervell,4,OAK DALE,Governor,,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Somervell,4,OAK DALE,Governor,,DEM,Grady Yarbrough,2,1,1
Somervell,4,OAK DALE,Governor,,DEM,Guadalupe Valdez,18,9,9
Somervell,4,OAK DALE,Governor,,DEM,James Jolly Clark,2,1,1
Somervell,4,OAK DALE,Governor,,DEM,Jeffrey Alan Payne,2,1,1
Somervell,4,OAK DALE,Governor,,DEM,Joseph William Mumbach,0,0,0
Somervell,4,OAK DALE,Governor,,DEM,Robert Andrew  White,3,2,1
Somervell,4,OAK DALE,Governor,,DEM,Thomas John Wakely,2,2,0
Somervell,1,ANNEX,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,8,5,3
Somervell,1,ANNEX,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,12,4,8
Somervell,2,CITIZEN CENTER,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,20,7,13
Somervell,2,CITIZEN CENTER,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,24,11,13
Somervell,3,EXPO,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,8,4,4
Somervell,3,EXPO,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,19,8,11
Somervell,4,OAK DALE,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,11,4,7
Somervell,4,OAK DALE,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,15,10,5
Somervell,1,ANNEX,U.S. House,25,DEM,Chetan Gopal Panda,0,0,0
Somervell,1,ANNEX,U.S. House,25,DEM,Christopher Michael Perri,8,1,7
Somervell,1,ANNEX,U.S. House,25,DEM,Edward Westerguard Hansen,5,1,4
Somervell,1,ANNEX,U.S. House,25,DEM,Julie Lynn Oliver,7,5,2
Somervell,1,ANNEX,U.S. House,25,DEM,Kathleen Thomas,5,4,1
Somervell,2,CITIZEN CENTER,U.S. House,25,DEM,Chetan Gopal Panda,2,1,1
Somervell,2,CITIZEN CENTER,U.S. House,25,DEM,Christopher Michael Perri,8,5,3
Somervell,2,CITIZEN CENTER,U.S. House,25,DEM,Edward Westerguard Hansen,13,4,9
Somervell,2,CITIZEN CENTER,U.S. House,25,DEM,Julie Lynn Oliver,16,7,9
Somervell,2,CITIZEN CENTER,U.S. House,25,DEM,Kathleen Thomas,6,0,6
Somervell,3,EXPO,U.S. House,25,DEM,Chetan Gopal Panda,1,1,0
Somervell,3,EXPO,U.S. House,25,DEM,Christopher Michael Perri,6,2,4
