county,precinct,office,district,party,candidate,votes,election_day,early_voting
McLennan,1,U.S. Senate,,REP,Mary Miller,3,1,2
McLennan,1,U.S. Senate,,REP,Geraldine Sam,0,0,0
McLennan,1,U.S. Senate,,REP,Ted Cruz,9,6,3
McLennan,1,U.S. Senate,,REP,Over Votes,0,0,0
McLennan,1,U.S. Senate,,REP,Under Votes,2,1,1
McLennan,1,Registered Voters,,REP,,0,,
McLennan,1,Ballots Cast,,REP,,15,1,6
McLennan,1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",1,1,0
McLennan,1,U.S. Senate,,REP,Over Votes,0,0,0
McLennan,1,U.S. Senate,,REP,Under Votes,2,1,1
McLennan,1,U.S. Senate,,REP,Stefano de Stefano,0,0,0
McLennan,1,U.S. House,17,REP,Bill Flores,10,7,3
McLennan,1,U.S. House,17,REP,Over Votes,0,0,0
McLennan,1,U.S. House,17,REP,Under Votes,5,2,3
McLennan,1,Governor,,REP,SECEDE Kilgore,2,1,1
McLennan,1,Governor,,REP,Greg Abbott,9,6,3
McLennan,1,Governor,,REP,Barbara Krueger,1,1,0
McLennan,1,Governor,,REP,Over Votes,0,0,0
McLennan,1,Governor,,REP,Under Votes,3,1,2
McLennan,1,Lieutenant Governor,,REP,Dan Patrick,8,5,3
McLennan,1,Lieutenant Governor,,REP,Over Votes,0,0,0
McLennan,1,Lieutenant Governor,,REP,Under Votes,3,2,1
McLennan,1,Lieutenant Governor,,REP,Scott Milder,4,2,2
McLennan,1,Attorney General,,REP,Ken Paxton,10,7,3
McLennan,1,Attorney General,,REP,Over Votes,0,0,0
McLennan,1,Attorney General,,REP,Under Votes,5,2,3
McLennan,1,Comptroller of Public Accounts,,REP,Glenn Hegar,10,7,3
McLennan,1,Comptroller of Public Accounts,,REP,Over Votes,0,0,0
McLennan,1,Comptroller of Public Accounts,,REP,Under Votes,5,2,3
McLennan,1,Commissioner of the General Land Office,,REP,Jerry Patterson,5,2,3
McLennan,1,Commissioner of the General Land Office,,REP,Rick Range,2,2,0
McLennan,1,Commissioner of the General Land Office,,REP,Davey Edwards,1,0,1
McLennan,1,Commissioner of the General Land Office,,REP,Over Votes,0,0,0
McLennan,1,Commissioner of the General Land Office,,REP,Under Votes,3,2,1
McLennan,1,Commissioner of the General Land Office,,REP,George P. Bush,4,3,1
McLennan,1,Commissioner of Agriculture,,REP,Sid Miller,6,3,3
McLennan,1,Commissioner of Agriculture,,REP,Over Votes,0,0,0
McLennan,1,Commissioner of Agriculture,,REP,Under Votes,5,3,2
McLennan,1,Commissioner of Agriculture,,REP,Trey Blocker,3,2,1
McLennan,1,Commissioner of Agriculture,,REP,Jim Hogan,1,1,0
McLennan,1,Railroad Commissioner,,REP,Christi Craddick,10,6,4
McLennan,1,Railroad Commissioner,,REP,Over Votes,0,0,0
McLennan,1,Railroad Commissioner,,REP,Under Votes,3,2,1
McLennan,1,Railroad Commissioner,,REP,Weston Martinez,2,1,1
McLennan,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,10,7,3
McLennan,1,"Justice, Supreme Court, Place 2",,REP,Over Votes,0,0,0
McLennan,1,"Justice, Supreme Court, Place 2",,REP,Under Votes,5,2,3
McLennan,1,"Justice, Supreme Court, Place 4",,REP,John Devine,10,7,3
McLennan,1,"Justice, Supreme Court, Place 4",,REP,Over Votes,0,0,0
McLennan,1,"Justice, Supreme Court, Place 4",,REP,Under Votes,5,2,3
McLennan,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,9,7,2
McLennan,1,"Justice, Supreme Court, Place 6",,REP,Over Votes,0,0,0
McLennan,1,"Justice, Supreme Court, Place 6",,REP,Under Votes,6,2,4
McLennan,1,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,7,5,2
McLennan,1,"Presiding Judge, Court of Criminal Appeals",,REP,Over Votes,0,0,0
McLennan,1,"Presiding Judge, Court of Criminal Appeals",,REP,Under Votes,4,2,2
McLennan,1,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,4,2,2
McLennan,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,9,7,2
McLennan,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Over Votes,0,0,0
McLennan,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Under Votes,6,2,4
McLennan,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,7,4,3
McLennan,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,1,1,0
McLennan,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Over Votes,0,0,0
McLennan,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Under Votes,4,2,2
McLennan,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,3,2,1
McLennan,1,State Representative,56,REP,"Charles ""Doc"" Anderson",10,7,3
McLennan,1,State Representative,56,REP,Over Votes,0,0,0
McLennan,1,State Representative,56,REP,Under Votes,5,2,3
McLennan,1,"Chief Justice, 10th Court of Appeals District",,REP,Tom Gray,9,7,2
McLennan,1,"Chief Justice, 10th Court of Appeals District",,REP,Over Votes,0,0,0
McLennan,1,"Chief Justice, 10th Court of Appeals District",,REP,Under Votes,6,2,4
McLennan,1,"District Judge, 54th Judicial District",,REP,Matt Johnson,10,8,2
McLennan,1,"District Judge, 54th Judicial District",,REP,Over Votes,0,0,0
McLennan,1,"District Judge, 54th Judicial District",,REP,Under Votes,5,1,4
McLennan,1,"District Judge, 170th Judicial District",,REP,Jim Meyer,12,8,4
McLennan,1,"District Judge, 170th Judicial District",,REP,Over Votes,0,0,0
McLennan,1,"District Judge, 170th Judicial District",,REP,Under Votes,3,1,2
McLennan,1,"District Judge, 414th Judicial District",,REP,Vicki L. Menard,10,8,2
McLennan,1,"District Judge, 414th Judicial District",,REP,Over Votes,0,0,0
McLennan,1,"District Judge, 414th Judicial District",,REP,Under Votes,5,1,4
McLennan,1,Criminal District Attorney,,REP,Barry Johnson,11,6,5
McLennan,1,Criminal District Attorney,,REP,Abel Reyna,4,3,1
McLennan,1,Criminal District Attorney,,REP,Over Votes,0,0,0
McLennan,1,Criminal District Attorney,,REP,Under Votes,0,0,0
McLennan,1,County Judge,,REP,Scott Felton,9,7,2
McLennan,1,County Judge,,REP,Over Votes,0,0,0
McLennan,1,County Judge,,REP,Under Votes,6,2,4
McLennan,1,"Judge, County Court-at-Law",,REP,"Vikram ""Vik"" Deivanayagam",9,7,2
McLennan,1,"Judge, County Court-at-Law",,REP,Over Votes,0,0,0
McLennan,1,"Judge, County Court-at-Law",,REP,Under Votes,6,2,4
McLennan,1,"Judge, County Court-at-Law No. 2",,REP,Brad Cates,9,7,2
McLennan,1,"Judge, County Court-at-Law No. 2",,REP,Over Votes,0,0,0
McLennan,1,"Judge, County Court-at-Law No. 2",,REP,Under Votes,6,2,4
McLennan,1,District Clerk,,REP,Jon R. Gimble,9,7,2
McLennan,1,District Clerk,,REP,Over Votes,0,0,0
McLennan,1,District Clerk,,REP,Under Votes,6,2,4
McLennan,1,County Clerk,,REP,Andy Harwell,10,7,3
McLennan,1,County Clerk,,REP,Over Votes,0,0,0
McLennan,1,County Clerk,,REP,Under Votes,5,2,3
McLennan,1,County Treasurer,,REP,Bill Helton,10,7,3
McLennan,1,County Treasurer,,REP,Over Votes,0,0,0
McLennan,1,County Treasurer,,REP,Under Votes,5,2,3
McLennan,1,"County Commissioner, Precinct No. 2",,REP,Vernon Davis,10,6,4
McLennan,1,"County Commissioner, Precinct No. 2",,REP,"Donis ""D.L."" Wilson",4,3,1
McLennan,1,"County Commissioner, Precinct No. 2",,REP,Over Votes,0,0,0
McLennan,1,"County Commissioner, Precinct No. 2",,REP,Under Votes,1,0,1
McLennan,1,"County Commissioner, Precinct No. 2",,REP,Gina Ford,0,0,0
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 1",,REP,Denny Lessman,6,4,2
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 1",,REP,Over Votes,0,0,0
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 1",,REP,Under Votes,3,2,1
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 1",,REP,Dianne Hensley,6,3,3
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 2",,REP,"W.H. ""Pete"" Peterson",9,7,2
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 2",,REP,Over Votes,0,0,0
McLennan,1,"Justice of the Peace, Precinct No. 1, Place 2",,REP,Under Votes,6,2,4
McLennan,1,"Constable, Precinct No. 1",,REP,Walt Strickland,10,7,3
McLennan,1,"Constable, Precinct No. 1",,REP,Over Votes,0,0,0
McLennan,1,"Constable, Precinct No. 1",,REP,Under Votes,5,2,3
McLennan,1,County Chairman,,REP,Jon R. Ker,10,7,3
McLennan,1,County Chairman,,REP,Over Votes,0,0,0
McLennan,1,County Chairman,,REP,Under Votes,5,2,3
McLennan,1,Proposition # 1,,,YES,7,4,3
McLennan,1,Proposition # 1,,,Over Votes,0,0,0
McLennan,1,Proposition # 1,,,Under Votes,1,1,0
McLennan,1,Proposition # 1,,,NO,7,4,3
McLennan,1,Proposition # 2,,,YES,11,7,4
McLennan,1,Proposition # 2,,,Over Votes,0,0,0
McLennan,1,Proposition # 2,,,Under Votes,1,1,0
McLennan,1,Proposition # 2,,,NO,3,1,2
McLennan,1,Proposition # 3,,,YES,7,4,3
McLennan,1,Proposition # 3,,,Over Votes,0,0,0
McLennan,1,Proposition # 3,,,Under Votes,1,1,0
McLennan,1,Proposition # 3,,,NO,7,4,3
McLennan,1,Proposition # 4,,,YES,9,5,4
McLennan,1,Proposition # 4,,,Over Votes,0,0,0
McLennan,1,Proposition # 4,,,Under Votes,1,1,0
McLennan,1,Proposition # 4,,,NO,5,3,2
McLennan,1,Proposition # 5,,,YES,8,5,3
McLennan,1,Proposition # 5,,,Over Votes,0,0,0
McLennan,1,Proposition # 5,,,Under Votes,1,1,0
McLennan,1,Proposition # 5,,,NO,6,3,3
McLennan,1,Proposition # 6,,,YES,8,5,3
McLennan,1,Proposition # 6,,,Over Votes,0,0,0
McLennan,1,Proposition # 6,,,Under Votes,1,1,0
McLennan,1,Proposition # 6,,,NO,6,3,3
McLennan,1,Proposition # 7,,,YES,5,2,3
McLennan,1,Proposition # 7,,,Over Votes,0,0,0
McLennan,1,Proposition # 7,,,Under Votes,1,1,0
McLennan,1,Proposition # 7,,,NO,9,6,3
McLennan,1,Proposition # 8,,,YES,11,7,4
McLennan,1,Proposition # 8,,,Over Votes,0,0,0
McLennan,1,Proposition # 8,,,Under Votes,1,1,0
McLennan,1,Proposition # 8,,,NO,3,1,2
McLennan,1,Proposition # 9,,,YES,8,4,4
McLennan,1,Proposition # 9,,,Over Votes,0,0,0
McLennan,1,Proposition # 9,,,Under Votes,1,1,0
McLennan,1,Proposition # 9,,,NO,6,4,2
McLennan,1,Proposition # 10,,,YES,12,8,4
McLennan,1,Proposition # 10,,,Over Votes,0,0,0
McLennan,1,Proposition # 10,,,Under Votes,1,1,0
McLennan,1,Proposition # 10,,,NO,2,0,2
McLennan,1,Proposition # 11,,,YES,11,6,5
McLennan,1,Proposition # 11,,,Over Votes,0,0,0
McLennan,1,Proposition # 11,,,Under Votes,1,1,0
McLennan,1,Proposition # 11,,,NO,3,2,1
McLennan,2,U.S. Senate,,REP,Mary Miller,1,1,0
McLennan,2,U.S. Senate,,REP,Geraldine Sam,1,0,1
McLennan,2,U.S. Senate,,REP,Ted Cruz,3,0,3
McLennan,2,U.S. Senate,,REP,Over Votes,0,0,0
McLennan,2,U.S. Senate,,REP,Under Votes,0,0,0
McLennan,2,Registered Voters,,REP,,0,,
McLennan,2,Ballots Cast,,REP,,8,0,7
McLennan,2,U.S. Senate,,REP,"Bruce Jacobson, Jr.",0,0,0
McLennan,2,U.S. Senate,,REP,Over Votes,0,0,0
McLennan,2,U.S. Senate,,REP,Under Votes,0,0,0
McLennan,2,U.S. Senate,,REP,Stefano de Stefano,3,0,3
McLennan,2,U.S. House,17,REP,Bill Flores,8,1,7
McLennan,2,U.S. House,17,REP,Over Votes,0,0,0
McLennan,2,U.S. House,17,REP,Under Votes,0,0,0
McLennan,2,Governor,,REP,SECEDE Kilgore,0,0,0
McLennan,2,Governor,,REP,Greg Abbott,4,0,4
McLennan,2,Governor,,REP,Barbara Krueger,4,1,3
McLennan,2,Governor,,REP,Over Votes,0,0,0
McLennan,2,Governor,,REP,Under Votes,0,0,0
McLennan,2,Lieutenant Governor,,REP,Dan Patrick,4,0,4
McLennan,2,Lieutenant Governor,,REP,Over Votes,0,0,0
McLennan,2,Lieutenant Governor,,REP,Under Votes,0,0,0
McLennan,2,Lieutenant Governor,,REP,Scott Milder,4,1,3
McLennan,2,Attorney General,,REP,Ken Paxton,6,1,5
McLennan,2,Attorney General,,REP,Over Votes,0,0,0
McLennan,2,Attorney General,,REP,Under Votes,2,0,2
McLennan,2,Comptroller of Public Accounts,,REP,Glenn Hegar,7,1,6
McLennan,2,Comptroller of Public Accounts,,REP,Over Votes,0,0,0
McLennan,2,Comptroller of Public Accounts,,REP,Under Votes,1,0,1
McLennan,2,Commissioner of the General Land Office,,REP,Jerry Patterson,4,0,4
McLennan,2,Commissioner of the General Land Office,,REP,Rick Range,1,1,0
McLennan,2,Commissioner of the General Land Office,,REP,Davey Edwards,0,0,0
McLennan,2,Commissioner of the General Land Office,,REP,Over Votes,0,0,0
McLennan,2,Commissioner of the General Land Office,,REP,Under Votes,0,0,0
McLennan,2,Commissioner of the General Land Office,,REP,George P. Bush,3,0,3
McLennan,2,Commissioner of Agriculture,,REP,Sid Miller,1,0,1
McLennan,2,Commissioner of Agriculture,,REP,Over Votes,0,0,0
McLennan,2,Commissioner of Agriculture,,REP,Under Votes,1,0,1
McLennan,2,Commissioner of Agriculture,,REP,Trey Blocker,5,1,4
McLennan,2,Commissioner of Agriculture,,REP,Jim Hogan,1,0,1
McLennan,2,Railroad Commissioner,,REP,Christi Craddick,7,1,6
McLennan,2,Railroad Commissioner,,REP,Over Votes,0,0,0
McLennan,2,Railroad Commissioner,,REP,Under Votes,1,0,1
McLennan,2,Railroad Commissioner,,REP,Weston Martinez,0,0,0
McLennan,2,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,8,1,7
McLennan,2,"Justice, Supreme Court, Place 2",,REP,Over Votes,0,0,0
McLennan,2,"Justice, Supreme Court, Place 2",,REP,Under Votes,0,0,0
McLennan,2,"Justice, Supreme Court, Place 4",,REP,John Devine,8,1,7
McLennan,2,"Justice, Supreme Court, Place 4",,REP,Over Votes,0,0,0
McLennan,2,"Justice, Supreme Court, Place 4",,REP,Under Votes,0,0,0
McLennan,2,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,8,1,7
McLennan,2,"Justice, Supreme Court, Place 6",,REP,Over Votes,0,0,0
McLennan,2,"Justice, Supreme Court, Place 6",,REP,Under Votes,0,0,0
McLennan,2,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,7,1,6
McLennan,2,"Presiding Judge, Court of Criminal Appeals",,REP,Over Votes,0,0,0
McLennan,2,"Presiding Judge, Court of Criminal Appeals",,REP,Under Votes,1,0,1
McLennan,2,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,0,0,0
McLennan,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,8,1,7
McLennan,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Over Votes,0,0,0
McLennan,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Under Votes,0,0,0
McLennan,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,5,1,4
McLennan,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,2,0,2
McLennan,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Over Votes,0,0,0
McLennan,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Under Votes,1,0,1
McLennan,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,0,0,0
McLennan,2,State Representative,12,REP,Kyle Kacal,7,1,6
McLennan,2,State Representative,12,REP,Over Votes,0,0,0
McLennan,2,State Representative,12,REP,Under Votes,1,0,1
McLennan,2,"Chief Justice, 10th Court of Appeals District",,REP,Tom Gray,6,1,5
McLennan,2,"Chief Justice, 10th Court of Appeals District",,REP,Over Votes,0,0,0
McLennan,2,"Chief Justice, 10th Court of Appeals District",,REP,Under Votes,2,0,2
McLennan,2,"District Judge, 54th Judicial District",,REP,Matt Johnson,7,1,6
McLennan,2,"District Judge, 54th Judicial District",,REP,Over Votes,0,0,0
McLennan,2,"District Judge, 54th Judicial District",,REP,Under Votes,1,0,1
McLennan,2,"District Judge, 170th Judicial District",,REP,Jim Meyer,7,1,6
McLennan,2,"District Judge, 170th Judicial District",,REP,Over Votes,0,0,0
McLennan,2,"District Judge, 170th Judicial District",,REP,Under Votes,1,0,1
McLennan,2,"District Judge, 414th Judicial District",,REP,Vicki L. Menard,7,1,6
McLennan,2,"District Judge, 414th Judicial District",,REP,Over Votes,0,0,0
McLennan,2,"District Judge, 414th Judicial District",,REP,Under Votes,1,0,1
McLennan,2,Criminal District Attorney,,REP,Barry Johnson,6,1,5
McLennan,2,Criminal District Attorney,,REP,Abel Reyna,1,0,1
McLennan,2,Criminal District Attorney,,REP,Over Votes,0,0,0
McLennan,2,Criminal District Attorney,,REP,Under Votes,1,0,1
McLennan,2,County Judge,,REP,Scott Felton,6,1,5
McLennan,2,County Judge,,REP,Over Votes,0,0,0
McLennan,2,County Judge,,REP,Under Votes,2,0,2
McLennan,2,"Judge, County Court-at-Law",,REP,"Vikram ""Vik"" Deivanayagam",8,1,7
McLennan,2,"Judge, County Court-at-Law",,REP,Over Votes,0,0,0
McLennan,2,"Judge, County Court-at-Law",,REP,Under Votes,0,0,0
McLennan,2,"Judge, County Court-at-Law No. 2",,REP,Brad Cates,8,1,7
McLennan,2,"Judge, County Court-at-Law No. 2",,REP,Over Votes,0,0,0
McLennan,2,"Judge, County Court-at-Law No. 2",,REP,Under Votes,0,0,0
McLennan,2,District Clerk,,REP,Jon R. Gimble,8,1,7
McLennan,2,District Clerk,,REP,Over Votes,0,0,0
McLennan,2,District Clerk,,REP,Under Votes,0,0,0
McLennan,2,County Clerk,,REP,Andy Harwell,8,1,7
McLennan,2,County Clerk,,REP,Over Votes,0,0,0
