county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional
Wilson,Box 101,Straight Party,,REP,Republican,454,133,285,36,0
Wilson,Box 101,Straight Party,,DEM,Democratic,266,89,146,31,0
Wilson,Box 101,Straight Party,,LIB,Libertarian,5,1,4,0,0
Wilson,Box 101,U.S. Senate,,REP,Ted Cruz,808,233,520,55,0
Wilson,Box 101,U.S. Senate,,DEM,Beto O'Rourke,488,151,295,42,0
Wilson,Box 101,U.S. Senate,,LIB,Neal M. Dikeman,11,3,8,0,0
Wilson,Box 101,U.S. House,28,DEM,Henry Cuellar,649,216,387,46,0
Wilson,Box 101,U.S. House,28,LIB,Arthur Thomas IV,231,69,149,13,0
Wilson,Box 101,Governor,,REP,Greg Abbott,870,264,551,55,0
Wilson,Box 101,Governor,,DEM,Lupe Valdez,424,119,264,41,0
Wilson,Box 101,Governor,,LIB,Mark Jay Tippetts,10,2,7,1,0
Wilson,Box 101,Lt. Governor,,REP,Dan Patrick,823,241,528,54,0
Wilson,Box 101,Lt. Governor,,DEM,Mike Collier,457,140,274,43,0
Wilson,Box 101,Lt. Governor,,LIB,K. Douglas McKennon,22,3,19,0,0
Wilson,Box 101,Attorney General,,REP,Ken Paxton,776,223,501,52,0
Wilson,Box 101,Attorney General,,DEM,Justin Nelson,492,150,299,43,0
Wilson,Box 101,Attorney General,,LIB,Michael Ray Harris,33,11,21,1,0
Wilson,Box 101,Comptroller Public Accts,,REP,Glenn Hegar,806,232,522,52,0
Wilson,Box 101,Comptroller Public Accts,,DEM,Joi Chevalier,439,133,264,42,0
Wilson,Box 101,Comptroller Public Accts,,LIB,Ben Sanders,43,18,24,1,0
Wilson,Box 101,Commissioner Gen Land Office,,REP,George P. Bush,811,244,514,53,0
Wilson,Box 101,Commissioner Gen Land Office,,DEM,Miguel Suazo,427,127,262,38,0
Wilson,Box 101,Commissioner Gen Land Office,,LIB,Matt Pina,56,14,38,4,0
Wilson,Box 101,Commissioner of Agriculture,,REP,Sid Miller,786,232,503,51,0
Wilson,Box 101,Commissioner of Agriculture,,DEM,Kim Olson,461,135,285,41,0
Wilson,Box 101,Commissioner of Agriculture,,LIB,Richard Carpenter,44,15,26,3,0
Wilson,Box 101,Railroad Commissioner,,REP,Christi Craddick,809,236,521,52,0
Wilson,Box 101,Railroad Commissioner,,DEM,Roman McAllen,448,133,273,42,0
Wilson,Box 101,Railroad Commissioner,,LIB,Mike Wright,37,14,22,1,0
Wilson,Box 101,Justice Supreme Ct P2,,REP,Jimmy Blacklock,807,240,517,50,0
