candidate,office,district,party,county,precinct,early_voting,election_day,votes
,Registered Voters,,,Crosby,Precinct 11,,,1444
,Ballots Cast,,,Crosby,Precinct 11,,,272
,Straight Party,,REP,Crosby,Precinct 11,,44,60
,Straight Party,,DEM,Crosby,Precinct 11,,38,22
,Straight Party,,LIB,Crosby,Precinct 11,,0,1
Ted Cruz,U.S. Senate,,,Crosby,Precinct 11,,78,99
Beto O'Rourke,U.S. Senate,,,Crosby,Precinct 11,,55,34
Neal M Dikeman,U.S. Senate,,,Crosby,Precinct 11,,0,2
Jodey Arrington,U.S. House,19,,Crosby,Precinct 11,,80,103
Miguel Levario,U.S. House,19,,Crosby,Precinct 11,,51,30
Greg Abbott,Governor ,,,Crosby,Precinct 11,,79,105
Lupe Valdez,Governor ,,,Crosby,Precinct 11,,52,29
Mark Jay Tippetts,Governor ,,,Crosby,Precinct 11,,2,2
Dan Patrick,Lieutenant Governor,,,Crosby,Precinct 11,,76,99
Mike Collier,Lieutenant Governor,,,Crosby,Precinct 11,,52,34
Kerry Douglas McKennon,Lieutenant Governor,,,Crosby,Precinct 11,,2,2
Ken Paxton,Attorney General ,,,Crosby,Precinct 11,,73,98
Justin Nelson,Attorney General ,,,Crosby,Precinct 11,,52,34
Michael Ray Harris,Attorney General ,,,Crosby,Precinct 11,,5,3
Glenn Hegar,Comptroller of Public Accounts,,,Crosby,Precinct 11,,76,105
Joi Chevalier,Comptroller of Public Accounts,,,Crosby,Precinct 11,,52,29
Ben Sanders,Comptroller of Public Accounts,,,Crosby,Precinct 11,,1,1
George P. Bush,Commissioner of the General Land Office,,,Crosby,Precinct 11,,82,96
Miguel Suazo,Commissioner of the General Land Office,,,Crosby,Precinct 11,,46,31
Matt Pina,Commissioner of the General Land Office,,,Crosby,Precinct 11,,4,5
Christi Craddick,Railroad Commissioner,,,Crosby,Precinct 11,,77,99
Roman McAllen,Railroad Commissioner,,,Crosby,Precinct 11,,53,33
Mike Wright,Railroad Commissioner,,,Crosby,Precinct 11,,2,4
Drew Springer,State Representative,68,,Crosby,Precinct 11,,97,110
,Registered Voters,,,Crosby,Precinct 27,,,1444
,Ballots Cast,,,Crosby,Precinct 27,,,426
,Straight Party,,REP,Crosby,Precinct 27,,51,124
,Straight Party,,DEM,Crosby,Precinct 27,,33,47
,Straight Party,,LIB,Crosby,Precinct 27,,0,0
Ted Cruz,U.S. Senate,,,Crosby,Precinct 27,,91,204
Beto O'Rourke,U.S. Senate,,,Crosby,Precinct 27,,51,73
Neal M Dikeman,U.S. Senate,,,Crosby,Precinct 27,,0,0
Jodey Arrington,U.S. House,19,,Crosby,Precinct 27,,92,212
Miguel Levario,U.S. House,19,,Crosby,Precinct 27,,45,65
Greg Abbott,Governor ,,,Crosby,Precinct 27,,92,205
Lupe Valdez,Governor ,,,Crosby,Precinct 27,,49,67
Mark Jay Tippetts,Governor ,,,Crosby,Precinct 27,,1,4
Dan Patrick,Lieutenant Governor,,,Crosby,Precinct 27,,87,186
Mike Collier,Lieutenant Governor,,,Crosby,Precinct 27,,56,84
Kerry Douglas McKennon,Lieutenant Governor,,,Crosby,Precinct 27,,1,5
Ken Paxton,Attorney General ,,,Crosby,Precinct 27,,89,190
Justin Nelson,Attorney General ,,,Crosby,Precinct 27,,51,82
Michael Ray Harris,Attorney General ,,,Crosby,Precinct 27,,2,5
Glenn Hegar,Comptroller of Public Accounts,,,Crosby,Precinct 27,,92,201
Joi Chevalier,Comptroller of Public Accounts,,,Crosby,Precinct 27,,45,64
Ben Sanders,Comptroller of Public Accounts,,,Crosby,Precinct 27,,3,8
George P. Bush,Commissioner of the General Land Office,,,Crosby,Precinct 27,,92,200
Miguel Suazo,Commissioner of the General Land Office,,,Crosby,Precinct 27,,50,64
Matt Pina,Commissioner of the General Land Office,,,Crosby,Precinct 27,,0,8
Christi Craddick,Railroad Commissioner,,,Crosby,Precinct 27,,87,195
Roman McAllen,Railroad Commissioner,,,Crosby,Precinct 27,,51,70
Mike Wright,Railroad Commissioner,,,Crosby,Precinct 27,,2,8
Drew Springer,State Representative,68,,Crosby,Precinct 27,,106,215
,Registered Voters,,,Crosby,Precinct 39,,,1444
,Ballots Cast,,,Crosby,Precinct 39,,,319
,Straight Party,,REP,Crosby,Precinct 39,,83,38
,Straight Party,,DEM,Crosby,Precinct 39,,42,11
,Straight Party,,LIB,Crosby,Precinct 39,,2,0
Ted Cruz,U.S. Senate,,,Crosby,Precinct 39,,152,60
Beto O'Rourke,U.S. Senate,,,Crosby,Precinct 39,,85,18
Neal M Dikeman,U.S. Senate,,,Crosby,Precinct 39,,1,0
Jodey Arrington,U.S. House,19,,Crosby,Precinct 39,,163,61
Miguel Levario,U.S. House,19,,Crosby,Precinct 39,,72,17
Greg Abbott,Governor ,,,Crosby,Precinct 39,,157,60
Lupe Valdez,Governor ,,,Crosby,Precinct 39,,71,17
Mark Jay Tippetts,Governor ,,,Crosby,Precinct 39,,5,1
Dan Patrick,Lieutenant Governor,,,Crosby,Precinct 39,,136,52
Mike Collier,Lieutenant Governor,,,Crosby,Precinct 39,,93,25
Kerry Douglas McKennon,Lieutenant Governor,,,Crosby,Precinct 39,,4,1
Ken Paxton,Attorney General ,,,Crosby,Precinct 39,,146,57
Justin Nelson,Attorney General ,,,Crosby,Precinct 39,,78,18
Michael Ray Harris,Attorney General ,,,Crosby,Precinct 39,,10,3
Glenn Hegar,Comptroller of Public Accounts,,,Crosby,Precinct 39,,155,59
Joi Chevalier,Comptroller of Public Accounts,,,Crosby,Precinct 39,,66,15
Ben Sanders,Comptroller of Public Accounts,,,Crosby,Precinct 39,,10,3
George P. Bush,Commissioner of the General Land Office,,,Crosby,Precinct 39,,155,59
Miguel Suazo,Commissioner of the General Land Office,,,Crosby,Precinct 39,,73,15
Matt Pina,Commissioner of the General Land Office,,,Crosby,Precinct 39,,6,4
Christi Craddick,Railroad Commissioner,,,Crosby,Precinct 39,,154,60
Roman McAllen,Railroad Commissioner,,,Crosby,Precinct 39,,71,15
Mike Wright,Railroad Commissioner,,,Crosby,Precinct 39,,6,2
Drew Springer,State Representative,68,,Crosby,Precinct 39,,174,61
,Registered Voters,,,Crosby,Precinct 44,,,1444
,Ballots Cast,,,Crosby,Precinct 44,,,427
,Straight Party,,REP,Crosby,Precinct 44,113,56,169
,Straight Party,,DEM,Crosby,Precinct 44,35,27,62
,Straight Party,,LIB,Crosby,Precinct 44,0,0,0
Ted Cruz,U.S. Senate,,,Crosby,Precinct 44,172,122,294
Beto O'Rourke,U.S. Senate,,,Crosby,Precinct 44,64,57,121
Neal M Dikeman,U.S. Senate,,,Crosby,Precinct 44,0,4,4
Jodey Arrington,U.S. House,19,,Crosby,Precinct 44,181,133,314
Miguel Levario,U.S. House,19,,Crosby,Precinct 44,55,47,102
Greg Abbott,Governor ,,,Crosby,Precinct 44,179,128,307
Lupe Valdez,Governor ,,,Crosby,Precinct 44,55,52,107
Mark Jay Tippetts,Governor ,,,Crosby,Precinct 44,0,5,5
Dan Patrick,Lieutenant Governor,,,Crosby,Precinct 44,163,105,268
Mike Collier,Lieutenant Governor,,,Crosby,Precinct 44,68,70,138
Kerry Douglas McKennon,Lieutenant Governor,,,Crosby,Precinct 44,2,7,9
Ken Paxton,Attorney General ,,,Crosby,Precinct 44,161,114,275
Justin Nelson,Attorney General ,,,Crosby,Precinct 44,66,60,126
Michael Ray Harris,Attorney General ,,,Crosby,Precinct 44,5,7,12
Glenn Hegar,Comptroller of Public Accounts,,,Crosby,Precinct 44,171,120,291
Joi Chevalier,Comptroller of Public Accounts,,,Crosby,Precinct 44,56,51,107
Ben Sanders,Comptroller of Public Accounts,,,Crosby,Precinct 44,3,10,13
George P. Bush,Commissioner of the General Land Office,,,Crosby,Precinct 44,173,121,294
Miguel Suazo,Commissioner of the General Land Office,,,Crosby,Precinct 44,52,51,103
Matt Pina,Commissioner of the General Land Office,,,Crosby,Precinct 44,6,7,13
Christi Craddick,Railroad Commissioner,,,Crosby,Precinct 44,172,121,293
Roman McAllen,Railroad Commissioner,,,Crosby,Precinct 44,56,54,110
Mike Wright,Railroad Commissioner,,,Crosby,Precinct 44,4,7,11
Drew Springer,State Representative,68,,Crosby,Precinct 44,192,146,338
