county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Gaines,2,Straight Party,,REP,Republican Party    REP,262,76,177,9
Gaines,2,Straight Party,,DEM,Democratic Party   DEM,10,3,6,1
Gaines,2,Straight Party,,LIB,Libertarian Party    LIB,0,0,0,0
Gaines,2,U.S. Senate,,REP,Ted Cruz,311,88,211,12
Gaines,2,U.S. Senate,,DEM,Beto O'Rourke,20,9,9,2
Gaines,2,U.S. Senate,,LIB,Neal M. Dikeman,1,0,1,0
Gaines,2,U.S. House,19,REP,Jodey Arrington,309,87,210,12
Gaines,2,U.S. House,19,DEM,Miguel Levario,18,9,7,2
Gaines,2,Governor,,REP,Greg Abbott,310,89,209,12
Gaines,2,Governor,,DEM,Lupe Valdez,16,7,7,2
Gaines,2,Governor,,LIB,Mark Jay Tippetts,5,2,3,0
Gaines,2,Lieutenant Governor,,REP,Dan Patrick,298,84,202,12
Gaines,2,Lieutenant Governor,,DEM,Mike Collier,24,10,12,2
Gaines,2,Lieutenant Governor,,LIB,Kerry Douglas McKennon,3,0,3,0
Gaines,2,Attorney General,,REP,Ken Paxton,300,84,204,12
Gaines,2,Attorney General,,DEM,Justin Nelson,23,10,11,2
Gaines,2,Attorney General,,LIB,Michael Ray Harris,2,0,2,0
Gaines,2,Comptroller of Public Accounts,,REP,Glenn Hegar,305,86,207,12
Gaines,2,Comptroller of Public Accounts,,DEM,Joi Chevalier,17,9,6,2
Gaines,2,Comptroller of Public Accounts,,LIB,Ben Sanders,4,0,4,0
Gaines,2,Commissioner of the General Land Office,,REP,George P. Bush,295,85,200,10
Gaines,2,Commissioner of the General Land Office,,DEM,Miguel Suazo,21,10,9,2
Gaines,2,Commissioner of the General Land Office,,LIB,Matt PiÒa,7,1,4,2
Gaines,2,Commissioner of Agriculture,,REP,Sid Miller,300,84,204,12
Gaines,2,Commissioner of Agriculture,,DEM,Kim Olson,23,11,10,2
Gaines,2,Commissioner of Agriculture,,LIB,Richard Carpenter,4,0,4,0
Gaines,2,Railroad Commissioner,,REP,Christi Craddick,304,86,206,12
Gaines,2,Railroad Commissioner,,DEM,Roman McAllen,17,8,7,2
Gaines,2,Railroad Commissioner,,LIB,Mike Wright,5,0,5,0
Gaines,2,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,304,88,204,12
Gaines,2,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,21,8,11,2
Gaines,2,"Justice, Supreme Court, Place 4",,REP,John Devine,309,89,208,12
Gaines,2,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,16,7,7,2
Gaines,2,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,307,87,208,12
Gaines,2,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,17,8,7,2
Gaines,2,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,299,85,202,12
Gaines,2,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,21,8,11,2
Gaines,2,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,6,2,4,0
Gaines,2,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,306,86,208,12
Gaines,2,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,18,9,7,2
Gaines,2,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,310,90,207,13
Gaines,2,"Judge, Court of Criminal Appeals, Place 8",,LIB,Mark Ash,5,3,2,0
Gaines,2,State Senate,31,REP,Kel Seliger,306,88,205,13
Gaines,2,State Senate,31,LIB,Jack B. Westbrook,10,3,7,0
Gaines,2,State Representative,83,REP,Dustin Burrows,305,86,207,12
Gaines,2,State Representative,83,DEM,Drew Landry,21,9,10,2
Gaines,2,"Chief Justice, 11th Court of Appeals District",,REP,John Bailey,313,90,210,13
Gaines,2,"District Judge, 106th Judicial District",,REP,Reed Filley,315,90,212,13
Gaines,2 - Seminole,Straight Party,,REP,Republican Party    REP,337,98,219,20
Gaines,2 - Seminole,Straight Party,,DEM,Democratic Party   DEM,55,14,31,10
Gaines,2 - Seminole,Straight Party,,LIB,Libertarian Party    LIB,1,0,1,0
