county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional
Wharton,Precinct 101,Registered Voters,,,,2375,,,,
Wharton,Precinct 101,Ballots Cast,,,,1226,295,844,87,0
Wharton,Precinct 101,Straight Party,,REP,,484,110,344,30,0
Wharton,Precinct 101,Straight Party,,DEM,,315,102,184,29,0
Wharton,Precinct 101,Straight Party,,LIB,,1,1,0,0,0
Wharton,Precinct 101,U.S. Senate,,REP,Ted Cruz,756,159,554,43,0
Wharton,Precinct 101,U.S. Senate,,DEM,Beto O'Rourke,459,129,286,44,0
Wharton,Precinct 101,U.S. Senate,,LIB,Neal M Dikeman,6,6,0,0,0
Wharton,Precinct 101,U.S. House,27,REP,Michael Cloud,762,156,563,43,0
Wharton,Precinct 101,U.S. House,27,DEM,Eric Holguin,432,126,265,41,0
Wharton,Precinct 101,U.S. House,27,LIB,Daniel Tinus,9,5,3,1,0
Wharton,Precinct 101,U.S. House,27,IND,James Duerr,8,2,6,0,0
Wharton,Precinct 101,Governor,,REP,Greg Abbott,802,172,579,51,0
Wharton,Precinct 101,Governor,,DEM,Lupe Valdez,408,116,257,35,0
Wharton,Precinct 101,Governor,,LIB,Mark Jay Tippetts,7,3,4,0,0
Wharton,Precinct 101,Lieutenant Governor,,REP,Dan Patrick,751,159,548,44,0
Wharton,Precinct 101,Lieutenant Governor,,DEM,Mike Collier,446,125,280,41,0
Wharton,Precinct 101,Lieutenant Governor,,LIB,Kerry Douglas McKennon,8,4,4,0,0
Wharton,Precinct 101,Attorney General,,REP,Ken Paxton,736,152,540,44,0
Wharton,Precinct 101,Attorney General,,DEM,Justin Nelson,455,129,288,38,0
Wharton,Precinct 101,Attorney General,,LIB,Michael Ray Harris,11,4,4,3,0
Wharton,Precinct 101,Comptroller of Public Accounts,,REP,Glenn Hegar,771,158,568,45,0
Wharton,Precinct 101,Comptroller of Public Accounts,,DEM,Joi Chevalier,408,117,252,39,0
Wharton,Precinct 101,Comptroller of Public Accounts,,LIB,Ben Sanders,21,10,11,0,0
Wharton,Precinct 101,Commissioner of the General Land Office,,REP,George P. Bush,759,165,551,43,0
Wharton,Precinct 101,Commissioner of the General Land Office,,DEM,Miguel Suazo,415,119,257,39,0
Wharton,Precinct 101,Commissioner of the General Land Office,,LIB,Matt Pina,23,4,17,2,0
Wharton,Precinct 101,Railroad Commissioner,,REP,Christi Craddick,753,156,556,41,0
Wharton,Precinct 101,Railroad Commissioner,,DEM,Roman McAllen,424,123,262,39,0
Wharton,Precinct 101,Railroad Commissioner,,LIB,Mike Wright,20,8,9,3,0
Wharton,Precinct 101,State Representative,85,REP,Phil Stephenson,782,170,568,44,0
Wharton,Precinct 101,State Representative,85,DEM,Jennifer Cantu,420,117,267,36,0
Wharton,Precinct 102,Registered Voters,,,,2366,,,,
Wharton,Precinct 102,Ballots Cast,,,,1468,259,1117,91,1
Wharton,Precinct 102,Straight Party,,REP,,649,112,485,52,0
Wharton,Precinct 102,Straight Party,,DEM,,206,61,129,15,1
Wharton,Precinct 102,Straight Party,,LIB,,4,2,2,0,0
Wharton,Precinct 102,U.S. Senate,,REP,Ted Cruz,1101,169,868,64,0
Wharton,Precinct 102,U.S. Senate,,DEM,Beto O'Rourke,355,87,241,26,1
Wharton,Precinct 102,U.S. Senate,,LIB,Neal M Dikeman,6,3,3,0,0
Wharton,Precinct 102,U.S. House,27,REP,Michael Cloud,1098,168,867,63,0
Wharton,Precinct 102,U.S. House,27,DEM,Eric Holguin,328,82,220,25,1
Wharton,Precinct 102,U.S. House,27,LIB,Daniel Tinus,14,3,11,0,0
Wharton,Precinct 102,U.S. House,27,IND,James Duerr,13,5,8,0,0
Wharton,Precinct 102,Governor,,REP,Greg Abbott,1141,180,894,67,0
Wharton,Precinct 102,Governor,,DEM,Lupe Valdez,303,73,206,23,1
Wharton,Precinct 102,Governor,,LIB,Mark Jay Tippetts,19,6,13,0,0
Wharton,Precinct 102,Lieutenant Governor,,REP,Dan Patrick,1080,170,845,65,0
Wharton,Precinct 102,Lieutenant Governor,,DEM,Mike Collier,355,83,246,25,1
Wharton,Precinct 102,Lieutenant Governor,,LIB,Kerry Douglas McKennon,22,5,17,0,0
Wharton,Precinct 102,Attorney General,,REP,Ken Paxton,1071,170,838,63,0
Wharton,Precinct 102,Attorney General,,DEM,Justin Nelson,357,80,250,26,1
Wharton,Precinct 102,Attorney General,,LIB,Michael Ray Harris,26,7,19,0,0
Wharton,Precinct 102,Comptroller of Public Accounts,,REP,Glenn Hegar,1128,175,887,66,0
Wharton,Precinct 102,Comptroller of Public Accounts,,DEM,Joi Chevalier,288,74,191,22,1
Wharton,Precinct 102,Comptroller of Public Accounts,,LIB,Ben Sanders,30,6,22,2,0
