county,office,district,candidate,party,precinct,early_voting,election_day,votes
Haskell,Governor,,Greg  Abbott,REP,4,51,42,93
Haskell,Governor,,Lupe  Valdez,DEM,4,12,17,29
Haskell,Governor,,Mark Jay Tippetts,LIB,4,0,0,0
Haskell,Governor,,Greg  Abbott,REP,Pct. 1,122,84,206
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 1,8,13,21
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 1,2,0,2
Haskell,Governor,,Greg  Abbott,REP,Pct. 2,167,125,292
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 2,35,30,65
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 2,4,1,5
Haskell,Governor,,Greg  Abbott,REP,Pct. 3,121,93,214
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 3,25,27,52
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 3,1,1,2
Haskell,Governor,,Greg  Abbott,REP,Pct. 5,79,72,151
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 5,10,25,35
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 5,0,1,1
Haskell,Governor,,Greg  Abbott,REP,Pct. 6,55,84,139
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 6,6,13,19
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 6,0,0,0
Haskell,Governor,,Greg  Abbott,REP,Pct. 7,22,28,50
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 7,0,3,3
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 7,0,0,0
Haskell,Governor,,Greg  Abbott,REP,Pct. 8,21,30,51
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 8,9,11,20
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 8,0,1,1
Haskell,Governor,,Greg  Abbott,REP,Pct. 9,48,63,111
Haskell,Governor,,Lupe  Valdez,DEM,Pct. 9,3,7,10
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct. 9,0,1,1
Haskell,Governor,,Greg  Abbott,REP,Pct.10,20,58,78
Haskell,Governor,,Lupe  Valdez,DEM,Pct.10,5,8,13
Haskell,Governor,,Mark Jay Tippetts,LIB,Pct.10,1,1,2
Haskell,Commissioner of Agriculture,,Kim  Olson,DEM,4,13,18,31
Haskell,Commissioner of Agriculture,,Richard Carpenter,LIB,4,1,0,1
