county,office,district,party,candidate,incumbent,votes,pct
ANDERSON,U. S. Senator,,REP,Ted Cruz,True,11335,76.92
ANDERSON,U. S. Senator,,DEM,Beto O'Rourke,False,3307,22.44
ANDERSON,U. S. Senator,,LIB,Neal M. Dikeman,False,94,0.64
ANDERSON,U. S. Senator,,,Total,,14736,
ANDERSON,U. S. Representative,5,REP,Lance Gooden,False,11421,78.21
ANDERSON,U. S. Representative,5,DEM,Dan Wood,False,3162,21.65
ANDERSON,U. S. Representative,5,WI,Phil Gray,False,20,0.14
ANDERSON,U. S. Representative,5,,Total,,14603,
ANDERSON,Governor,,REP,Greg Abbott,True,11732,79.53
ANDERSON,Governor,,DEM,Lupe Valdez,False,2868,19.44
ANDERSON,Governor,,LIB,Mark Jay Tippetts,False,151,1.02
ANDERSON,Governor,,,Total,,14751,
ANDERSON,Lieutenant Governor,,REP,Dan Patrick,True,11113,75.71
ANDERSON,Lieutenant Governor,,DEM,Mike Collier,False,3350,22.82
ANDERSON,Lieutenant Governor,,LIB,Kerry Douglas McKennon,False,216,1.47
ANDERSON,Lieutenant Governor,,,Total,,14679,
ANDERSON,Attorney General,,REP,Ken Paxton,True,11044,75.38
ANDERSON,Attorney General,,DEM,Justin Nelson,False,3314,22.62
ANDERSON,Attorney General,,LIB,Michael Ray Harris,False,293,2.00
ANDERSON,Attorney General,,,Total,,14651,
ANDERSON,Comptroller of Public Accounts,,REP,Glenn Hegar,True,11194,77.08
ANDERSON,Comptroller of Public Accounts,,DEM,Joi Chevalier,False,2994,20.62
ANDERSON,Comptroller of Public Accounts,,LIB,Ben Sanders,False,335,2.31
ANDERSON,Comptroller of Public Accounts,,,Total,,14523,
ANDERSON,Commissioner of the General Land Office,,REP,George P. Bush,True,11080,75.82
ANDERSON,Commissioner of the General Land Office,,DEM,Miguel Suazo,False,3037,20.78
ANDERSON,Commissioner of the General Land Office,,LIB,Matt Pina,False,497,3.40
ANDERSON,Commissioner of the General Land Office,,,Total,,14614,
ANDERSON,Commissioner of Agriculture,,REP,Sid Miller,True,11073,76.00
ANDERSON,Commissioner of Agriculture,,DEM,Kim Olson,False,3238,22.23
ANDERSON,Commissioner of Agriculture,,LIB,Richard Carpenter,False,258,1.77
ANDERSON,Commissioner of Agriculture,,,Total,,14569,
ANDERSON,Railroad Commissioner,,REP,Christi Craddick,True,11199,76.80
ANDERSON,Railroad Commissioner,,DEM,Roman McAllen,False,3054,20.94
ANDERSON,Railroad Commissioner,,LIB,Mike Wright,False,329,2.26
ANDERSON,Railroad Commissioner,,,Total,,14582,
ANDERSON,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,True,11298,77.84
ANDERSON,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,False,3216,22.16
ANDERSON,"Justice, Supreme Court, Place 2",,,Total,,14514,
ANDERSON,"Justice, Supreme Court, Place 4",,REP,John Devine,True,11317,78.10
ANDERSON,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,False,3173,21.90
ANDERSON,"Justice, Supreme Court, Place 4",,,Total,,14490,
ANDERSON,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,True,11317,78.17
ANDERSON,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,False,3161,21.83
ANDERSON,"Justice, Supreme Court, Place 6",,,Total,,14478,
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,True,11176,76.88
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,False,3117,21.44
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,False,244,1.68
ANDERSON,"Presiding Judge, Court of Criminal Appeals",,,Total,,14537,
ANDERSON,Judge Court of Criminal Appeals,7,REP,Barbara Parker Hervey,True,11354,78.22
ANDERSON,Judge Court of Criminal Appeals,7,DEM,Ramona Franklin,False,3161,21.78
ANDERSON,Judge Court of Criminal Appeals,7,,Total,,14515,
ANDERSON,Judge Court of Criminal Appeals,8,REP,Michelle Slaughter,False,11533,88.23
ANDERSON,Judge Court of Criminal Appeals,8,LIB,Mark Ash,False,1538,11.77
ANDERSON,Judge Court of Criminal Appeals,8,,Total,,13071,
ANDERSON,State Senator,3,REP,Robert Nichols,True,11351,77.58
ANDERSON,State Senator,3,DEM,Shirley Layton,False,3072,21.00
ANDERSON,State Senator,3,LIB,Bruce Quarles,False,209,1.43
ANDERSON,State Senator,3,,Total,,14632,
ANDERSON,State Representative,8,REP,Cody Harris,False,11534,78.72
ANDERSON,State Representative,8,DEM,Wesley D. Ratcliff,False,3118,21.28
ANDERSON,State Representative,8,,Total,,14652,
ANDERSON,"Justice, 12th Court of Appeals District, Place 3",,REP,Greg Neeley,True,12015,100.00
ANDERSON,"Justice, 12th Court of Appeals District, Place 3",,,Total,,12015,
ANDERSON,District Judge,87th Judicial District,REP,Deborah Oakes Evans,True,11944,100.00
ANDERSON,District Judge,87th Judicial District,,Total,,11944,
ANDERSON,District Judge,369th Judicial District,REP,Michael Davis,True,12091,100.00
ANDERSON,District Judge,369th Judicial District,,Total,,12091,
ANDERSON,Criminal,Attorney Anderson County,REP,Allyson Mitchell,True,12097,100.00
ANDERSON,Criminal,Attorney Anderson County,,Total,,12097,
ANDREWS,U. S. Senator,,REP,Ted Cruz,True,3338,80.80
ANDREWS,U. S. Senator,,DEM,Beto O'Rourke,False,776,18.78
ANDREWS,U. S. Senator,,LIB,Neal M. Dikeman,False,17,0.41
ANDREWS,U. S. Senator,,,Total,,4131,
ANDREWS,U. S. Representative,11,REP,Mike Conaway,True,3419,82.93
ANDREWS,U. S. Representative,11,DEM,Jennie Lou Leeder,False,656,15.91
ANDREWS,U. S. Representative,11,LIB,Rhett Rosenquest Smith,False,48,1.16
ANDREWS,U. S. Representative,11,,Total,,4123,
ANDREWS,Governor,,REP,Greg Abbott,True,3400,82.42
ANDREWS,Governor,,DEM,Lupe Valdez,False,687,16.65
ANDREWS,Governor,,LIB,Mark Jay Tippetts,False,38,0.92
ANDREWS,Governor,,,Total,,4125,
ANDREWS,Lieutenant Governor,,REP,Dan Patrick,True,3126,76.11
ANDREWS,Lieutenant Governor,,DEM,Mike Collier,False,908,22.11
ANDREWS,Lieutenant Governor,,LIB,Kerry Douglas McKennon,False,73,1.78
ANDREWS,Lieutenant Governor,,,Total,,4107,
ANDREWS,Attorney General,,REP,Ken Paxton,True,3256,79.41
ANDREWS,Attorney General,,DEM,Justin Nelson,False,752,18.34
ANDREWS,Attorney General,,LIB,Michael Ray Harris,False,92,2.24
ANDREWS,Attorney General,,,Total,,4100,
ANDREWS,Comptroller of Public Accounts,,REP,Glenn Hegar,True,3287,80.70
ANDREWS,Comptroller of Public Accounts,,DEM,Joi Chevalier,False,668,16.40
ANDREWS,Comptroller of Public Accounts,,LIB,Ben Sanders,False,118,2.90
ANDREWS,Comptroller of Public Accounts,,,Total,,4073,
ANDREWS,Commissioner of the General Land Office,,REP,George P. Bush,True,3291,80.66
ANDREWS,Commissioner of the General Land Office,,DEM,Miguel Suazo,False,679,16.64
ANDREWS,Commissioner of the General Land Office,,LIB,Matt Pina,False,110,2.70
ANDREWS,Commissioner of the General Land Office,,,Total,,4080,
ANDREWS,Commissioner of Agriculture,,REP,Sid Miller,True,3253,80.04
