county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Nueces,1,"Justice, 13th Court of Appeals District, Place 2",,REP,Under Votes,16,9,3,4
Nueces,1,"Justice, 13th Court of Appeals District, Place 4",,REP,Jaime Tijerina,56,31,18,7
Nueces,1,"Justice, 13th Court of Appeals District, Place 4",,REP,Over Votes,0,0,0,0
Nueces,1,"Justice, 13th Court of Appeals District, Place 4",,REP,Under Votes,19,12,3,4
Nueces,1,"Justice, 13th Court of Appeals District, Place 5",,REP,Clarissa Silva,57,31,19,7
Nueces,1,"Justice, 13th Court of Appeals District, Place 5",,REP,Over Votes,0,0,0,0
Nueces,1,"Justice, 13th Court of Appeals District, Place 5",,REP,Under Votes,18,12,2,4
Nueces,1,"District Judge, 105th Judicial District",,REP,Jack W. Pulcher,57,32,17,8
Nueces,1,"District Judge, 105th Judicial District",,REP,Over Votes,0,0,0,0
Nueces,1,"District Judge, 105th Judicial District",,REP,Under Votes,18,11,4,3
Nueces,1,"District Judge, 148th Judicial District",,REP,Mark W. Stolley,32,16,11,5
Nueces,1,"District Judge, 148th Judicial District",,REP,Over Votes,0,0,0,0
Nueces,1,"District Judge, 148th Judicial District",,REP,Under Votes,6,4,0,2
Nueces,1,"District Judge, 148th Judicial District",,REP,Bill Kelly,37,23,10,4
Nueces,1,"District Judge, 319th Judicial District",,REP,David Stith,60,35,17,8
Nueces,1,"District Judge, 319th Judicial District",,REP,Over Votes,0,0,0,0
Nueces,1,"District Judge, 319th Judicial District",,REP,Under Votes,15,8,4,3
Nueces,1,County Judge,,REP,Mike Pusley,65,38,19,8
Nueces,1,County Judge,,REP,Over Votes,0,0,0,0
Nueces,1,County Judge,,REP,Under Votes,10,5,2,3
Nueces,1,"Judge, County Court-at-Law No. 1",,REP,Russell Manning,55,31,17,7
Nueces,1,"Judge, County Court-at-Law No. 1",,REP,Over Votes,0,0,0,0
Nueces,1,"Judge, County Court-at-Law No. 1",,REP,Under Votes,20,12,4,4
Nueces,1,"Judge, County Court-at-Law No. 4",,REP,Mark H. Woerner,56,32,17,7
Nueces,1,"Judge, County Court-at-Law No. 4",,REP,Over Votes,0,0,0,0
