county,office,district,candidate,party,precinct,early_voting,election_day,votes
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,1E,2,2,4
Ward,U.S. House,23,William Hurd,REP,1E,32,32,64
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,1W,0,1,1
Ward,U.S. House,23,William Hurd,REP,1W,1,10,11
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,2,11,13,24
Ward,U.S. House,23,William Hurd,REP,2,147,109,256
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,3N,12,4,16
Ward,U.S. House,23,William Hurd,REP,3N,80,65,145
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,3S,1,3,4
Ward,U.S. House,23,William Hurd,REP,3S,6,46,52
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,4E,7,4,11
Ward,U.S. House,23,William Hurd,REP,4E,40,36,76
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,4M,1,3,4
Ward,U.S. House,23,William Hurd,REP,4M,10,26,36
Ward,U.S. House,23,Alma Arredondo-Lynch,REP,4W,0,1,1
Ward,U.S. House,23,William Hurd,REP,4W,1,9,10
Ward,Governor,,Barbara Krueger,REP,1E,1,0,1
Ward,Governor,,Gregory Abbott,REP,1E,33,31,64
Ward,Governor,,Larry Kilgore,REP,1E,0,2,2
Ward,Governor,,Barbara Krueger,REP,1W,0,1,1
Ward,Governor,,Gregory Abbott,REP,1W,1,11,12
Ward,Governor,,Larry Kilgore,REP,1W,0,0,0
Ward,Governor,,Barbara Krueger,REP,2,10,10,20
Ward,Governor,,Gregory Abbott,REP,2,144,116,260
Ward,Governor,,Larry Kilgore,REP,2,2,2,4
Ward,Governor,,Barbara Krueger,REP,3N,8,1,9
Ward,Governor,,Gregory Abbott,REP,3N,81,73,154
Ward,Governor,,Larry Kilgore,REP,3N,2,0,2
Ward,Governor,,Barbara Krueger,REP,3S,0,1,1
Ward,Governor,,Gregory Abbott,REP,3S,7,49,56
Ward,Governor,,Larry Kilgore,REP,3S,1,0,1
Ward,Governor,,Barbara Krueger,REP,4E,3,0,3
Ward,Governor,,Gregory Abbott,REP,4E,44,40,84
Ward,Governor,,Larry Kilgore,REP,4E,1,0,1
Ward,Governor,,Barbara Krueger,REP,4M,0,1,1
Ward,Governor,,Gregory Abbott,REP,4M,9,29,38
Ward,Governor,,Larry Kilgore,REP,4M,0,0,0
Ward,Governor,,Barbara Krueger,REP,4W,0,0,0
Ward,Governor,,Gregory Abbott,REP,4W,1,10,11
Ward,Governor,,Larry Kilgore,REP,4W,0,0,0
Ward,Attorney General,,Warren Paxton,REP,1E,31,26,57
Ward,Attorney General,,Warren Paxton,REP,1W,1,12,13
Ward,Attorney General,,Warren Paxton,REP,2,133,111,244
Ward,Attorney General,,Warren Paxton,REP,3N,78,63,141
Ward,Attorney General,,Warren Paxton,REP,3S,8,37,45
