candidate,office,district,party,county,precinct,votes,early/absentee,election_day
,Registered Voters,,,Ochiltree,Precinct 1,950,,
,Ballots Cast,,,Ochiltree,Precinct 1,345,151,194
,Straight Party,,REP,Ochiltree,Precinct 1,193,87,106
,Straight Party,,DEM,Ochiltree,Precinct 1,20,6,14
,Straight Party,,LIB,Ochiltree,Precinct 1,1,0,1
Ted Cruz ,U.S. Senate,,REP,Ochiltree,Precinct 1,293,134,159
Beto O'Rourke ,U.S. Senate,,DEM,Ochiltree,Precinct 1,46,16,30
Neal M. Dikeman,U.S. Senate,,LIB,Ochiltree,Precinct 1,5,1,4
Mac Thornberry,U.S. House,13,REP,Ochiltree,Precinct 1,298,135,163
Greg Sagan,U.S. House,13,DEM,Ochiltree,Precinct 1,38,16,22
Calvin DeWeese,U.S. House,13,LIB,Ochiltree,Precinct 1,6,0,6
Greg Abbott,Governor ,,REP,Ochiltree,Precinct 1,294,135,159
Lupe Valdez,Governor ,,DEM,Ochiltree,Precinct 1,42,15,27
Mark Jay Tippetts ,Governor ,,LIB,Ochiltree,Precinct 1,6,1,5
Dan Patrick,Lieutenant Governor,,REP,Ochiltree,Precinct 1,271,126,145
Mike Collier,Lieutenant Governor,,DEM,Ochiltree,Precinct 1,63,24,39
Kerry Douglad McKennon,Lieutenant Governor,,LIB,Ochiltree,Precinct 1,7,1,6
Ken Paxton,Attorney General,,REP,Ochiltree,Precinct 1,278,127,151
Justin Nelson ,Attorney General,,DEM,Ochiltree,Precinct 1,57,22,35
Michael Ray Harris ,Attorney General,,LIB,Ochiltree,Precinct 1,6,1,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Ochiltree,Precinct 1,290,135,155
Joi Chevalier,Comptroller of Public Accounts,,DEM,Ochiltree,Precinct 1,37,12,25
Ben Sanders,Comptroller of Public Accounts,,LIB,Ochiltree,Precinct 1,7,0,7
George P Bush,Commissioner of the General Land Office,,REP,Ochiltree,Precinct 1,288,133,155
Miguel Suazo,Commissioner of the General Land Office,,DEM,Ochiltree,Precinct 1,39,12,27
Matt Pina,Commissioner of the General Land Office,,LIB,Ochiltree,Precinct 1,6,2,4
Christ Craddick ,Railroad Commissioner,,REP,Ochiltree,Precinct 1,292,131,161
Roman McAllen,Railroad Commissioner,,DEM,Ochiltree,Precinct 1,33,11,22
Mike Wright,Railroad Commissioner,,LIB,Ochiltree,Precinct 1,8,4,4
Kel Seliger ,State Senator,31,REP,Ochiltree,Precinct 1,303,137,166
Jack B Westbrook,State Senator,31,LIB,Ochiltree,Precinct 1,23,7,16
Ken King,State Representative,88,REP,Ochiltree,Precinct 1,287,127,160
Ezekiel Barron,State Representative,88,DEM,Ochiltree,Precinct 1,46,16,30
,Registered Voters,,,Ochiltree,Precinct 2,1151,,
,Ballots Cast,,,Ochiltree,Precinct 2,494,245,249
,Straight Party,,REP,Ochiltree,Precinct 2,273,133,140
,Straight Party,,DEM,Ochiltree,Precinct 2,25,13,12
,Straight Party,,LIB,Ochiltree,Precinct 2,2,0,2
Ted Cruz ,U.S. Senate,,REP,Ochiltree,Precinct 2,441,217,224
Beto O'Rourke ,U.S. Senate,,DEM,Ochiltree,Precinct 2,52,28,24
Neal M. Dikeman,U.S. Senate,,LIB,Ochiltree,Precinct 2,1,0,1
Mac Thornberry,U.S. House,13,REP,Ochiltree,Precinct 2,443,219,224
Greg Sagan,U.S. House,13,DEM,Ochiltree,Precinct 2,44,23,21
Calvin DeWeese,U.S. House,13,LIB,Ochiltree,Precinct 2,6,3,3
Greg Abbott,Governor ,,REP,Ochiltree,Precinct 2,436,214,222
Lupe Valdez,Governor ,,DEM,Ochiltree,Precinct 2,52,28,24
Mark Jay Tippetts ,Governor ,,LIB,Ochiltree,Precinct 2,3,1,2
Dan Patrick,Lieutenant Governor,,REP,Ochiltree,Precinct 2,403,193,210
Mike Collier,Lieutenant Governor,,DEM,Ochiltree,Precinct 2,78,48,30
Kerry Douglad McKennon,Lieutenant Governor,,LIB,Ochiltree,Precinct 2,7,1,6
Ken Paxton,Attorney General,,REP,Ochiltree,Precinct 2,427,209,218
Justin Nelson ,Attorney General,,DEM,Ochiltree,Precinct 2,55,33,22
Michael Ray Harris ,Attorney General,,LIB,Ochiltree,Precinct 2,7,2,5
Glenn Hegar,Comptroller of Public Accounts,,REP,Ochiltree,Precinct 2,437,217,220
Joi Chevalier,Comptroller of Public Accounts,,DEM,Ochiltree,Precinct 2,40,23,17
Ben Sanders,Comptroller of Public Accounts,,LIB,Ochiltree,Precinct 2,11,3,8
George P Bush,Commissioner of the General Land Office,,REP,Ochiltree,Precinct 2,432,210,222
Miguel Suazo,Commissioner of the General Land Office,,DEM,Ochiltree,Precinct 2,41,23,18
Matt Pina,Commissioner of the General Land Office,,LIB,Ochiltree,Precinct 2,15,9,6
Christ Craddick ,Railroad Commissioner,,REP,Ochiltree,Precinct 2,437,219,218
Roman McAllen,Railroad Commissioner,,DEM,Ochiltree,Precinct 2,44,23,21
Mike Wright,Railroad Commissioner,,LIB,Ochiltree,Precinct 2,8,2,6
Kel Seliger ,State Senator,31,REP,Ochiltree,Precinct 2,445,222,223
Jack B Westbrook,State Senator,31,LIB,Ochiltree,Precinct 2,22,12,10
Ken King,State Representative,88,REP,Ochiltree,Precinct 2,436,219,217
Ezekiel Barron,State Representative,88,DEM,Ochiltree,Precinct 2,49,23,26
,Registered Voters,,,Ochiltree,Precinct 3,1715,,
,Ballots Cast,,,Ochiltree,Precinct 3,939,520,419
,Straight Party,,REP,Ochiltree,Precinct 3,504,290,214
,Straight Party,,DEM,Ochiltree,Precinct 3,23,12,11
,Straight Party,,LIB,Ochiltree,Precinct 3,6,0,6
Ted Cruz ,U.S. Senate,,REP,Ochiltree,Precinct 3,857,474,383
