county,precinct,office,district,Candidate,party,votes,mail,early_voting,election_day
Wharton,101,Registered Voters,,,,2366,,,
Wharton,102,Registered Voters,,,,2340,,,
Wharton,103,Registered Voters,,,,1991,,,
Wharton,201,Registered Voters,,,,2709,,,
Wharton,202,Registered Voters,,,,912,,,
Wharton,203,Registered Voters,,,,3124,,,
Wharton,301,Registered Voters,,,,2291,,,
Wharton,302,Registered Voters,,,,2203,,,
Wharton,303,Registered Voters,,,,2057,,,
Wharton,401,Registered Voters,,,,2629,,,
Wharton,402,Registered Voters,,,,1568,,,
Wharton,403,Registered Voters,,,,806,,,
Wharton,Total,Registered Voters,,,,24996,,,
Wharton,101,Ballots Cast,,,,159,30,51,78
Wharton,102,Ballots Cast,,,,200,31,91,78
Wharton,103,Ballots Cast,,,,94,21,34,39
Wharton,201,Ballots Cast,,,,185,57,21,107
Wharton,202,Ballots Cast,,,,53,21,21,11
Wharton,203,Ballots Cast,,,,164,66,55,43
Wharton,301,Ballots Cast,,,,218,33,140,45
Wharton,302,Ballots Cast,,,,178,27,108,43
Wharton,303,Ballots Cast,,,,153,26,81,46
Wharton,401,Ballots Cast,,,,115,28,41,46
Wharton,402,Ballots Cast,,,,41,10,24,7
Wharton,403,Ballots Cast,,,,37,13,14,10
Wharton,Total,Ballots Cast,,,,1597,363,681,553
Wharton,101,U.S. House,27,Michael Cloud,REP,87,7,33,47
Wharton,102,U.S. House,27,Michael Cloud,REP,154,18,75,61
Wharton,103,U.S. House,27,Michael Cloud,REP,66,11,25,30
Wharton,201,U.S. House,27,Michael Cloud,REP,141,38,17,86
Wharton,202,U.S. House,27,Michael Cloud,REP,22,5,14,3
Wharton,203,U.S. House,27,Michael Cloud,REP,64,6,39,19
Wharton,301,U.S. House,27,Michael Cloud,REP,172,19,122,31
Wharton,302,U.S. House,27,Michael Cloud,REP,134,14,87,33
Wharton,303,U.S. House,27,Michael Cloud,REP,129,16,73,40
Wharton,401,U.S. House,27,Michael Cloud,REP,71,17,33,21
Wharton,402,U.S. House,27,Michael Cloud,REP,30,2,22,6
Wharton,403,U.S. House,27,Michael Cloud,REP,18,4,10,4
Wharton,Total,U.S. House,27,Michael Cloud,REP,1088,157,550,381
Wharton,101,U.S. House,27,Christopher Suprun,IND,0,0,0,0
Wharton,102,U.S. House,27,Christopher Suprun,IND,0,0,0,0
Wharton,103,U.S. House,27,Christopher Suprun,IND,0,0,0,0
