county,precinct,office,district,party,candidate,votes,early_voting,election_day
Hale,101,U.S. Senate,,REP,Over Votes,0,0,0
Hale,101,U.S. Senate,,REP,Under Votes,7,5,2
Hale,101,Registered Voters,,REP,,986,,
Hale,101,Ballots Cast,,REP,,97,57,0
Hale,101,U.S. Senate,,REP,Geraldine Sam,1,1,0
Hale,101,U.S. Senate,,REP,Over Votes,0,0,0
Hale,101,U.S. Senate,,REP,Under Votes,7,5,2
Hale,101,U.S. Senate,,REP,Stefano de Stefano,0,0,0
Hale,101,U.S. Senate,,REP,Ted Cruz,73,40,33
Hale,101,U.S. Senate,,REP,"Bruce Jacobson, Jr.",4,3,1
Hale,101,U.S. Senate,,REP,Mary Miller,2,2,0
Hale,101,U.S. Senate,,DEM,Over Votes,0,0,0
Hale,101,U.S. Senate,,DEM,Under Votes,0,0,0
Hale,101,Registered Voters,,DEM,,986,,
Hale,101,Ballots Cast,,DEM,,97,57,1
Hale,101,U.S. Senate,,DEM,Edward Kimbrough,3,2,1
Hale,101,U.S. Senate,,DEM,Over Votes,0,0,0
Hale,101,U.S. Senate,,DEM,Under Votes,0,0,0
Hale,101,U.S. Senate,,DEM,Beto O'Rourke,3,2,1
Hale,101,U.S. Senate,,DEM,Sema Hernandez,4,2,2
Hale,101,U.S. House,19,DEM,Miguel Levario,10,6,4
Hale,101,U.S. House,19,DEM,Over Votes,0,0,0
Hale,101,U.S. House,19,DEM,Under Votes,0,0,0
Hale,101,U.S. House,19,REP,Jodey Arrington,78,46,32
Hale,101,U.S. House,19,REP,Over Votes,0,0,0
Hale,101,U.S. House,19,REP,Under Votes,9,5,4
Hale,101,Governor,,DEM,Joe Mumbach,1,1,0
Hale,101,Governor,,DEM,Over Votes,0,0,0
Hale,101,Governor,,DEM,Under Votes,1,0,1
Hale,101,Governor,,DEM,Andrew White,1,1,0
Hale,101,Governor,,DEM,Grady Yarbrough,1,1,0
Hale,101,Governor,,DEM,Lupe Valdez,4,1,3
Hale,101,Governor,,DEM,"Cedric Davis, Sr.",1,1,0
Hale,101,Governor,,DEM,Adrian Ocegueda,1,1,0
Hale,101,Governor,,DEM,Jeffrey Payne,0,0,0
Hale,101,Governor,,DEM,James Jolly Clark,0,0,0
Hale,101,Governor,,DEM,Tom Wakely,0,0,0
Hale,101,Governor,,REP,SECEDE Kilgore,2,0,2
Hale,101,Governor,,REP,Over Votes,0,0,0
Hale,101,Governor,,REP,Under Votes,4,4,0
Hale,101,Governor,,REP,Barbara Krueger,8,7,1
Hale,101,Governor,,REP,Greg Abbott,73,40,33
Hale,101,Lieutenant Governor,,DEM,Michael Cooper,4,2,2
Hale,101,Lieutenant Governor,,DEM,Over Votes,0,0,0
Hale,101,Lieutenant Governor,,DEM,Under Votes,3,2,1
Hale,101,Lieutenant Governor,,DEM,Mike Collier,3,2,1
Hale,101,Lieutenant Governor,,REP,Scott Milder,20,10,10
Hale,101,Lieutenant Governor,,REP,Over Votes,0,0,0
Hale,101,Lieutenant Governor,,REP,Under Votes,5,5,0
Hale,101,Lieutenant Governor,,REP,Dan Patrick,62,36,26
Hale,101,Attorney General,,DEM,Justin Nelson,9,6,3
Hale,101,Attorney General,,DEM,Over Votes,0,0,0
Hale,101,Attorney General,,DEM,Under Votes,1,0,1
Hale,101,Attorney General,,REP,Ken Paxton,74,42,32
