county,precinct,office,district,party,candidate,votes,election_day,early_voting
Menard,1,Registered Voters,,,,346,,
Menard,1,U.S. Senate,,REP,"Bruce Jacobson, Jr.",6,3,3
Menard,1,U.S. Senate,,REP,Geraldine Sam,4,2,2
Menard,1,U.S. Senate,,REP,Ted Cruz,93,45,48
Menard,1,U.S. Senate,,REP,Stefano de Stefano,4,4,0
Menard,1,U.S. Senate,,REP,Mary Miller,7,3,4
Menard,1,U.S. House,11,REP,Paul Myers,20,13,7
Menard,1,U.S. House,11,REP,Mike Conaway,92,43,49
Menard,1,Governor,,REP,SECEDE Kilgore,2,0,2
Menard,1,Governor,,REP,Greg Abbott,91,44,47
Menard,1,Governor,,REP,Barbara Krueger,19,14,5
Menard,1,Lieutenant Governor,,REP,Scott Milder,43,23,20
Menard,1,Lieutenant Governor,,REP,Dan Patrick,54,23,31
Menard,1,Attorney General,,REP,Ken Paxton,83,37,46
Menard,1,Comptroller of Public Accounts,,REP,Glenn Hegar,84,38,46
Menard,1,Commissioner of the General Land Office,,REP,Jerry Patterson,22,14,8
Menard,1,Commissioner of the General Land Office,,REP,Rick Range,9,7,2
Menard,1,Commissioner of the General Land Office,,REP,Davey Edwards,9,4,5
Menard,1,Commissioner of the General Land Office,,REP,George P. Bush,55,25,30
Menard,1,Commissioner of Agriculture,,REP,Jim Hogan,17,13,4
Menard,1,Commissioner of Agriculture,,REP,Sid Miller,62,27,35
Menard,1,Commissioner of Agriculture,,REP,Trey Blocker,15,7,8
Menard,1,Railroad Commissioner,,REP,Christi Craddick,63,29,34
Menard,1,Railroad Commissioner,,REP,Weston Martinez,32,19,13
Menard,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,78,37,41
Menard,1,"Justice, Supreme Court, Place 4",,REP,John Devine,78,37,41
Menard,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,79,38,41
Menard,1,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,44,23,21
Menard,1,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,42,23,19
Menard,1,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,78,38,40
Menard,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,31,16,15
Menard,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,38,22,16
Menard,1,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,18,7,11
Menard,1,State Representative,53,REP,Andrew S. Murr,94,43,51
Menard,1,"Justice, 4th Court of Appeals District, Place No. 2",,REP,Marialyn Barnard,75,35,40
Menard,1,"Justice, 4th Court of Appeals District, Place No. 3",,REP,Jason Pulliam,76,35,41
Menard,1,"Justice, 4th Court of Appeals District, Place No. 4",,REP,Patrick Ballantyne,77,36,41
Menard,1,"Justice, 4th Court of Appeals District, Place No. 5",,REP,Rebecca Simmons,72,31,41
Menard,1,"Justice, 4th Court of Appeals District, Place No. 7",,REP,Shane Stolarczyk,76,34,42
Menard,1,"District Judge, 452nd Judicial District",,REP,"Robert R. ""Rob"" Hofmann",93,41,52
Menard,1,"District Attorney, 452nd Judicial District",,REP,Tonya Spaeth Ahlschwede,93,44,49
Menard,1,County Judge,,REP,Richard Cordes,99,55,44
Menard,1,District and County Clerk,,REP,Christy G Eggleston,103,51,52
Menard,1,County Treasurer,,REP,John Whiteley,33,21,12
Menard,1,County Treasurer,,REP,Todd Wenzel,84,37,47
Menard,1,Justice of the Peace,,REP,Rocky Saucedo,33,20,13
Menard,1,Justice of the Peace,,REP,Robert Hernandez,92,46,46
Menard,1,County Chairman,,REP,Susan J Williamson,92,46,46
Menard,1,U.S. Senate,,DEM,Edward Kimbrough,2,1,1
Menard,1,U.S. Senate,,DEM,Sema Hernandez,0,0,0
Menard,1,U.S. Senate,,DEM,Beto O'Rourke,2,1,1
Menard,1,U.S. House,11,DEM,Jennie Lou Leeder,4,2,2
Menard,1,U.S. House,11,DEM,Eric Pfalzgraf,0,0,0
Menard,1,Governor,,DEM,James Jolly Clark,0,0,0
Menard,1,Governor,,DEM,Tom Wakely,2,2,0
Menard,1,Governor,,DEM,Andrew White,1,0,1
Menard,1,Governor,,DEM,Joe Mumbach,0,0,0
Menard,1,Governor,,DEM,Grady Yarbrough,0,0,0
Menard,1,Governor,,DEM,"Cedric Davis, Sr.",0,0,0
Menard,1,Governor,,DEM,Adrian Ocegueda,0,0,0
Menard,1,Governor,,DEM,Jeffrey Payne,0,0,0
Menard,1,Governor,,DEM,Lupe Valdez,1,0,1
Menard,1,Lieutenant Governor,,DEM,Michael Cooper,1,0,1
Menard,1,Lieutenant Governor,,DEM,Mike Collier,3,2,1
Menard,1,Attorney General,,DEM,Justin Nelson,3,1,2
Menard,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,3,1,2
Menard,1,Comptroller of Public Accounts,,DEM,Tim Mahoney,1,1,0
Menard,1,Commissioner of the General Land Office,,DEM,Tex Morgan,2,1,1
Menard,1,Commissioner of the General Land Office,,DEM,Miguel Suazo,1,0,1
Menard,1,Commissioner of Agriculture,,DEM,Kim Olson,3,1,2
Menard,1,Railroad Commissioner,,DEM,Roman McAllen,3,1,2
Menard,1,Railroad Commissioner,,DEM,Chris Spellmon,0,0,0
Menard,1,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,1,1,0
Menard,1,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,2,1,1
Menard,1,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,3,2,1
Menard,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,3,2,1
Menard,1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,3,2,1
Menard,1,State Representative,53,DEM,Stephanie Lochte Ertel,4,2,2
Menard,1,State Representative,53,DEM,Joe P. Herrera,0,0,0
Menard,1,"Justice, 4th Court of Appeals District, Place No. 2",,DEM,Beth Watkins,3,2,1
Menard,1,"Justice, 4th Court of Appeals District, Place No. 3",,DEM,Patricia O'Connell Alvarez,3,2,1
Menard,1,"Justice, 4th Court of Appeals District, Place No. 4",,DEM,Luz Elena Chapa,3,2,1
Menard,1,"Justice, 4th Court of Appeals District, Place No. 5",,DEM,Liza Rodriguez,3,2,1
Menard,1,"Justice, 4th Court of Appeals District, Place No. 7",,DEM,Rebeca Martinez,3,2,1
Menard,1,Proposition #1 Right to a 21st Century Public Education:,,,Yes,4,2,2
Menard,1,Proposition #1 Right to a 21st Century Public Education:,,,No,0,0,0
Menard,1,Proposition #2 Student Loan Debt:,,,Yes,4,2,2
Menard,1,Proposition #2 Student Loan Debt:,,,No,0,0,0
Menard,1,Proposition #3 Right to Healthcare:,,,Yes,4,2,2
Menard,1,Proposition #3 Right to Healthcare:,,,No,0,0,0
Menard,1,Proposition #4 Right to Economic Security:,,,Yes,4,2,2
Menard,1,Proposition #4 Right to Economic Security:,,,No,0,0,0
Menard,1,Proposition #5 National Jobs Program:,,,Yes,4,2,2
Menard,1,Proposition #5 National Jobs Program:,,,No,0,0,0
Menard,1,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,Yes,4,2,2
Menard,1,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment:",,,No,0,0,0
Menard,1,Proposition #7 Right to Dignity & Respect:,,,Yes,4,2,2
Menard,1,Proposition #7 Right to Dignity & Respect:,,,No,0,0,0
Menard,1,Proposition #8 Right to Housing:,,,Yes,4,2,2
Menard,1,Proposition #8 Right to Housing:,,,No,0,0,0
Menard,1,Proposition #9 Right to Vote:,,,Yes,4,2,2
Menard,1,Proposition #9 Right to Vote:,,,No,0,0,0
Menard,1,Proposition #10 Right to a Fair Criminal Justice System:,,,Yes,4,2,2
Menard,1,Proposition #10 Right to a Fair Criminal Justice System:,,,No,0,0,0
Menard,1,Proposition #11 Immigrant Rights:,,,Yes,4,2,2
Menard,1,Proposition #11 Immigrant Rights:,,,No,0,0,0
Menard,1,Proposition #12 Right to Fair Taxation:,,,Yes,4,2,2
Menard,1,Proposition #12 Right to Fair Taxation:,,,No,0,0,0
Menard,1,Proposition 1,,,YES,72,36,36
Menard,1,Proposition 1,,,NO,33,16,17
Menard,1,Proposition 2,,,YES,95,44,51
