county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Matagorda,Precinct 1A,Straight Party,,Republican Party,REP,28,384,94,506
Matagorda,Precinct 1A,Straight Party,,Democratic Party,DEM,12,87,40,139
Matagorda,Precinct 1A,Straight Party,,Libertarian Party,LIB,0,3,2,5
Matagorda,Precinct 1A,Straight Party,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Straight Party,,Under Votes,,40,577,170,787
Matagorda,Precinct 1A,U.S. Senate,,Ted Cruz,REP,56,824,221,1101
Matagorda,Precinct 1A,U.S. Senate,,Beto O'Rourke,DEM,22,206,79,307
Matagorda,Precinct 1A,U.S. Senate,,Neal M. Dikeman,LIB,0,5,3,8
Matagorda,Precinct 1A,U.S. Senate,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,U.S. Senate,,Under Votes,,3,16,3,22
Matagorda,Precinct 1A,U.S. House,27,Michael Cloud,REP,54,795,208,1057
Matagorda,Precinct 1A,U.S. House,27,Eric Holguin,DEM,22,163,61,246
Matagorda,Precinct 1A,U.S. House,27,Daniel Tinus,LIB,1,57,27,85
Matagorda,Precinct 1A,U.S. House,27,James Duerr,IND,0,12,3,15
Matagorda,Precinct 1A,U.S. House,27,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,U.S. House,27,Under Votes,,4,24,7,35
Matagorda,Precinct 1A,Governor,,Greg Abbott,REP,60,861,236,1157
Matagorda,Precinct 1A,Governor,,Lupe Valdez,DEM,19,172,60,251
Matagorda,Precinct 1A,Governor,,Mark Jay Tippetts,LIB,2,5,6,13
Matagorda,Precinct 1A,Governor,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Governor,,Under Votes,,0,13,4,17
Matagorda,Precinct 1A,Lieutenant Governor,,Dan Patrick,REP,60,820,218,1098
Matagorda,Precinct 1A,Lieutenant Governor,,Mike Collier,DEM,20,206,72,298
Matagorda,Precinct 1A,Lieutenant Governor,,Kerry Douglas McKennon,LIB,1,11,9,21
Matagorda,Precinct 1A,Lieutenant Governor,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Lieutenant Governor,,Under Votes,,0,14,7,21
Matagorda,Precinct 1A,Attorney General,,Ken Paxton,REP,57,802,212,1071
Matagorda,Precinct 1A,Attorney General,,Justin Nelson,DEM,21,212,79,312
Matagorda,Precinct 1A,Attorney General,,Michael Ray Harris,LIB,2,15,5,22
Matagorda,Precinct 1A,Attorney General,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Attorney General,,Under Votes,,1,22,10,33
Matagorda,Precinct 1A,Comptroller of Public Accounts,,Glenn Hegar,REP,59,832,224,1115
Matagorda,Precinct 1A,Comptroller of Public Accounts,,Joi Chevalier,DEM,18,169,62,249
Matagorda,Precinct 1A,Comptroller of Public Accounts,,Ben Sanders,LIB,2,22,12,36
Matagorda,Precinct 1A,Comptroller of Public Accounts,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Comptroller of Public Accounts,,Under Votes,,2,28,8,38
Matagorda,Precinct 1A,Commissioner of the General Land Office,,George P. Bush,REP,62,829,226,1117
Matagorda,Precinct 1A,Commissioner of the General Land Office,,Miguel Suazo,DEM,18,180,63,261
Matagorda,Precinct 1A,Commissioner of the General Land Office,,Matt Pina,LIB,1,23,12,36
Matagorda,Precinct 1A,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Commissioner of the General Land Office,,Under Votes,,0,19,5,24
Matagorda,Precinct 1A,Commissioner of Agriculture,,Sid Miller,REP,57,799,211,1067
Matagorda,Precinct 1A,Commissioner of Agriculture,,Kim Olson,DEM,22,199,76,297
Matagorda,Precinct 1A,Commissioner of Agriculture,,Richard Carpenter,LIB,1,19,9,29
Matagorda,Precinct 1A,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Commissioner of Agriculture,,Under Votes,,1,34,10,45
Matagorda,Precinct 1A,Railroad Commissioner,,Christi Craddick,REP,61,814,212,1087
Matagorda,Precinct 1A,Railroad Commissioner,,Roman McAllen,DEM,17,178,74,269
Matagorda,Precinct 1A,Railroad Commissioner,,Mike Wright,DEM,2,22,10,34
Matagorda,Precinct 1A,Railroad Commissioner,,Over Votes,,0,0,0,0
Matagorda,Precinct 1A,Railroad Commissioner,,Under Votes,,1,37,10,48
Matagorda,Precinct 1A,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,,55,816,226,1097
