county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail
Guadalupe,101,US SENATOR,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,US SENATOR,,Dem,Times Counted,20,11,7,2
Guadalupe,101,US SENATOR,,Dem,Times Blank Voted,0,0,0,0
Guadalupe,101,US SENATOR,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,US SENATOR,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,US SENATOR,,Dem,Sema Hernandez,2,1,1,0
Guadalupe,101,US SENATOR,,Dem,Edward Kimbrough,1,1,0,0
Guadalupe,101,US SENATOR,,Dem,Beto O'Rourke,17,9,6,2
Guadalupe,101,U.S. House,15,Dem,Registered Voters,600,0,0,0
Guadalupe,101,U.S. House,15,Dem,Times Counted,20,11,7,2
Guadalupe,101,U.S. House,15,Dem,Times Blank Voted,3,3,0,0
Guadalupe,101,U.S. House,15,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,U.S. House,15,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,U.S. House,15,Dem,Vicente Gonzalez,17,8,7,2
Guadalupe,101,GOVERNOR,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,GOVERNOR,,Dem,Times Counted,20,11,7,2
Guadalupe,101,GOVERNOR,,Dem,Times Blank Voted,0,0,0,0
Guadalupe,101,GOVERNOR,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,GOVERNOR,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,GOVERNOR,,Dem,Joe Mumbach,1,1,0,0
Guadalupe,101,GOVERNOR,,Dem,"Cedric Davis, Sr.",2,1,1,0
Guadalupe,101,GOVERNOR,,Dem,Andrew White,5,3,1,1
Guadalupe,101,GOVERNOR,,Dem,Jeffrey Payne,1,1,0,0
Guadalupe,101,GOVERNOR,,Dem,Adrian Ocegueda,1,0,1,0
Guadalupe,101,GOVERNOR,,Dem,Tom Wakely,1,1,0,0
Guadalupe,101,GOVERNOR,,Dem,Lupe Valdez,6,2,3,1
Guadalupe,101,GOVERNOR,,Dem,James Jolly Clark,0,0,0,0
Guadalupe,101,GOVERNOR,,Dem,Grady Yarbrough,3,2,1,0
Guadalupe,101,LT GOVERNOR,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,LT GOVERNOR,,Dem,Times Counted,20,11,7,2
Guadalupe,101,LT GOVERNOR,,Dem,Times Blank Voted,1,1,0,0
Guadalupe,101,LT GOVERNOR,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,LT GOVERNOR,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,LT GOVERNOR,,Dem,Michael Cooper,4,2,1,1
Guadalupe,101,LT GOVERNOR,,Dem,Mike Collier,15,8,6,1
Guadalupe,101,ATTORNEY GENERAL,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,ATTORNEY GENERAL,,Dem,Times Counted,20,11,7,2
Guadalupe,101,ATTORNEY GENERAL,,Dem,Times Blank Voted,4,3,1,0
Guadalupe,101,ATTORNEY GENERAL,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,ATTORNEY GENERAL,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,ATTORNEY GENERAL,,Dem,Justin Nelson,16,8,6,2
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Times Counted,20,11,7,2
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Times Blank Voted,2,2,0,0
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Tim Mahoney,8,5,3,0
Guadalupe,101,COMPTROLLER OF PUBLIC ACCOUNTS,,Dem,Joi Chevalier,10,4,4,2
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Times Counted,20,11,7,2
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Times Blank Voted,1,1,0,0
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Miguel Suazo,13,6,5,2
Guadalupe,101,COMMISSIONER OF THE GENERAL LAND OFFICE,,Dem,Tex Morgan,6,4,2,0
Guadalupe,101,COMMISSIONER OF AGRICULTURE,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,COMMISSIONER OF AGRICULTURE,,Dem,Times Counted,20,11,7,2
Guadalupe,101,COMMISSIONER OF AGRICULTURE,,Dem,Times Blank Voted,3,3,0,0
Guadalupe,101,COMMISSIONER OF AGRICULTURE,,Dem,Times Over Voted,0,0,0,0
Guadalupe,101,COMMISSIONER OF AGRICULTURE,,Dem,Number of Under Votes,0,0,0,0
Guadalupe,101,COMMISSIONER OF AGRICULTURE,,Dem,Kim Olson,17,8,7,2
Guadalupe,101,RAILROAD COMMISSIONER,,Dem,Registered Voters,600,0,0,0
Guadalupe,101,RAILROAD COMMISSIONER,,Dem,Times Counted,20,11,7,2
Guadalupe,101,RAILROAD COMMISSIONER,,Dem,Times Blank Voted,1,1,0,0
