county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Comal,101,Registered Voters,,,Registered Voters,3907,,,
Comal,101,Ballots Cast,,,Ballots Cast,2534,,,
Comal,102,Registered Voters,,,Registered Voters,3681,,,
Comal,102,Ballots Cast,,,Ballots Cast,2471,,,
Comal,103,Registered Voters,,,Registered Voters,3511,,,
Comal,103,Ballots Cast,,,Ballots Cast,2442,,,
Comal,104,Registered Voters,,,Registered Voters,0,,,
Comal,104,Ballots Cast,,,Ballots Cast,1404,,,
Comal,105,Registered Voters,,,Registered Voters,5553,,,
Comal,105,Ballots Cast,,,Ballots Cast,3251,,,
Comal,106,Registered Voters,,,Registered Voters,4781,,,
Comal,106,Ballots Cast,,,Ballots Cast,3226,,,
Comal,107,Registered Voters,,,Registered Voters,0,,,
Comal,107,Ballots Cast,,,Ballots Cast,1457,,,
Comal,201,Registered Voters,,,Registered Voters,4687,,,
Comal,201,Ballots Cast,,,Ballots Cast,2682,,,
Comal,202,Registered Voters,,,Registered Voters,1290,,,
Comal,202,Ballots Cast,,,Ballots Cast,679,,,
Comal,203,Registered Voters,,,Registered Voters,4160,,,
Comal,203,Ballots Cast,,,Ballots Cast,2895,,,
Comal,204,Registered Voters,,,Registered Voters,3732,,,
Comal,204,Ballots Cast,,,Ballots Cast,2318,,,
Comal,205,Registered Voters,,,Registered Voters,0,,,
Comal,205,Ballots Cast,,,Ballots Cast,3719,,,
Comal,206,Registered Voters,,,Registered Voters,0,,,
Comal,206,Ballots Cast,,,Ballots Cast,3430,,,
Comal,207,Registered Voters,,,Registered Voters,2005,,,
Comal,207,Ballots Cast,,,Ballots Cast,1411,,,
Comal,208,Registered Voters,,,Registered Voters,1894,,,
Comal,208,Ballots Cast,,,Ballots Cast,1331,,,
Comal,301,Registered Voters,,,Registered Voters,4888,,,
Comal,301,Ballots Cast,,,Ballots Cast,1824,,,
Comal,302,Registered Voters,,,Registered Voters,5250,,,
Comal,302,Ballots Cast,,,Ballots Cast,2812,,,
Comal,303,Registered Voters,,,Registered Voters,1031,,,
Comal,303,Ballots Cast,,,Ballots Cast,490,,,
Comal,304,Registered Voters,,,Registered Voters,4690,,,
Comal,304,Ballots Cast,,,Ballots Cast,2095,,,
Comal,305,Registered Voters,,,Registered Voters,2426,,,
Comal,305,Ballots Cast,,,Ballots Cast,1294,,,
Comal,306,Registered Voters,,,Registered Voters,1902,,,
Comal,306,Ballots Cast,,,Ballots Cast,848,,,
Comal,401,Registered Voters,,,Registered Voters,2239,,,
Comal,401,Ballots Cast,,,Ballots Cast,1390,,,
Comal,402,Registered Voters,,,Registered Voters,0,,,
Comal,402,Ballots Cast,,,Ballots Cast,2962,,,
Comal,403,Registered Voters,,,Registered Voters,5050,,,
Comal,403,Ballots Cast,,,Ballots Cast,3439,,,
Comal,404,Registered Voters,,,Registered Voters,3530,,,
Comal,404,Ballots Cast,,,Ballots Cast,2302,,,
Comal,405,Registered Voters,,,Registered Voters,4047,,,
Comal,405,Ballots Cast,,,Ballots Cast,2389,,,
Comal,406,Registered Voters,,,Registered Voters,5000,,,
Comal,406,Ballots Cast,,,Ballots Cast,3199,,,
Comal,407,Registered Voters,,,Registered Voters,2643,,,
Comal,407,Ballots Cast,,,Ballots Cast,2002,,,
Comal,101,Straight Party,,REP,Republican Party,1085,197,774,114
Comal,102,Straight Party,,REP,Republican Party,1449,206,1123,120
Comal,103,Straight Party,,REP,Republican Party,1294,289,911,94
Comal,104,Straight Party,,REP,Republican Party,752,135,540,77
Comal,105,Straight Party,,REP,Republican Party,1782,398,1220,164
Comal,106,Straight Party,,REP,Republican Party,1890,255,1498,137
Comal,107,Straight Party,,REP,Republican Party,775,214,516,45
Comal,201,Straight Party,,REP,Republican Party,1182,314,775,93
Comal,202,Straight Party,,REP,Republican Party,337,78,226,33
Comal,203,Straight Party,,REP,Republican Party,1507,255,1130,122
Comal,204,Straight Party,,REP,Republican Party,1247,231,916,100
Comal,205,Straight Party,,REP,Republican Party,1887,202,1568,117
Comal,206,Straight Party,,REP,Republican Party,1822,283,1399,140
Comal,207,Straight Party,,REP,Republican Party,725,132,527,66
Comal,208,Straight Party,,REP,Republican Party,746,155,515,76
Comal,301,Straight Party,,REP,Republican Party,597,196,369,32
Comal,302,Straight Party,,REP,Republican Party,1165,241,835,89
Comal,303,Straight Party,,REP,Republican Party,144,39,96,9
Comal,304,Straight Party,,REP,Republican Party,855,208,581,66
Comal,305,Straight Party,,REP,Republican Party,551,147,373,31
Comal,306,Straight Party,,REP,Republican Party,342,82,235,25
Comal,401,Straight Party,,REP,Republican Party,638,150,397,91
Comal,402,Straight Party,,REP,Republican Party,1498,249,1083,166
Comal,403,Straight Party,,REP,Republican Party,1868,410,1298,160
Comal,404,Straight Party,,REP,Republican Party,1196,256,848,92
Comal,405,Straight Party,,REP,Republican Party,1358,364,874,120
Comal,406,Straight Party,,REP,Republican Party,1561,266,1075,220
Comal,407,Straight Party,,REP,Republican Party,1029,254,696,79
Comal,101,Straight Party,,DEM,Democratic Party,385,93,251,41
Comal,102,Straight Party,,DEM,Democratic Party,225,33,160,32
Comal,103,Straight Party,,DEM,Democratic Party,231,39,173,19
Comal,104,Straight Party,,DEM,Democratic Party,175,22,126,27
Comal,105,Straight Party,,DEM,Democratic Party,415,88,281,46
Comal,106,Straight Party,,DEM,Democratic Party,302,30,225,47
Comal,107,Straight Party,,DEM,Democratic Party,154,34,102,18
Comal,201,Straight Party,,DEM,Democratic Party,471,122,313,36
Comal,202,Straight Party,,DEM,Democratic Party,127,25,86,16
Comal,203,Straight Party,,DEM,Democratic Party,338,42,260,36
Comal,204,Straight Party,,DEM,Democratic Party,252,45,187,20
Comal,205,Straight Party,,DEM,Democratic Party,470,62,366,42
Comal,206,Straight Party,,DEM,Democratic Party,340,62,235,43
Comal,207,Straight Party,,DEM,Democratic Party,128,35,78,15
Comal,208,Straight Party,,DEM,Democratic Party,139,29,85,25
Comal,301,Straight Party,,DEM,Democratic Party,599,215,324,60
Comal,302,Straight Party,,DEM,Democratic Party,553,113,381,59
Comal,303,Straight Party,,DEM,Democratic Party,156,68,74,14
Comal,304,Straight Party,,DEM,Democratic Party,473,120,321,32
Comal,305,Straight Party,,DEM,Democratic Party,206,63,117,26
Comal,306,Straight Party,,DEM,Democratic Party,178,58,111,9
Comal,401,Straight Party,,DEM,Democratic Party,203,59,112,32
Comal,402,Straight Party,,DEM,Democratic Party,401,56,298,47
Comal,403,Straight Party,,DEM,Democratic Party,403,80,278,45
Comal,404,Straight Party,,DEM,Democratic Party,262,67,168,27
Comal,405,Straight Party,,DEM,Democratic Party,268,50,187,31
Comal,406,Straight Party,,DEM,Democratic Party,476,83,315,78
Comal,407,Straight Party,,DEM,Democratic Party,184,31,135,18
Comal,101,Straight Party,,LIB,Libertarian Party,11,4,7,0
Comal,102,Straight Party,,LIB,Libertarian Party,11,2,9,0
Comal,103,Straight Party,,LIB,Libertarian Party,6,1,5,0
Comal,104,Straight Party,,LIB,Libertarian Party,8,3,5,0
Comal,105,Straight Party,,LIB,Libertarian Party,12,7,4,1
Comal,106,Straight Party,,LIB,Libertarian Party,9,2,7,0
Comal,107,Straight Party,,LIB,Libertarian Party,5,3,2,0
Comal,201,Straight Party,,LIB,Libertarian Party,8,5,3,0
Comal,202,Straight Party,,LIB,Libertarian Party,2,2,0,0
Comal,203,Straight Party,,LIB,Libertarian Party,9,4,5,0
Comal,204,Straight Party,,LIB,Libertarian Party,11,6,5,0
Comal,205,Straight Party,,LIB,Libertarian Party,10,4,6,0
Comal,206,Straight Party,,LIB,Libertarian Party,9,1,8,0
Comal,207,Straight Party,,LIB,Libertarian Party,1,0,1,0
Comal,208,Straight Party,,LIB,Libertarian Party,2,1,1,0
Comal,301,Straight Party,,LIB,Libertarian Party,11,4,7,0
Comal,302,Straight Party,,LIB,Libertarian Party,11,9,2,0
Comal,303,Straight Party,,LIB,Libertarian Party,2,1,0,1
Comal,304,Straight Party,,LIB,Libertarian Party,5,2,3,0
Comal,305,Straight Party,,LIB,Libertarian Party,4,4,0,0
Comal,306,Straight Party,,LIB,Libertarian Party,7,3,4,0
Comal,401,Straight Party,,LIB,Libertarian Party,5,2,2,1
Comal,402,Straight Party,,LIB,Libertarian Party,12,6,6,0
Comal,403,Straight Party,,LIB,Libertarian Party,7,1,6,0
Comal,404,Straight Party,,LIB,Libertarian Party,7,2,5,0
Comal,405,Straight Party,,LIB,Libertarian Party,9,3,5,1
