candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
,Straight Party,,REP,Brooks,1,2,10,8,20
,Straight Party,,DEM,Brooks,1,4,35,34,73
,Straight Party,,LIB,Brooks,1,0,0,1,1
,Under Votes,,,Brooks,1,7,52,31,90
,Over Votes,,,Brooks,1,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,1,3,27,18,48
Beto O'Rourke,U.S. Senate,,DEM,Brooks,1,7,67,56,130
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,1,0,0,0,0
,Under Votes,,,Brooks,1,3,3,0,6
,Over Votes,,,Brooks,1,0,0,0,0
Tim Westley,U.S. House,15,REP,Brooks,1,2,17,10,29
Vincente Gonzalez,U.S. House,15,DEM,Brooks,1,8,74,59,141
Anthony Cristo,U.S. House,15,LIB,Brooks,1,0,0,1,1
,Under Votes,,,Brooks,1,3,6,4,13
,Over Votes,,,Brooks,1,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,1,4,32,26,62
Lupe Valdez,Governor,,DEM,Brooks,1,6,57,42,105
Mark Jay Tippetts ,Governor,,LIB,Brooks,1,0,1,2,3
,Under Votes,,,Brooks,1,3,7,4,14
,Over Votes,,,Brooks,1,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,1,2,18,17,37
Mike Collier,Lieutenant Governor,,DEM,Brooks,1,7,71,49,127
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,1,0,1,0,1
,Under Votes,,,Brooks,1,4,7,8,19
,Over Votes,,,Brooks,1,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,1,2,20,17,39
Justin Nelson,Attorney General,,DEM,Brooks,1,7,70,51,128
Michael Ray Harris,Attorney General,,LIB,Brooks,1,0,0,1,1
,Under Votes,,,Brooks,1,4,7,5,16
,Over Votes,,,Brooks,1,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,1,2,19,14,35
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,1,7,65,46,118
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,1,0,4,6,10
,Under Votes,,,Brooks,1,4,9,8,21
,Over Votes,,,Brooks,1,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,1,3,24,23,50
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,1,7,64,42,113
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,1,0,1,3,4
,Under Votes,,,Brooks,1,3,8,6,17
,Over Votes,,,Brooks,1,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Brooks,1,2,17,14,33
Roman McAllen,Railroad Commissioner,,DEM,Brooks,1,7,67,51,125
Mike Wright ,Railroad Commissioner,,LIB,Brooks,1,0,2,1,3
,Under Votes,,,Brooks,1,4,11,8,23
,Over Votes,,,Brooks,1,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,1,7,76,59,142
,Under Votes,,,Brooks,1,6,21,15,42
,Over Votes,,,Brooks,1,0,0,0,0
,Straight Party,,REP,Brooks,2,2,11,18,31
,Straight Party,,DEM,Brooks,2,14,61,66,141
,Straight Party,,LIB,Brooks,2,0,0,0,0
,Under Votes,,,Brooks,2,12,58,50,120
,Over Votes,,,Brooks,2,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,2,5,28,33,66
Beto O'Rourke,U.S. Senate,,DEM,Brooks,2,22,96,98,216
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,2,0,0,1,1
,Under Votes,,,Brooks,2,1,5,2,8
,Over Votes,,,Brooks,2,0,1,0,1
Tim Westley,U.S. House,15,REP,Brooks,2,2,19,20,41
Vincente Gonzalez,U.S. House,15,DEM,Brooks,2,23,102,108,233
Anthony Cristo,U.S. House,15,LIB,Brooks,2,1,1,1,3
,Under Votes,,,Brooks,2,2,8,5,15
,Over Votes,,,Brooks,2,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,2,5,30,41,76
Lupe Valdez,Governor,,DEM,Brooks,2,22,90,87,199
Mark Jay Tippetts ,Governor,,LIB,Brooks,2,0,1,3,4
,Under Votes,,,Brooks,2,1,8,3,12
,Over Votes,,,Brooks,2,0,1,0,1
Dan Patrick,Lieutenant Governor,,REP,Brooks,2,4,24,31,59
Mike Collier,Lieutenant Governor,,DEM,Brooks,2,22,93,97,212
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,2,0,2,1,3
,Under Votes,,,Brooks,2,2,11,5,18
,Over Votes,,,Brooks,2,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,2,4,20,29,53
Justin Nelson,Attorney General,,DEM,Brooks,2,22,98,95,215
Michael Ray Harris,Attorney General,,LIB,Brooks,2,0,1,5,6
,Under Votes,,,Brooks,2,2,10,5,17
,Over Votes,,,Brooks,2,0,1,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,2,4,21,32,57
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,2,22,91,92,205
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,2,0,5,5,10
,Under Votes,,,Brooks,2,2,13,5,20
,Over Votes,,,Brooks,2,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,2,3,23,35,61
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,2,23,90,87,200
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,2,0,5,5,10
,Under Votes,,,Brooks,2,2,12,7,21
,Over Votes,,,Brooks,2,0,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Brooks,2,3,22,28,53
Roman McAllen,Railroad Commissioner,,DEM,Brooks,2,23,93,94,210
Mike Wright ,Railroad Commissioner,,LIB,Brooks,2,0,3,4,7
,Under Votes,,,Brooks,2,2,12,8,22
,Over Votes,,,Brooks,2,0,0,0,0
Ryan Guillen,State Representative,31,DEM,Brooks,2,22,101,113,236
,Under Votes,,,Brooks,2,6,29,21,56
,Over Votes,,,Brooks,2,0,0,0,0
,Straight Party,,REP,Brooks,3,1,18,9,28
,Straight Party,,DEM,Brooks,3,12,62,81,155
,Straight Party,,LIB,Brooks,3,0,0,0,0
,Under Votes,,,Brooks,3,10,81,111,202
,Over Votes,,,Brooks,3,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Brooks,3,6,61,50,117
Beto O'Rourke,U.S. Senate,,DEM,Brooks,3,17,97,150,264
Neal M. Dikeman ,U.S. Senate,,LIB,Brooks,3,0,0,0,0
,Under Votes,,,Brooks,3,0,3,1,4
,Over Votes,,,Brooks,3,0,0,0,0
Tim Westley,U.S. House,15,REP,Brooks,3,3,38,29,70
Vincente Gonzalez,U.S. House,15,DEM,Brooks,3,20,113,160,293
Anthony Cristo,U.S. House,15,LIB,Brooks,3,0,0,2,2
,Under Votes,,,Brooks,3,0,10,10,20
,Over Votes,,,Brooks,3,0,0,0,0
Gregg Abbott,Governor,,REP,Brooks,3,5,64,65,134
Lupe Valdez,Governor,,DEM,Brooks,3,18,87,125,230
Mark Jay Tippetts ,Governor,,LIB,Brooks,3,0,0,1,1
,Under Votes,,,Brooks,3,0,10,10,20
,Over Votes,,,Brooks,3,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Brooks,3,4,51,38,93
Mike Collier,Lieutenant Governor,,DEM,Brooks,3,19,87,147,253
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Brooks,3,0,3,1,4
,Under Votes,,,Brooks,3,0,20,15,35
,Over Votes,,,Brooks,3,0,0,0,0
Ken Paxton ,Attorney General,,REP,Brooks,3,3,47,34,84
Justin Nelson,Attorney General,,DEM,Brooks,3,20,97,146,263
Michael Ray Harris,Attorney General,,LIB,Brooks,3,0,1,5,6
,Under Votes,,,Brooks,3,0,16,15,31
,Over Votes,,,Brooks,3,0,0,1,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Brooks,3,3,46,34,83
Joi Chevalier ,Comptroller of Public Accounts,,DEM,Brooks,3,20,90,142,252
Ben Sanders,Comptroller of Public Accounts,,LIB,Brooks,3,0,6,6,12
,Under Votes,,,Brooks,3,0,0,19,38
,Over Votes,,,Brooks,3,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Brooks,3,4,51,44,99
Miguel Suazo,Commissioner of the General Land Office,,DEM,Brooks,3,19,93,136,248
Matt Pina,Commissioner of the General Land Office,,LIB,Brooks,3,0,2,4,6
,Under Votes,,,Brooks,3,0,15,15,30
,Over Votes,,,Brooks,3,0,0,2,2
Christi Craddick,Railroad Commissioner,,REP,Brooks,3,4,44,36,84
Roman McAllen,Railroad Commissioner,,DEM,Brooks,3,18,95,145,258
Mike Wright ,Railroad Commissioner,,LIB,Brooks,3,0,2,2,4
,Under Votes,,,Brooks,3,1,18,18,37
,Over Votes,,,Brooks,3,0,2,0,2
