county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Madison,101,U.S. Senate,,REP,"Bruce Jacobson, Jr.",20,16,3,1
Madison,101,U.S. Senate,,REP,Geraldine Sam,5,2,2,1
Madison,101,U.S. Senate,,REP,Mary Miller,26,12,14,0
Madison,101,U.S. Senate,,REP,Stefano de Stefano,8,4,4,0
Madison,101,U.S. Senate,,REP,Ted Cruz,360,162,177,21
Madison,101,U.S. House,8,REP,Kevin Brady,395,187,189,19
Madison,101,Governor,,REP,Barbara Krueger,47,28,18,1
Madison,101,Governor,,REP,Greg Abbott,358,159,177,22
Madison,101,Governor,,REP,SECEDE Kilgore,6,4,2,0
Madison,101,Lieutenant Governor,,REP,Dan Patrick,257,112,125,20
Madison,101,Lieutenant Governor,,REP,Scott Milder,163,89,73,1
Madison,101,Attorney General,,REP,Ken Paxton,385,180,186,19
Madison,101,Comptroller of Public Accounts,,REP,Glenn Hegar,375,176,180,19
Madison,101,Commissioner of the General Land Office,,REP,Davey Edwards,35,20,14,1
Madison,101,Commissioner of the General Land Office,,REP,George P. Bush,245,115,117,13
Madison,101,Commissioner of the General Land Office,,REP,Jerry Patterson,99,43,49,7
Madison,101,Commissioner of the General Land Office,,REP,Rick Range,16,10,5,1
Madison,101,Commissioner of Agriculture,,REP,Jim Hogan,90,56,33,1
Madison,101,Commissioner of Agriculture,,REP,Sid Miller,222,91,115,16
Madison,101,Commissioner of Agriculture,,REP,Trey Blocker,59,25,32,2
Madison,101,Railroad Commissioner,,REP,Christi Craddick,285,131,137,17
Madison,101,Railroad Commissioner,,REP,Weston Martinez,74,39,32,3
Madison,101,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,356,171,167,18
Madison,101,"Justice, Supreme Court, Place 4",,REP,John Devine,352,167,166,19
Madison,101,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,355,170,167,18
Madison,101,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,231,103,115,13
Madison,101,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,114,62,45,7
Madison,101,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,345,165,161,19
Madison,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,87,33,48,6
Madison,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,98,48,40,10
Madison,101,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,151,75,72,4
Madison,101,State Senator,5,REP,Charles Schwertner,253,118,117,18
Madison,101,State Senator,5,REP,Harold Ramm,120,65,51,4
Madison,101,State Representative,57,REP,Trent Ashby,392,192,181,19
Madison,101,"Chief Justice, 10th Court of Appeals District",,REP,Tom Gray,353,172,162,19
Madison,101,"District Judge, 278th Judicial District",,REP,Hal R. Ridley,363,178,167,18
Madison,101,Criminal District Attorney Madison County,,REP,Brian L. Risinger,384,183,182,19
Madison,101,County Judge,,REP,Douglas R. Holly,17,9,8,0
Madison,101,County Judge,,REP,Tony Leago,117,53,58,6
Madison,101,County Judge,,REP,Norann McDonnell,68,31,36,1
Madison,101,County Judge,,REP,"David H. Culbreth, SR",28,13,14,1
Madison,101,County Judge,,REP,"C. E. ""Butch"" McDaniel",132,66,58,8
Madison,101,County Judge,,REP,Andre Dean,78,38,33,7
Madison,101,District Clerk,,REP,Rhonda Cook Savage,410,199,191,20
Madison,101,County Clerk,,REP,Susanne Morris,401,194,187,20
Madison,101,County Treasurer,,REP,Judi Williams Delesandri,402,194,188,20
Madison,101,"Justice of the Peace, Precinct No. 1",,REP,Karla Plotts Clark,167,81,78,8
Madison,101,"Justice of the Peace, Precinct No. 1",,REP,Jon Stevens,272,130,127,15
Madison,101,County Chairman,,REP,Kevin Counsil,367,178,172,17
Madison,101,U.S. Senate,,DEM,Beto O'Rourke,5,2,2,1
Madison,101,U.S. Senate,,DEM,Edward Kimbrough,7,2,3,2
Madison,101,U.S. Senate,,DEM,Sema Hernandez,11,2,5,4
Madison,101,U.S. House,8,DEM,Steven David,20,5,8,7
Madison,101,Governor,,DEM,Adrian Ocegueda,1,1,0,0
Madison,101,Governor,,DEM,Andrew White,7,2,3,2
Madison,101,Governor,,DEM,"Cedric Davis, Sr.",1,0,1,0
Madison,101,Governor,,DEM,Grady Yarbrough,3,1,1,1
Madison,101,Governor,,DEM,James Jolly Clark,2,0,0,2
Madison,101,Governor,,DEM,Jeffrey Payne,1,1,0,0
Madison,101,Governor,,DEM,Joe Mumbach,0,0,0,0
Madison,101,Governor,,DEM,Lupe Valdez,4,0,2,2
Madison,101,Governor,,DEM,Tom Wakely,1,0,1,0
Madison,101,Lieutenant Governor,,DEM,Michael Cooper,15,4,6,5
Madison,101,Lieutenant Governor,,DEM,Mike Collier,5,2,1,2
Madison,101,Attorney General,,DEM,Justin Nelson,20,5,8,7
Madison,101,Comptroller of Public Accounts,,DEM,Joi Chevalier,5,0,1,4
Madison,101,Comptroller of Public Accounts,,DEM,Tim Mahoney,15,6,7,2
Madison,101,Commissioner of the General Land Office,,DEM,Miguel Suazo,8,3,3,2
Madison,101,Commissioner of the General Land Office,,DEM,Tex Morgan,11,3,4,4
Madison,101,Commissioner of Agriculture,,DEM,Kim Olson,19,5,8,6
Madison,101,Railroad Commissioner,,DEM,Chris Spellmon,10,3,3,4
Madison,101,Railroad Commissioner,,DEM,Roman McAllen,7,3,2,2
Madison,101,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,19,5,8,6
Madison,101,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,18,5,7,6
Madison,101,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,18,5,7,6
Madison,101,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,17,4,7,6
Madison,101,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,18,5,7,6
Madison,101,State Senator,5,DEM,Brian E. Cronin,9,3,3,3
Madison,101,State Senator,5,DEM,"Glenn ""Grumpy"" Williams",1,0,1,0
Madison,101,State Senator,5,DEM,Meg Walsh,7,3,1,3
Madison,101,State Representative,57,DEM,Jason Rogers,19,5,8,6
Madison,101,Proposition #1,,DEM,Yes,23,6,10,7
Madison,101,Proposition #1,,DEM,No,0,0,0,0
Madison,101,Proposition #2,,DEM,Yes,17,5,9,3
Madison,101,Proposition #2,,DEM,No,6,1,1,4
Madison,101,Proposition #3,,DEM,Yes,20,5,8,7
Madison,101,Proposition #3,,DEM,No,1,0,1,0
Madison,101,Proposition #4,,DEM,Yes,21,5,9,7
Madison,101,Proposition #4,,DEM,No,1,0,1,0
Madison,101,Proposition #5,,DEM,Yes,20,6,9,5
Madison,101,Proposition #5,,DEM,No,3,0,1,2
Madison,101,Proposition #6,,DEM,Yes,23,6,10,7
Madison,101,Proposition #6,,DEM,No,0,0,0,0
Madison,101,Proposition #7,,DEM,Yes,22,6,9,7
Madison,101,Proposition #7,,DEM,No,0,0,0,0
Madison,101,Proposition #8,,DEM,Yes,21,6,8,7
Madison,101,Proposition #8,,DEM,No,0,0,0,0
Madison,101,Proposition #9,,DEM,Yes,22,5,10,7
Madison,101,Proposition #9,,DEM,No,1,1,0,0
Madison,101,Proposition #10,,DEM,Yes,22,6,9,7
Madison,101,Proposition #10,,DEM,No,0,0,0,0
Madison,101,Proposition #11,,DEM,Yes,22,6,9,7
Madison,101,Proposition #11,,DEM,No,0,0,0,0
Madison,101,Proposition #12,,DEM,Yes,21,6,8,7
Madison,101,Proposition #12,,DEM,No,0,0,0,0
Madison,101,Proposition 1,,REP,YES,245,117,116,12
Madison,101,Proposition 1,,REP,NO,154,78,71,5
Madison,101,Proposition 2,,REP,YES,388,184,186,18
Madison,101,Proposition 2,,REP,NO,29,16,10,3
Madison,101,Proposition 3,,REP,YES,345,156,169,20
Madison,101,Proposition 3,,REP,NO,65,40,24,1
Madison,101,Proposition 4,,REP,YES,360,164,177,19
Madison,101,Proposition 4,,REP,NO,48,31,15,2
Madison,101,Proposition 5,,REP,YES,281,129,137,15
Madison,101,Proposition 5,,REP,NO,141,73,63,5
Madison,101,Proposition 6,,REP,YES,403,189,194,20
Madison,101,Proposition 6,,REP,NO,26,18,7,1
Madison,101,Proposition 7,,REP,YES,289,130,142,17
Madison,101,Proposition 7,,REP,NO,130,67,59,4
Madison,101,Proposition 8,,REP,YES,413,199,194,20
Madison,101,Proposition 8,,REP,NO,17,7,9,1
Madison,101,Proposition 9,,REP,YES,373,169,186,18
Madison,101,Proposition 9,,REP,NO,53,35,15,3
Madison,101,Proposition 10,,REP,YES,365,166,181,18
Madison,101,Proposition 10,,REP,NO,39,27,11,1
Madison,101,Proposition 11,,REP,YES,371,170,186,15
Madison,101,Proposition 11,,REP,NO,60,36,18,6
Madison,202,U.S. Senate,,REP,"Bruce Jacobson, Jr.",20,8,6,6
Madison,202,U.S. Senate,,REP,Geraldine Sam,11,6,5,0
Madison,202,U.S. Senate,,REP,Mary Miller,26,17,8,1
Madison,202,U.S. Senate,,REP,Stefano de Stefano,7,4,3,0
Madison,202,U.S. Senate,,REP,Ted Cruz,482,244,201,37
Madison,202,U.S. House,8,REP,Kevin Brady,509,264,203,42
Madison,202,Governor,,REP,Barbara Krueger,51,36,13,2
Madison,202,Governor,,REP,Greg Abbott,491,243,204,44
Madison,202,Governor,,REP,SECEDE Kilgore,6,3,3,0
Madison,202,Lieutenant Governor,,REP,Dan Patrick,384,181,161,42
Madison,202,Lieutenant Governor,,REP,Scott Milder,162,102,58,2
Madison,202,Attorney General,,REP,Ken Paxton,505,259,205,41
Madison,202,Comptroller of Public Accounts,,REP,Glenn Hegar,478,248,191,39
Madison,202,Commissioner of the General Land Office,,REP,Davey Edwards,36,18,13,5
Madison,202,Commissioner of the General Land Office,,REP,George P. Bush,303,153,129,21
Madison,202,Commissioner of the General Land Office,,REP,Jerry Patterson,126,68,44,14
Madison,202,Commissioner of the General Land Office,,REP,Rick Range,37,21,13,3
Madison,202,Commissioner of Agriculture,,REP,Jim Hogan,138,75,55,8
Madison,202,Commissioner of Agriculture,,REP,Sid Miller,265,139,95,31
Madison,202,Commissioner of Agriculture,,REP,Trey Blocker,84,42,38,4
Madison,202,Railroad Commissioner,,REP,Christi Craddick,376,197,142,37
Madison,202,Railroad Commissioner,,REP,Weston Martinez,106,56,44,6
Madison,202,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,460,239,184,37
Madison,202,"Justice, Supreme Court, Place 4",,REP,John Devine,456,233,185,38
Madison,202,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,453,232,182,39
Madison,202,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,297,160,120,17
Madison,202,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,168,88,62,18
Madison,202,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,446,230,181,35
Madison,202,"Judge, Court of Criminal Appeals, Place 8",,REP,Dib Waldrip,112,66,37,9
Madison,202,"Judge, Court of Criminal Appeals, Place 8",,REP,Jay Brandon,145,69,63,13
Madison,202,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,194,102,80,12
Madison,202,State Senator,5,REP,Charles Schwertner,347,176,132,39
Madison,202,State Senator,5,REP,Harold Ramm,138,81,54,3
Madison,202,State Representative,57,REP,Trent Ashby,504,261,201,42
Madison,202,"Chief Justice, 10th Court of Appeals District",,REP,Tom Gray,468,249,180,39
Madison,202,"District Judge, 278th Judicial District",,REP,Hal R. Ridley,471,245,189,37
Madison,202,Criminal District Attorney Madison County,,REP,Brian L. Risinger,502,261,201,40
Madison,202,County Judge,,REP,Douglas R. Holly,39,21,17,1
Madison,202,County Judge,,REP,Tony Leago,132,68,54,10
Madison,202,County Judge,,REP,Norann McDonnell,89,48,39,2
Madison,202,County Judge,,REP,"David H. Culbreth, SR",21,8,10,3
Madison,202,County Judge,,REP,"C. E. ""Butch"" McDaniel",132,70,54,8
Madison,202,County Judge,,REP,Andre Dean,160,81,59,20
Madison,202,District Clerk,,REP,Rhonda Cook Savage,522,272,209,41
Madison,202,County Clerk,,REP,Susanne Morris,508,260,207,41
Madison,202,County Treasurer,,REP,Judi Williams Delesandri,517,266,209,42
Madison,202,"County Commissioner, Precinct No. 2",,REP,Carl Wiseman,294,137,127,30
Madison,202,"County Commissioner, Precinct No. 2",,REP,Ken Wamsley,60,37,21,2
Madison,202,"County Commissioner, Precinct No. 2",,REP,Thomas M. Collard,228,124,90,14
Madison,202,"Justice of the Peace, Precinct No. 1",,REP,Karla Plotts Clark,220,106,92,22
Madison,202,"Justice of the Peace, Precinct No. 1",,REP,Jon Stevens,346,189,135,22
Madison,202,County Chairman,,REP,Kevin Counsil,490,254,198,38
Madison,202,U.S. Senate,,DEM,Beto O'Rourke,2,0,2,0
Madison,202,U.S. Senate,,DEM,Edward Kimbrough,7,2,2,3
Madison,202,U.S. Senate,,DEM,Sema Hernandez,3,1,2,0
Madison,202,U.S. House,8,DEM,Steven David,13,3,6,4
Madison,202,Governor,,DEM,Adrian Ocegueda,0,0,0,0
Madison,202,Governor,,DEM,Andrew White,7,3,2,2
Madison,202,Governor,,DEM,"Cedric Davis, Sr.",0,0,0,0
Madison,202,Governor,,DEM,Grady Yarbrough,2,0,1,1
Madison,202,Governor,,DEM,James Jolly Clark,0,0,0,0
Madison,202,Governor,,DEM,Jeffrey Payne,1,0,1,0
Madison,202,Governor,,DEM,Joe Mumbach,0,0,0,0
Madison,202,Governor,,DEM,Lupe Valdez,1,0,1,0
Madison,202,Governor,,DEM,Tom Wakely,0,0,0,0
Madison,202,Lieutenant Governor,,DEM,Michael Cooper,5,2,1,2
Madison,202,Lieutenant Governor,,DEM,Mike Collier,7,1,5,1
Madison,202,Attorney General,,DEM,Justin Nelson,13,3,6,4
Madison,202,Comptroller of Public Accounts,,DEM,Joi Chevalier,4,1,3,0
Madison,202,Comptroller of Public Accounts,,DEM,Tim Mahoney,8,2,3,3
Madison,202,Commissioner of the General Land Office,,DEM,Miguel Suazo,3,0,3,0
Madison,202,Commissioner of the General Land Office,,DEM,Tex Morgan,9,3,3,3
Madison,202,Commissioner of Agriculture,,DEM,Kim Olson,13,3,6,4
Madison,202,Railroad Commissioner,,DEM,Chris Spellmon,5,1,1,3
Madison,202,Railroad Commissioner,,DEM,Roman McAllen,6,1,5,0
Madison,202,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,13,3,6,4
Madison,202,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,13,3,6,4
Madison,202,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,12,3,5,4
Madison,202,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,13,3,6,4
Madison,202,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,12,3,5,4
Madison,202,State Senator,5,DEM,Brian E. Cronin,0,0,0,0
Madison,202,State Senator,5,DEM,"Glenn ""Grumpy"" Williams",3,1,1,1
Madison,202,State Senator,5,DEM,Meg Walsh,9,2,5,2
Madison,202,State Representative,57,DEM,Jason Rogers,13,3,6,4
Madison,202,Proposition #1,,DEM,Yes,12,2,6,4
Madison,202,Proposition #1,,DEM,No,1,1,0,0
Madison,202,Proposition #2,,DEM,Yes,11,2,6,3
Madison,202,Proposition #2,,DEM,No,2,1,0,1
Madison,202,Proposition #3,,DEM,Yes,12,3,5,4
Madison,202,Proposition #3,,DEM,No,0,0,0,0
Madison,202,Proposition #4,,DEM,Yes,11,3,6,2
Madison,202,Proposition #4,,DEM,No,2,0,0,2
Madison,202,Proposition #5,,DEM,Yes,11,3,6,2
Madison,202,Proposition #5,,DEM,No,2,0,0,2
Madison,202,Proposition #6,,DEM,Yes,12,3,5,4
Madison,202,Proposition #6,,DEM,No,0,0,0,0
Madison,202,Proposition #7,,DEM,Yes,12,3,5,4
Madison,202,Proposition #7,,DEM,No,0,0,0,0
Madison,202,Proposition #8,,DEM,Yes,11,2,6,3
Madison,202,Proposition #8,,DEM,No,2,1,0,1
Madison,202,Proposition #9,,DEM,Yes,11,1,6,4
Madison,202,Proposition #9,,DEM,No,1,1,0,0
Madison,202,Proposition #10,,DEM,Yes,12,3,6,3
Madison,202,Proposition #10,,DEM,No,1,0,0,1
Madison,202,Proposition #11,,DEM,Yes,11,2,6,3
Madison,202,Proposition #11,,DEM,No,2,1,0,1
Madison,202,Proposition #12,,DEM,Yes,12,3,6,3
Madison,202,Proposition #12,,DEM,No,1,0,0,1
Madison,202,Proposition 1,,REP,YES,318,159,134,25
Madison,202,Proposition 1,,REP,NO,202,116,70,16
Madison,202,Proposition 2,,REP,YES,514,265,210,39
Madison,202,Proposition 2,,REP,NO,35,17,12,6
Madison,202,Proposition 3,,REP,YES,448,224,182,42
Madison,202,Proposition 3,,REP,NO,93,53,37,3
Madison,202,Proposition 4,,REP,YES,489,248,202,39
Madison,202,Proposition 4,,REP,NO,54,36,15,3
Madison,202,Proposition 5,,REP,YES,401,192,179,30
Madison,202,Proposition 5,,REP,NO,146,89,44,13
Madison,202,Proposition 6,,REP,YES,539,269,225,45
Madison,202,Proposition 6,,REP,NO,18,14,4,0
Madison,202,Proposition 7,,REP,YES,383,189,159,35
Madison,202,Proposition 7,,REP,NO,152,84,58,10
Madison,202,Proposition 8,,REP,YES,537,275,218,44
Madison,202,Proposition 8,,REP,NO,18,12,6,0
Madison,202,Proposition 9,,REP,YES,488,247,199,42
Madison,202,Proposition 9,,REP,NO,68,42,24,2
Madison,202,Proposition 10,,REP,YES,496,255,203,38
Madison,202,Proposition 10,,REP,NO,40,27,10,3
Madison,202,Proposition 11,,REP,YES,455,242,174,39
Madison,202,Proposition 11,,REP,NO,85,40,41,4
Madison,303,U.S. Senate,,REP,"Bruce Jacobson, Jr.",20,9,8,3
Madison,303,U.S. Senate,,REP,Geraldine Sam,9,2,5,2
Madison,303,U.S. Senate,,REP,Mary Miller,22,9,11,2
Madison,303,U.S. Senate,,REP,Stefano de Stefano,11,6,5,0
Madison,303,U.S. Senate,,REP,Ted Cruz,277,108,143,26
Madison,303,U.S. House,8,REP,Kevin Brady,320,127,159,34
Madison,303,Governor,,REP,Barbara Krueger,33,18,15,0
Madison,303,Governor,,REP,Greg Abbott,299,113,151,35
Madison,303,Governor,,REP,SECEDE Kilgore,4,2,2,0
Madison,303,Lieutenant Governor,,REP,Dan Patrick,219,70,114,35
Madison,303,Lieutenant Governor,,REP,Scott Milder,128,67,60,1
Madison,303,Attorney General,,REP,Ken Paxton,307,122,154,31
Madison,303,Comptroller of Public Accounts,,REP,Glenn Hegar,299,117,153,29
Madison,303,Commissioner of the General Land Office,,REP,Davey Edwards,30,16,11,3
Madison,303,Commissioner of the General Land Office,,REP,George P. Bush,178,69,99,10
Madison,303,Commissioner of the General Land Office,,REP,Jerry Patterson,86,30,41,15
Madison,303,Commissioner of the General Land Office,,REP,Rick Range,27,12,13,2
Madison,303,Commissioner of Agriculture,,REP,Jim Hogan,72,27,40,5
Madison,303,Commissioner of Agriculture,,REP,Sid Miller,168,71,81,16
Madison,303,Commissioner of Agriculture,,REP,Trey Blocker,64,30,29,5
Madison,303,Railroad Commissioner,,REP,Christi Craddick,218,85,119,14
Madison,303,Railroad Commissioner,,REP,Weston Martinez,79,32,35,12
Madison,303,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,288,113,148,27
Madison,303,"Justice, Supreme Court, Place 4",,REP,John Devine,278,110,142,26
Madison,303,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,286,111,148,27
Madison,303,"Presiding Judge, Court of Criminal Appeals",,REP,David Bridges,188,71,101,16
Madison,303,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,99,46,42,11
