candidate,office,district,party,county,precinct,early_voting,election_day,provisional,votes
,Registered Voters,,,Jasper,Box 1 Three Corners,0,0,0,0
,Ballots Cast,,,Jasper,Box 1 Three Corners,11,22,0,33
,Straight Party,,REP,Jasper,Box 1 Three Corners,2,15,0,17
,Straight Party,,DEM,Jasper,Box 1 Three Corners,2,4,0,6
,Straight Party,,LIB,Jasper,Box 1 Three Corners,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Box 1 Three Corners,7,17,0,24
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 1 Three Corners,4,5,0,9
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 1 Three Corners,0,0,0,0
Brian Babin,U.S. House,36,REP,Jasper,Box 1 Three Corners,8,17,0,25
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 1 Three Corners,3,5,0,8
Greg Abbott,Governor ,,REP,Jasper,Box 1 Three Corners,8,17,0,25
Lupe Valdez,Governor ,,DEM,Jasper,Box 1 Three Corners,3,5,0,8
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 1 Three Corners,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 1 Three Corners,5,17,0,22
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 1 Three Corners,4,5,0,9
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 1 Three Corners,2,0,0,2
Ken Paxton,Attorney General ,,REP,Jasper,Box 1 Three Corners,6,17,0,23
Justin Nelson,Attorney General ,,DEM,Jasper,Box 1 Three Corners,4,5,0,9
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 1 Three Corners,1,0,0,1
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 1 Three Corners,8,17,0,25
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 1 Three Corners,3,5,0,8
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 1 Three Corners,0,0,0,0
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 1 Three Corners,2,17,0,19
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 1 Three Corners,5,5,0,10
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 1 Three Corners,4,0,0,4
