county,precinct,office,district,party,candidate,votes,election_day,early_voting,,
Brewster,1,U.S. Senate,,DEM,Edward Wayne Kimbrough,22,6,16,,Early
Brewster,1,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,23,11,12,,Early
Brewster,1,U.S. Senate,,DEM,Robert Francis O'Rourke,178,76,102,,Early
Brewster,2,U.S. Senate,,DEM,Edward Wayne Kimbrough,13,7,6,,Early
Brewster,2,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,32,12,20,,Early
Brewster,2,U.S. Senate,,DEM,Robert Francis O'Rourke,178,68,110,,Early
Brewster,3,U.S. Senate,,DEM,Edward Wayne Kimbrough,11,11,0,,Early
Brewster,3,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,12,11,1,,Early
Brewster,3,U.S. Senate,,DEM,Robert Francis O'Rourke,36,28,8,,Early
Brewster,4,U.S. Senate,,DEM,Edward Wayne Kimbrough,10,4,6,,Early
Brewster,4,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,38,19,19,,Early
Brewster,4,U.S. Senate,,DEM,Robert Francis O'Rourke,142,67,75,,Early
Brewster,5,U.S. Senate,,DEM,Edward Wayne Kimbrough,0,0,0,,Early
Brewster,5,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,3,2,1,,Early
Brewster,5,U.S. Senate,,DEM,Robert Francis O'Rourke,13,11,2,,Early
Brewster,6,U.S. Senate,,DEM,Edward Wayne Kimbrough,9,9,0,,Early
Brewster,6,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,22,17,5,,Early
Brewster,6,U.S. Senate,,DEM,Robert Francis O'Rourke,110,70,40,,Early
Brewster,7,U.S. Senate,,DEM,Edward Wayne Kimbrough,0,0,0,,Early
Brewster,7,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,4,2,2,,Early
Brewster,7,U.S. Senate,,DEM,Robert Francis O'Rourke,29,20,9,,Early
Brewster,8,U.S. Senate,,DEM,Edward Wayne Kimbrough,4,1,3,,Early
Brewster,8,U.S. Senate,,DEM,Irasema Ramirez-Hernandez,28,11,17,,Early
Brewster,8,U.S. Senate,,DEM,Robert Francis O'Rourke,67,40,27,,Early
Brewster,1,Lieutenant Governor,,DEM,Michael  Cooper,66,27,39,,Early
Brewster,1,Lieutenant Governor,,DEM,Michael Edward Collier,134,53,81,,Early
Brewster,2,Lieutenant Governor,,DEM,Michael  Cooper,73,24,49,,Early
Brewster,2,Lieutenant Governor,,DEM,Michael Edward Collier,129,52,77,,Early
Brewster,3,Lieutenant Governor,,DEM,Michael  Cooper,17,14,3,,Early
Brewster,3,Lieutenant Governor,,DEM,Michael Edward Collier,31,26,5,,Early
Brewster,4,Lieutenant Governor,,DEM,Michael  Cooper,75,41,34,,Early
Brewster,4,Lieutenant Governor,,DEM,Michael Edward Collier,92,41,51,,Early
Brewster,5,Lieutenant Governor,,DEM,Michael  Cooper,7,6,1,,Early
Brewster,5,Lieutenant Governor,,DEM,Michael Edward Collier,5,4,1,,Early
Brewster,6,Lieutenant Governor,,DEM,Michael  Cooper,51,34,17,,Early
Brewster,6,Lieutenant Governor,,DEM,Michael Edward Collier,59,41,18,,Early
Brewster,7,Lieutenant Governor,,DEM,Michael  Cooper,6,4,2,,Early
Brewster,7,Lieutenant Governor,,DEM,Michael Edward Collier,18,12,6,,Early
Brewster,8,Lieutenant Governor,,DEM,Michael  Cooper,20,11,9,,Early
Brewster,8,Lieutenant Governor,,DEM,Michael Edward Collier,58,29,29,,Early
Brewster,1,Attorney General,,DEM,Justin Adatto  Nelson,179,73,106,,Early
Brewster,2,Attorney General,,DEM,Justin Adatto  Nelson,185,69,116,,Early
Brewster,3,Attorney General,,DEM,Justin Adatto  Nelson,39,33,6,,Early
Brewster,4,Attorney General,,DEM,Justin Adatto  Nelson,154,75,79,,Early
Brewster,5,Attorney General,,DEM,Justin Adatto  Nelson,11,9,2,,Early
Brewster,6,Attorney General,,DEM,Justin Adatto  Nelson,103,68,35,,Early
Brewster,7,Attorney General,,DEM,Justin Adatto  Nelson,23,15,8,,Early
Brewster,8,Attorney General,,DEM,Justin Adatto  Nelson,79,40,39,,Early
Brewster,1,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,72,30,42,,Early
Brewster,1,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,128,51,77,,Early
Brewster,2,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,48,17,31,,Early
Brewster,2,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,157,62,95,,Early
Brewster,3,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,18,15,3,,Early
Brewster,3,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,34,30,4,,Early
Brewster,4,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,36,18,18,,Early
Brewster,4,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,129,62,67,,Early
Brewster,5,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,2,1,1,,Early
Brewster,5,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,10,8,2,,Early
Brewster,6,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,33,21,12,,Early
Brewster,6,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,79,54,25,,Early
Brewster,7,Commissioner of the General Land Office,,DEM,Carl Allen Morgan,4,4,0,,Early
Brewster,7,Commissioner of the General Land Office,,DEM,Miguel Andrs Suazo,21,13,8,,Early
