candidate,office,district,party,county,precinct,votes,early_voting,early_voting_paper,early_voting_machine,election_day,election_day_paper,election_day_machine
,Registered Voters,,,Lavaca,Precinct 1,1002,,,,,,
,Ballots Cast,,,Lavaca,Precinct 1,601,451,250,201,150,86,64
,Straight Party,,REP,Lavaca,Precinct 1,339,269,143,126,70,38,32
,Straight Party,,DEM,Lavaca,Precinct 1,33,26,13,13,7,3,4
,Straight Party,,LIB,Lavaca,Precinct 1,1,1,1,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 1,528,395,213,182,133,75,58
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 1,69,53,34,19,16,10,6
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 1,2,2,2,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 1,528,396,214,182,132,74,58
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 1,61,47,30,17,14,9,5
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 1,2,2,2,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 1,1,1,0,1,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 1,540,404,219,185,136,78,58
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 1,55,43,27,16,12,7,5
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 1,3,2,2,0,1,1,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 1,516,388,214,174,128,74,54
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 1,73,54,31,23,19,11,8
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 1,3,2,1,1,1,0,1
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 1,519,386,205,181,133,75,58
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 1,67,54,35,19,13,8,5
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 1,4,4,4,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 1,530,396,214,182,134,76,58
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 1,54,42,24,18,12,7,5
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 1,6,5,5,0,1,1,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 1,519,388,210,178,131,74,57
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 1,59,45,27,18,14,9,5
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 1,13,12,9,3,1,1,0
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 1,515,388,206,182,127,70,57
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 1,62,46,29,17,16,10,6
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 1,8,6,5,1,2,2,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 1,526,397,215,182,129,73,56
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 1,68,52,31,21,16,10,6
,Registered Voters,,,Lavaca,Precinct 2,1452,,,,,,
,Ballots Cast,,,Lavaca,Precinct 2,876,643,338,305,233,149,84
,Straight Party,,REP,Lavaca,Precinct 2,463,368,175,193,95,59,36
,Straight Party,,DEM,Lavaca,Precinct 2,96,58,27,31,38,22,16
,Straight Party,,LIB,Lavaca,Precinct 2,1,0,0,0,1,1,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 2,725,547,283,264,178,115,63
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 2,147,93,53,40,54,33,21
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 2,1,0,0,0,1,1,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 2,729,551,288,263,178,115,63
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 2,134,83,43,40,51,32,19
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 2,3,2,1,1,1,1,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 2,3,1,0,1,2,1,1
Greg Abbott,Governor ,,REP,Lavaca,Precinct 2,737,555,292,263,182,117,65
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 2,130,82,42,40,48,30,18
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 2,5,3,1,2,2,1,1
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 2,700,530,283,247,170,110,60
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 2,150,98,47,51,52,33,19
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 2,15,9,3,6,6,3,3
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 2,703,533,279,254,170,107,63
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 2,154,100,54,46,54,35,19
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 2,6,2,0,2,4,4,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 2,721,550,287,263,171,110,61
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 2,129,78,39,39,51,32,19
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 2,12,6,4,2,6,4,2
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 2,719,543,280,263,176,113,63
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 2,127,78,40,38,49,31,18
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 2,15,12,9,3,3,2,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 2,713,545,283,262,168,106,62
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 2,138,82,43,39,56,37,19
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 2,11,8,5,3,3,2,1
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 2,712,541,279,262,171,107,64
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 2,144,90,48,42,54,35,19
,Registered Voters,,,Lavaca,Precinct 7,248,,,,,,
,Ballots Cast,,,Lavaca,Precinct 7,181,130,53,77,51,23,28
,Straight Party,,REP,Lavaca,Precinct 7,100,69,21,48,31,13,18
,Straight Party,,DEM,Lavaca,Precinct 7,22,14,7,7,8,4,4
,Straight Party,,LIB,Lavaca,Precinct 7,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 7,147,105,37,68,42,19,23
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 7,34,25,16,9,9,4,5
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 7,0,0,0,0,0,0,0
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 7,148,106,38,68,42,19,23
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 7,32,23,14,9,9,4,5
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 7,1,1,1,0,0,0,0
James Duerr,U.S. House,27,IND,Lavaca,Precinct 7,0,0,0,0,0,0,0
Greg Abbott,Governor ,,REP,Lavaca,Precinct 7,150,108,39,69,42,19,23
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 7,29,20,12,8,9,4,5
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 7,1,1,1,0,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 7,140,98,36,62,42,19,23
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 7,40,31,17,14,9,4,5
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 7,0,0,0,0,0,0,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 7,138,97,34,63,41,18,23
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 7,38,29,16,13,9,4,5
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 7,2,2,2,0,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 7,147,106,39,67,41,18,23
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 7,30,21,12,9,9,4,5
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 7,1,0,0,0,1,1,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 7,145,103,38,65,42,19,23
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 7,34,25,15,10,9,4,5
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 7,1,1,0,1,0,0,0
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 7,143,101,36,65,42,19,23
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 7,33,24,14,10,9,4,5
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 7,3,3,2,1,0,0,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 7,142,101,35,66,41,18,23
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 7,32,22,12,10,10,5,5
,Registered Voters,,,Lavaca,Precinct 8,707,,,,,,
,Ballots Cast,,,Lavaca,Precinct 8,481,260,131,129,221,147,74
,Straight Party,,REP,Lavaca,Precinct 8,265,146,67,79,119,79,40
,Straight Party,,DEM,Lavaca,Precinct 8,28,20,11,9,8,7,1
,Straight Party,,LIB,Lavaca,Precinct 8,0,0,0,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 8,411,220,110,110,191,125,66
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 8,65,37,20,17,28,21,7
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 8,3,2,0,2,1,0,1
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 8,413,222,108,114,191,126,65
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 8,54,33,20,13,21,15,6
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 8,2,1,0,1,1,0,1
James Duerr,U.S. House,27,IND,Lavaca,Precinct 8,3,1,1,0,2,1,1
Greg Abbott,Governor ,,REP,Lavaca,Precinct 8,431,226,112,114,205,136,69
Lupe Valdez,Governor ,,DEM,Lavaca,Precinct 8,46,32,19,13,14,10,4
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 8,1,1,0,1,0,0,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 8,409,217,110,107,192,125,67
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 8,59,37,20,17,22,17,5
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 8,7,4,1,3,3,2,1
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 8,404,214,108,106,190,124,66
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 8,64,40,21,19,24,17,7
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 8,6,5,2,3,1,1,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 8,421,225,110,115,196,128,68
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 8,45,30,20,10,15,11,4
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 8,4,1,0,1,3,3,0
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 8,406,218,107,111,188,123,65
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 8,51,32,20,12,19,13,6
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 8,9,3,1,2,6,4,2
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 8,403,216,105,111,187,123,64
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 8,52,33,20,13,19,13,6
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 8,9,4,2,2,5,3,2
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 8,187,115,55,60,72,55,17
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 8,18,13,8,5,5,3,2
,Registered Voters,,,Lavaca,Precinct 9,1336,,,,,,
,Ballots Cast,,,Lavaca,Precinct 9,777,297,178,119,480,303,177
,Straight Party,,REP,Lavaca,Precinct 9,411,171,95,76,240,147,93
,Straight Party,,DEM,Lavaca,Precinct 9,56,20,17,3,36,25,11
,Straight Party,,LIB,Lavaca,Precinct 9,2,0,0,0,2,1,1
Ted Cruz,U.S. Senate,,REP,Lavaca,Precinct 9,663,255,145,110,408,252,156
Beto O'Rourke,U.S. Senate,,DEM,Lavaca,Precinct 9,107,40,31,9,67,47,20
Neal M Dikeman,U.S. Senate,,LIB,Lavaca,Precinct 9,5,1,1,0,4,3,1
Michael Cloud,U.S. House,27,REP,Lavaca,Precinct 9,663,253,143,110,410,255,155
Eric Holguin,U.S. House,27,DEM,Lavaca,Precinct 9,99,42,34,8,57,41,16
Daniel Tinus,U.S. House,27,LIB,Lavaca,Precinct 9,4,1,0,1,3,2,1
