county,office,district,candidate,party,precinct,early_voting,election_day,votes
Motley,Attorney General,,Justin Adatto  Nelson,DEM,1,1,1,2
Motley,Attorney General,,Justin Adatto  Nelson,DEM,6,2,1,3
Motley,Attorney General,,Warren Paxton,REP,1,50,54,104
Motley,Attorney General,,Warren Paxton,REP,2,7,13,20
Motley,Attorney General,,Warren Paxton,REP,3,8,4,12
Motley,Attorney General,,Warren Paxton,REP,4,18,34,52
Motley,Attorney General,,Warren Paxton,REP,5,31,21,52
Motley,Attorney General,,Warren Paxton,REP,6,13,21,34
Motley,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,1,1,,1
Motley,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,6,2,1,3
Motley,Commissioner of Agriculture,,Jimmie Hogan,REP,1,6,8,14
Motley,Commissioner of Agriculture,,Sidney Miller,REP,1,23,28,51
Motley,Commissioner of Agriculture,,Trey Blocker,REP,1,22,12,34
Motley,Commissioner of Agriculture,,Jimmie Hogan,REP,2,0,1,1
Motley,Commissioner of Agriculture,,Sidney Miller,REP,2,5,10,15
Motley,Commissioner of Agriculture,,Trey Blocker,REP,2,2,3,5
Motley,Commissioner of Agriculture,,Sidney Miller,REP,3,6,4,10
Motley,Commissioner of Agriculture,,Trey Blocker,REP,3,2,8,10
Motley,Commissioner of Agriculture,,Jimmie Hogan,REP,4,2,0,2
Motley,Commissioner of Agriculture,,Sidney Miller,REP,4,10,20,30
Motley,Commissioner of Agriculture,,Trey Blocker,REP,4,5,8,13
Motley,Commissioner of Agriculture,,Jimmie Hogan,REP,5,2,5,7
Motley,Commissioner of Agriculture,,Sidney Miller,REP,5,20,10,30
Motley,Commissioner of Agriculture,,Trey Blocker,REP,5,10,8,18
Motley,Commissioner of Agriculture,,Jimmie Hogan,REP,6,3,3,6
Motley,Commissioner of Agriculture,,Sidney Miller,REP,6,8,12,20
Motley,Commissioner of Agriculture,,Trey Blocker,REP,6,5,11,16
Motley,Commissioner of Agriculture,,Kimberly Dawn Olson,DEM,4,,1,1
Motley,Commissioner of the General Land Office,,Miguel Andrs Suazo,DEM,6,1,1,2
Motley,Commissioner of the General Land Office,,George Bush,REP,1,40,32,72
Motley,Commissioner of the General Land Office,,Jerry Patterson,REP,1,10,13,23
Motley,Commissioner of the General Land Office,,Richard Range,REP,1,3,3,6
Motley,Commissioner of the General Land Office,,William Edwards,REP,1,2,4,6
Motley,Commissioner of the General Land Office,,George Bush,REP,2,2,8,10
Motley,Commissioner of the General Land Office,,Jerry Patterson,REP,2,4,4,8
Motley,Commissioner of the General Land Office,,Richard Range,REP,2,0,3,3
Motley,Commissioner of the General Land Office,,George Bush,REP,3,6,2,8
Motley,Commissioner of the General Land Office,,Jerry Patterson,REP,3,3,1,4
Motley,Commissioner of the General Land Office,,Richard Range,REP,3,0,1,1
Motley,Commissioner of the General Land Office,,George Bush,REP,4,9,22,31
Motley,Commissioner of the General Land Office,,Jerry Patterson,REP,4,4,12,16
Motley,Commissioner of the General Land Office,,Richard Range,REP,4,3,2,5
Motley,Commissioner of the General Land Office,,William Edwards,REP,4,1,0,1
Motley,Commissioner of the General Land Office,,George Bush,REP,5,20,15,35
Motley,Commissioner of the General Land Office,,Jerry Patterson,REP,5,9,7,16
Motley,Commissioner of the General Land Office,,Richard Range,REP,5,1,1,2
Motley,Commissioner of the General Land Office,,William Edwards,REP,5,3,2,5
Motley,Commissioner of the General Land Office,,George Bush,REP,6,15,22,37
Motley,Commissioner of the General Land Office,,Jerry Patterson,REP,6,1,7,8
Motley,Commissioner of the General Land Office,,Richard Range,REP,6,2,1,3
Motley,Commissioner of the General Land Office,,William Edwards,REP,6,1,1,2
Motley,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,1,1,0,1
Motley,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,2,2,1,3
Motley,Comptroller of Public Accounts,,Timothy Raymond Mahoney,DEM,6,2,1,3
Motley,Comptroller of Public Accounts,,Glenn Hegar,REP,1,49,53,102
Motley,Comptroller of Public Accounts,,Glenn Hegar,REP,2,7,10,17
Motley,Comptroller of Public Accounts,,Glenn Hegar,REP,3,6,3,9
Motley,Comptroller of Public Accounts,,Glenn Hegar,REP,4,18,32,50
Motley,Comptroller of Public Accounts,,Glenn Hegar,REP,5,32,24,56
Motley,Comptroller of Public Accounts,,Glenn Hegar,REP,6,13,21,34
Motley,Comptroller of Public Accounts,,Joi Chevalier,DEM,2,0,1,1
Motley,Governor,,Jeffrey Alan Payne,DEM,1,1,0,1
Motley,Governor,,Grady Yarbrough,DEM,2,2,0,2
Motley,Governor,,Grady Yarbrough,DEM,6,1,0,1
Motley,Governor,,Robert Andrew  White,DEM,6,1,0,1
Motley,Governor,,Barbara Krueger,REP,1,3,2,5
Motley,Governor,,Gregory Abbott,REP,1,52,51,103
Motley,Governor,,Larry Kilgore,REP,1,1,0,1
Motley,Governor,,Gregory Abbott,REP,2,8,16,24
Motley,Governor,,Gregory Abbott,REP,3,9,4,13
Motley,Governor,,Barbara Krueger,REP,4,1,3,4
Motley,Governor,,Gregory Abbott,REP,4,16,37,53
Motley,Governor,,Larry Kilgore,REP,4,1,0,1
Motley,Governor,,Barbara Krueger,REP,5,3,2,5
Motley,Governor,,Gregory Abbott,REP,5,32,26,58
Motley,Governor,,Barbara Krueger,REP,6,3,1,4
Motley,Governor,,Gregory Abbott,REP,6,18,28,46
Motley,Governor,,Guadalupe Valdez,DEM,2,0,1,1
Motley,Governor,,"Cedric Wayne Davis, Sr.",DEM,4,0,1,1
Motley,Governor,,Adrian Ocegueda,DEM,6,0,1,1
Motley,Governor,,Barbara Krueger,REP,2,0,1,1
Motley,Lieutenant Governor,,Michael  Cooper,DEM,1,1,0,1
Motley,Lieutenant Governor,,Michael Edward Collier,DEM,2,2,0,2
Motley,Lieutenant Governor,,Michael Edward Collier,DEM,6,1,0,1
Motley,Lieutenant Governor,,Dan Patrick,REP,1,42,36,78
Motley,Lieutenant Governor,,Scott Milder,REP,1,15,17,32
Motley,Lieutenant Governor,,Dan Patrick,REP,2,6,9,15
Motley,Lieutenant Governor,,Scott Milder,REP,2,2,7,9
Motley,Lieutenant Governor,,Dan Patrick,REP,3,8,3,11
Motley,Lieutenant Governor,,Scott Milder,REP,3,1,1,2
Motley,Lieutenant Governor,,Dan Patrick,REP,4,13,27,40
Motley,Lieutenant Governor,,Scott Milder,REP,4,4,10,14
Motley,Lieutenant Governor,,Dan Patrick,REP,5,26,13,39
Motley,Lieutenant Governor,,Scott Milder,REP,5,9,13,22
Motley,Lieutenant Governor,,Dan Patrick,REP,6,9,16,25
Motley,Lieutenant Governor,,Scott Milder,REP,6,11,8,19
Motley,Lieutenant Governor,,Michael  Cooper,DEM,2,0,1,1
Motley,Lieutenant Governor,,Michael  Cooper,DEM,3,0,1,1
Motley,Lieutenant Governor,,Michael  Cooper,DEM,6,0,1,1
Motley,Railroad Commissioner,,Roman James Alfred McAllen,DEM,1,1,0,1
Motley,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,2,1,1,2
Motley,Railroad Commissioner,,Roman James Alfred McAllen,DEM,2,1,0,1
Motley,Railroad Commissioner,,Christopher Cornell Spellmon,DEM,6,1,0,1
Motley,Railroad Commissioner,,Christi Craddick,REP,1,42,43,85
