county,precinct,office,district,party,candidate,votes,election_day,early_voting
Nacogdoches,12,Registered Voters,,,,1845,,
Nacogdoches,12,Ballots Cast,,,,1145,563,582
Nacogdoches,12,Straight Party,,,Over Votes,0,0,0
Nacogdoches,12,Straight Party,,,Under Votes,416,213,203
Nacogdoches,12,Straight Party,,REP,Republican Party,621,308,313
Nacogdoches,12,Straight Party,,DEM,Democratic Party,106,42,64
Nacogdoches,12,Straight Party,,LIB,Libertarian Party,2,0,2
Nacogdoches,12,U.S. Senate,,,Over Votes,1,1,0
Nacogdoches,12,U.S. Senate,,,Under Votes,1,0,1
Nacogdoches,12,U.S. Senate,,REP,Ted Cruz,942,477,465
Nacogdoches,12,U.S. Senate,,DEM,Beto O'Rourke,195,81,114
Nacogdoches,12,U.S. Senate,,LIB,Neal M. Dikeman,6,4,2
Nacogdoches,12,U.S. House,1,,Over Votes,2,1,1
Nacogdoches,12,U.S. House,1,,Under Votes,7,4,3
Nacogdoches,12,U.S. House,1,REP,Louie Gohmert,941,475,466
Nacogdoches,12,U.S. House,1,DEM,Shirley J. McKellar,180,73,107
Nacogdoches,12,U.S. House,1,LIB,Jeff Callaway,15,10,5
Nacogdoches,12,Governor,,,Over Votes,2,1,1
Nacogdoches,12,Governor,,,Under Votes,4,1,3
Nacogdoches,12,Governor,,REP,Greg Abbott,961,487,474
Nacogdoches,12,Governor,,DEM,Lupe Valdez,167,68,99
Nacogdoches,12,Governor,,LIB,Mark Jay Tippetts,11,6,5
Nacogdoches,12,Lieutenant Governor,,,Over Votes,1,1,0
Nacogdoches,12,Lieutenant Governor,,,Under Votes,17,6,11
Nacogdoches,12,Lieutenant Governor,,REP,Dan Patrick,898,448,450
Nacogdoches,12,Lieutenant Governor,,DEM,Mike Collier,212,100,112
Nacogdoches,12,Lieutenant Governor,,LIB,Kerry Douglas McKennon,17,8,9
Nacogdoches,12,Attorney General,,,Over Votes,1,1,0
Nacogdoches,12,Attorney General,,,Under Votes,15,6,9
Nacogdoches,12,Attorney General,,REP,Ken Paxton,922,467,455
Nacogdoches,12,Attorney General,,DEM,Justin Nelson,186,78,108
Nacogdoches,12,Attorney General,,LIB,Michael Ray Harris,21,11,10
Nacogdoches,12,Comptroller of Public Accounts,,,Over Votes,1,1,0
Nacogdoches,12,Comptroller of Public Accounts,,,Under Votes,26,12,14
Nacogdoches,12,Comptroller of Public Accounts,,REP,Glenn Hegar,924,465,459
Nacogdoches,12,Comptroller of Public Accounts,,DEM,Joi Chevalier,165,69,96
Nacogdoches,12,Comptroller of Public Accounts,,LIB,Ben Sanders,29,16,13
Nacogdoches,12,Commissioner of the General Land Office,,,Over Votes,0,0,0
Nacogdoches,12,Commissioner of the General Land Office,,,Under Votes,28,12,16
Nacogdoches,12,Commissioner of the General Land Office,,REP,George P. Bush,895,453,442
Nacogdoches,12,Commissioner of the General Land Office,,DEM,Miguel Suazo,183,81,102
Nacogdoches,12,Commissioner of the General Land Office,,LIB,Matt Piña,39,17,22
Nacogdoches,12,Commissioner of Agriculture,,,Over Votes,1,1,0
Nacogdoches,12,Commissioner of Agriculture,,,Under Votes,23,11,12
Nacogdoches,12,Commissioner of Agriculture,,REP,Sid Miller,925,467,458
Nacogdoches,12,Commissioner of Agriculture,,DEM,Kim Olson,180,75,105
