county,precinct,candidate,office,district,party,votes
McMullen,Early,Ted Cruz,U.S. Senate,,REP,234
McMullen,Early,Beto O'Rourke,U.S. Senate,,DEM,16
McMullen,Early,Neal M. Dikeman ,U.S. Senate,,LIB,1
McMullen,Early,Henry Cuellar,U.S. House,28,DEM,92
McMullen,Early,Arthur Thomas IV,U.S. House,28,LIB,28
McMullen,Early,Gregg Abbott,Governor ,,REP,238
McMullen,Early,Lupe Valdez,Governor ,,DEM,13
McMullen,Early,Mark Jay Tippetts ,Governor ,,LIB,1
McMullen,Early,Dan Patrick,Lieutenant Governor,,REP,219
McMullen,Early,Mike Collier,Lieutenant Governor,,DEM,24
McMullen,Early,Kerry Douglas McKennon,Lieutenant Governor,,LIB,7
McMullen,Early,Ken Paxton ,Attorney General,,REP,225
McMullen,Early,Justin Nelson,Attorney General,,DEM,20
McMullen,Early,Michael Ray Harris,Attorney General,,LIB,3
McMullen,Early,Glenn Hegar,Comptroller of Public Accounts,,REP,228
McMullen,Early,Joi Chevalier ,Comptroller of Public Accounts,,DEM,11
McMullen,Early,Ben Sanders,Comptroller of Public Accounts,,LIB,3
McMullen,Early,George P. Bush,Commissioner of the General Land Office,,REP,225
McMullen,Early,Miguel Suazo,Commissioner of the General Land Office,,DEM,75
McMullen,Early,Matt Pina,Commissioner of the General Land Office,,LIB,11
McMullen,Early,Sid Miller,Commissioner of Agriculture,,REP,227
McMullen,Early,Kim Olson,Commissioner of Agriculture,,DEM,17
McMullen,Early,Richard Carpenter,Commissioner of Agriculture,,LIB,3
McMullen,Early,Christi Craddick,Railroad Commissioner,,REP,229
McMullen,Early,Roman McAllen,Railroad Commissioner,,DEM,12
McMullen,Early,Mike Wright ,Railroad Commissioner,,LIB,5
McMullen,Early,Ryan Guillen,State Representative,31,DEM,73
McMullen,1,Ted Cruz,U.S. Senate,,REP,30
McMullen,1,Beto O'Rourke,U.S. Senate,,DEM,7
McMullen,1,Neal M. Dikeman ,U.S. Senate,,LIB,0
McMullen,1,Henry Cuellar,U.S. House,28,DEM,18
McMullen,1,Arthur Thomas IV,U.S. House,28,LIB,4
McMullen,1,Gregg Abbott,Governor ,,REP,32
McMullen,1,Lupe Valdez,Governor ,,DEM,6
McMullen,1,Mark Jay Tippetts ,Governor ,,LIB,0
McMullen,1,Dan Patrick,Lieutenant Governor,,REP,27
McMullen,1,Mike Collier,Lieutenant Governor,,DEM,8
McMullen,1,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
McMullen,1,Ken Paxton ,Attorney General,,REP,30
McMullen,1,Justin Nelson,Attorney General,,DEM,7
McMullen,1,Michael Ray Harris,Attorney General,,LIB,0
McMullen,1,Glenn Hegar,Comptroller of Public Accounts,,REP,30
McMullen,1,Joi Chevalier ,Comptroller of Public Accounts,,DEM,6
McMullen,1,Ben Sanders,Comptroller of Public Accounts,,LIB,0
McMullen,1,George P. Bush,Commissioner of the General Land Office,,REP,31
McMullen,1,Miguel Suazo,Commissioner of the General Land Office,,DEM,6
McMullen,1,Matt Pina,Commissioner of the General Land Office,,LIB,1
McMullen,1,Sid Miller,Commissioner of Agriculture,,REP,29
McMullen,1,Kim Olson,Commissioner of Agriculture,,DEM,6
McMullen,1,Richard Carpenter,Commissioner of Agriculture,,LIB,0
McMullen,1,Christi Craddick,Railroad Commissioner,,REP,28
McMullen,1,Roman McAllen,Railroad Commissioner,,DEM,8
McMullen,1,Mike Wright ,Railroad Commissioner,,LIB,0
McMullen,1,Ryan Guillen,State Representative,31,DEM,17
McMullen,2,Ted Cruz,U.S. Senate,,REP,40
McMullen,2,Beto O'Rourke,U.S. Senate,,DEM,6
McMullen,2,Neal M. Dikeman ,U.S. Senate,,LIB,1
McMullen,2,Henry Cuellar,U.S. House,28,DEM,16
McMullen,2,Arthur Thomas IV,U.S. House,28,LIB,5
McMullen,2,Gregg Abbott,Governor ,,REP,43
McMullen,2,Lupe Valdez,Governor ,,DEM,3
McMullen,2,Mark Jay Tippetts ,Governor ,,LIB,0
McMullen,2,Dan Patrick,Lieutenant Governor,,REP,41
McMullen,2,Mike Collier,Lieutenant Governor,,DEM,4
McMullen,2,Kerry Douglas McKennon,Lieutenant Governor,,LIB,1
McMullen,2,Ken Paxton ,Attorney General,,REP,41
McMullen,2,Justin Nelson,Attorney General,,DEM,3
McMullen,2,Michael Ray Harris,Attorney General,,LIB,0
McMullen,2,Glenn Hegar,Comptroller of Public Accounts,,REP,40
McMullen,2,Joi Chevalier ,Comptroller of Public Accounts,,DEM,4
McMullen,2,Ben Sanders,Comptroller of Public Accounts,,LIB,0
McMullen,2,George P. Bush,Commissioner of the General Land Office,,REP,40
McMullen,2,Miguel Suazo,Commissioner of the General Land Office,,DEM,3
McMullen,2,Matt Pina,Commissioner of the General Land Office,,LIB,1
McMullen,2,Sid Miller,Commissioner of Agriculture,,REP,37
McMullen,2,Kim Olson,Commissioner of Agriculture,,DEM,6
McMullen,2,Richard Carpenter,Commissioner of Agriculture,,LIB,2
McMullen,2,Christi Craddick,Railroad Commissioner,,REP,40
McMullen,2,Roman McAllen,Railroad Commissioner,,DEM,3
McMullen,2,Mike Wright ,Railroad Commissioner,,LIB,1
McMullen,2,Ryan Guillen,State Representative,31,DEM,14
McMullen,3,Ted Cruz,U.S. Senate,,REP,49
McMullen,3,Beto O'Rourke,U.S. Senate,,DEM,9
McMullen,3,Neal M. Dikeman ,U.S. Senate,,LIB,0
McMullen,3,Henry Cuellar,U.S. House,28,DEM,22
McMullen,3,Arthur Thomas IV,U.S. House,28,LIB,5
McMullen,3,Gregg Abbott,Governor ,,REP,49
McMullen,3,Lupe Valdez,Governor ,,DEM,8
McMullen,3,Mark Jay Tippetts ,Governor ,,LIB,0
McMullen,3,Dan Patrick,Lieutenant Governor,,REP,47
McMullen,3,Mike Collier,Lieutenant Governor,,DEM,10
McMullen,3,Kerry Douglas McKennon,Lieutenant Governor,,LIB,0
McMullen,3,Ken Paxton ,Attorney General,,REP,46
McMullen,3,Justin Nelson,Attorney General,,DEM,10
McMullen,3,Michael Ray Harris,Attorney General,,LIB,0
McMullen,3,Glenn Hegar,Comptroller of Public Accounts,,REP,46
McMullen,3,Joi Chevalier ,Comptroller of Public Accounts,,DEM,9
McMullen,3,Ben Sanders,Comptroller of Public Accounts,,LIB,1
McMullen,3,George P. Bush,Commissioner of the General Land Office,,REP,46
McMullen,3,Miguel Suazo,Commissioner of the General Land Office,,DEM,10
McMullen,3,Matt Pina,Commissioner of the General Land Office,,LIB,2
McMullen,3,Sid Miller,Commissioner of Agriculture,,REP,45
McMullen,3,Kim Olson,Commissioner of Agriculture,,DEM,9
McMullen,3,Richard Carpenter,Commissioner of Agriculture,,LIB,1
McMullen,3,Christi Craddick,Railroad Commissioner,,REP,46
McMullen,3,Roman McAllen,Railroad Commissioner,,DEM,8
McMullen,3,Mike Wright ,Railroad Commissioner,,LIB,2
McMullen,3,Ryan Guillen,State Representative,31,DEM,18
McMullen,4,Ted Cruz,U.S. Senate,,REP,34
McMullen,4,Beto O'Rourke,U.S. Senate,,DEM,3
McMullen,4,Neal M. Dikeman ,U.S. Senate,,LIB,0
McMullen,4,Henry Cuellar,U.S. House,28,DEM,19
McMullen,4,Arthur Thomas IV,U.S. House,28,LIB,5
McMullen,4,Gregg Abbott,Governor ,,REP,33
McMullen,4,Lupe Valdez,Governor ,,DEM,3
McMullen,4,Mark Jay Tippetts ,Governor ,,LIB,0
McMullen,4,Dan Patrick,Lieutenant Governor,,REP,27
McMullen,4,Mike Collier,Lieutenant Governor,,DEM,9
McMullen,4,Kerry Douglas McKennon,Lieutenant Governor,,LIB,1
McMullen,4,Ken Paxton ,Attorney General,,REP,33
McMullen,4,Justin Nelson,Attorney General,,DEM,3
McMullen,4,Michael Ray Harris,Attorney General,,LIB,0
McMullen,4,Glenn Hegar,Comptroller of Public Accounts,,REP,33
McMullen,4,Joi Chevalier ,Comptroller of Public Accounts,,DEM,3
McMullen,4,Ben Sanders,Comptroller of Public Accounts,,LIB,0
McMullen,4,George P. Bush,Commissioner of the General Land Office,,REP,34
McMullen,4,Miguel Suazo,Commissioner of the General Land Office,,DEM,2
McMullen,4,Matt Pina,Commissioner of the General Land Office,,LIB,0
McMullen,4,Sid Miller,Commissioner of Agriculture,,REP,30
McMullen,4,Kim Olson,Commissioner of Agriculture,,DEM,4
McMullen,4,Richard Carpenter,Commissioner of Agriculture,,LIB,1
McMullen,4,Christi Craddick,Railroad Commissioner,,REP,31
McMullen,4,Roman McAllen,Railroad Commissioner,,DEM,3
McMullen,4,Mike Wright ,Railroad Commissioner,,LIB,1
McMullen,4,Ryan Guillen,State Representative,31,DEM,11
