county,precinct,office,district,candidate,party,election_day,early_voting,votes
Hamilton,1,Straight Party,,Ballots Cast,,568,422,990
Hamilton,1,Straight Party,,Republican Party,REP,280,216,496
Hamilton,1,Straight Party,,Democratic Party,DEM,47,37,84
Hamilton,1,Straight Party,,Libertarian Party,LIB,1,1,2
Hamilton,1,U.S. Senate,,Ted Cruz ,REP,476,353,829
Hamilton,1,U.S. Senate,,Beto O'Rourke ,DEM,81,64,145
Hamilton,1,U.S. Senate,,Neal M. Dikeman ,LIB,5,2,7
Hamilton,1,U.S. House,25,Roger Williams ,REP,466,347,813
Hamilton,1,U.S. House,25,Julie Oliver ,DEM,88,66,154
Hamilton,1,U.S. House,25,Desarae Lindsey ,LIB,4,4,8
Hamilton,1,Governor,,Greg Abbott ,REP,487,362,849
Hamilton,1,Governor,,Lupe Valdez ,DEM,73,57,130
Hamilton,1,Governor,,Mark Jay Tippetts ,LIB,4,3,7
Hamilton,1,Lieutenant Governor,,Dan Patrick ,REP,456,340,796
Hamilton,1,Lieutenant Governor,,Mike Collier ,DEM,97,73,170
Hamilton,1,Lieutenant Governor,,Kerry Douglas McKennon ,LIB,8,6,14
Hamilton,1,Attorney General,,Ken Paxton ,REP,447,334,781
Hamilton,1,Attorney General,,Justin Nelson ,DEM,98,73,171
Hamilton,1,Attorney General,,Michael Ray Harris ,LIB,8,4,12
Hamilton,1,Comptroller of Public Accounts,,Glenn Hegar ,REP,459,346,805
Hamilton,1,Comptroller of Public Accounts,,Joi Chevalier ,DEM,75,57,132
Hamilton,1,Comptroller of Public Accounts,,Ben Sanders ,LIB,18,9,27
Hamilton,1,Commissioner of the General Land Office,,George P. Bush ,REP,464,345,809
Hamilton,1,Commissioner of the General Land Office,,Miguel Suazo,DEM,73,56,129
Hamilton,1,Commissioner of the General Land Office,,Matt Pina ,LIB,20,14,34
Hamilton,1,Commissioner of Agriculture,,Sid Miller ,REP,438,323,761
Hamilton,1,Commissioner of Agriculture,,Kim Olson ,DEM,104,82,186
Hamilton,1,Commissioner of Agriculture,,Richard Carpenter ,LIB,15,9,24
Hamilton,1,Railroad Commissioner,,Christi Craddick ,REP,467,349,816
Hamilton,1,Railroad Commissioner,,Roman McAllen ,DEM,80,60,140
Hamilton,1,Railroad Commissioner,,Mike Wright ,LIB,10,6,16
Hamilton,1,"Justice, Supreme Court, Place 2",,Jimmy Blacklock ,REP,463,347,810
Hamilton,1,"Justice, Supreme Court, Place 2",,Steven Kirkland ,DEM,83,61,144
Hamilton,1,Justice Supreme Court Place 4,,John Devine ,REP,466,345,811
Hamilton,1,Justice Supreme Court Place 4,,R. K. Sandill ,DEM,81,63,144
Hamilton,1,Justice Supreme Court Place 6,,Jeff Brown ,REP,463,346,809
Hamilton,1,Justice Supreme Court Place 6,,Kathy Cheng,DEM,80,60,140
Hamilton,1,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller ,REP,453,341,794
