county,office,district,party,candidate,incumbent,votes,pct
ANDERSON,Governor,,DEM,Lupe Valdez,False,155,57.62
ANDERSON,Governor,,DEM,Andrew White,False,114,42.38
ANDERSON,Governor,,,Total,,269,
ANDREWS,Governor,,DEM,Lupe Valdez,False,11,84.62
ANDREWS,Governor,,DEM,Andrew White,False,2,15.38
ANDREWS,Governor,,,Total,,13,
ANGELINA,Governor,,DEM,Lupe Valdez,False,176,42.00
ANGELINA,Governor,,DEM,Andrew White,False,243,58.00
ANGELINA,Governor,,,Total,,419,
ARANSAS,U. S. Representative,27,DEM,Raul (Roy) Barrera,False,55,22.63
ARANSAS,U. S. Representative,27,DEM,Eric Holguin,False,188,77.37
ARANSAS,U. S. Representative,27,,Total,,243,
ARANSAS,Governor,,DEM,Lupe Valdez,False,91,37.76
ARANSAS,Governor,,DEM,Andrew White,False,150,62.24
ARANSAS,Governor,,,Total,,241,
ARCHER,Governor,,DEM,Lupe Valdez,False,9,50.00
ARCHER,Governor,,DEM,Andrew White,False,9,50.00
ARCHER,Governor,,,Total,,18,
ARMSTRONG,Governor,,DEM,Lupe Valdez,False,0,0.00
ARMSTRONG,Governor,,DEM,Andrew White,False,1,100.00
ARMSTRONG,Governor,,,Total,,1,
ATASCOSA,Governor,,DEM,Lupe Valdez,False,192,66.44
ATASCOSA,Governor,,DEM,Andrew White,False,97,33.56
ATASCOSA,Governor,,,Total,,289,
AUSTIN,U. S. Representative,10,DEM,Mike Siegel,False,114,66.67
AUSTIN,U. S. Representative,10,DEM,Tawana WalterCadien,False,57,33.33
AUSTIN,U. S. Representative,10,,Total,,171,
AUSTIN,Governor,,DEM,Lupe Valdez,False,42,24.00
AUSTIN,Governor,,DEM,Andrew White,False,133,76.00
AUSTIN,Governor,,,Total,,175,
BAILEY,Governor,,DEM,Lupe Valdez,False,16,72.73
BAILEY,Governor,,DEM,Andrew White,False,6,27.27
BAILEY,Governor,,,Total,,22,
BANDERA,U. S. Representative,21,DEM,Joseph Kopser,False,165,61.34
BANDERA,U. S. Representative,21,DEM,Mary Street Wilson,False,104,38.66
BANDERA,U. S. Representative,21,,Total,,269,
BANDERA,Governor,,DEM,Lupe Valdez,False,125,46.47
BANDERA,Governor,,DEM,Andrew White,False,144,53.53
BANDERA,Governor,,,Total,,269,
BASTROP,U. S. Representative,10,DEM,Mike Siegel,False,621,56.20
BASTROP,U. S. Representative,10,DEM,Tawana WalterCadien,False,484,43.80
BASTROP,U. S. Representative,10,,Total,,1105,
BASTROP,U. S. Representative,27,DEM,Raul (Roy) Barrera,False,258,43.43
BASTROP,U. S. Representative,27,DEM,Eric Holguin,False,336,56.57
BASTROP,U. S. Representative,27,,Total,,594,
BASTROP,Governor,,DEM,Lupe Valdez,False,787,45.10
BASTROP,Governor,,DEM,Andrew White,False,958,54.90
BASTROP,Governor,,,Total,,1745,
BAYLOR,Governor,,DEM,Lupe Valdez,False,1,33.33
BAYLOR,Governor,,DEM,Andrew White,False,2,66.67
BAYLOR,Governor,,,Total,,3,
BEE,Governor,,DEM,Lupe Valdez,False,67,62.62
BEE,Governor,,DEM,Andrew White,False,40,37.38
BEE,Governor,,,Total,,107,
BELL,U. S. Representative,25,DEM,Julie Oliver,False,144,40.11
BELL,U. S. Representative,25,DEM,Chris Perri,False,215,59.89
BELL,U. S. Representative,25,,Total,,359,
BELL,U. S. Representative,31,DEM,"Mary Jennings ""MJ"" Hegar",False,2078,71.26
BELL,U. S. Representative,31,DEM,Christine Eady Mann,False,838,28.74
BELL,U. S. Representative,31,,Total,,2916,
BELL,Governor,,DEM,Lupe Valdez,False,1652,50.61
BELL,Governor,,DEM,Andrew White,False,1612,49.39
BELL,Governor,,,Total,,3264,
BEXAR,U. S. Representative,21,DEM,Joseph Kopser,False,4396,60.33
BEXAR,U. S. Representative,21,DEM,Mary Street Wilson,False,2891,39.67
BEXAR,U. S. Representative,21,,Total,,7287,
BEXAR,U. S. Representative,23,DEM,Gina Ortiz Jones,False,4823,85.41
BEXAR,U. S. Representative,23,DEM,Rick Treviño,False,824,14.59
BEXAR,U. S. Representative,23,,Total,,5647,
BEXAR,Governor,,DEM,Lupe Valdez,False,18643,55.24
BEXAR,Governor,,DEM,Andrew White,False,15105,44.76
BEXAR,Governor,,,Total,,33748,
BORDEN,Governor,,DEM,Lupe Valdez,False,0,0.00
BORDEN,Governor,,DEM,Andrew White,False,1,100.00
BORDEN,Governor,,,Total,,1,
BOSQUE,U. S. Representative,25,DEM,Julie Oliver,False,84,55.63
BOSQUE,U. S. Representative,25,DEM,Chris Perri,False,67,44.37
BOSQUE,U. S. Representative,25,,Total,,151,
BOSQUE,Governor,,DEM,Lupe Valdez,False,65,42.21
BOSQUE,Governor,,DEM,Andrew White,False,89,57.79
BOSQUE,Governor,,,Total,,154,
BOWIE,Governor,,DEM,Lupe Valdez,False,197,38.10
BOWIE,Governor,,DEM,Andrew White,False,320,61.90
BOWIE,Governor,,,Total,,517,
BRAZORIA,U. S. Representative,22,DEM,Sri Preston Kulkarni,False,1687,49.81
BRAZORIA,U. S. Representative,22,DEM,Letitia Plummer,False,1700,50.19
BRAZORIA,U. S. Representative,22,,Total,,3387,
BRAZORIA,Governor,,DEM,Lupe Valdez,False,1477,34.01
BRAZORIA,Governor,,DEM,Andrew White,False,2866,65.99
BRAZORIA,Governor,,,Total,,4343,
BRAZORIA,State Senator,17,DEM,Rita Lucido,False,298,45.02
BRAZORIA,State Senator,17,DEM,Fran Watson,False,364,54.98
BRAZORIA,State Senator,17,,Total,,662,
BRAZOS,Governor,,DEM,Lupe Valdez,False,812,52.76
BRAZOS,Governor,,DEM,Andrew White,False,727,47.24
BRAZOS,Governor,,,Total,,1539,
BREWSTER,U. S. Representative,23,DEM,Gina Ortiz Jones,False,448,83.12
BREWSTER,U. S. Representative,23,DEM,Rick Treviño,False,91,16.88
BREWSTER,U. S. Representative,23,,Total,,539,
BREWSTER,Governor,,DEM,Lupe Valdez,False,336,63.28
BREWSTER,Governor,,DEM,Andrew White,False,195,36.72
BREWSTER,Governor,,,Total,,531,
BRISCOE,Governor,,DEM,Lupe Valdez,False,6,54.55
BRISCOE,Governor,,DEM,Andrew White,False,5,45.45
BRISCOE,Governor,,,Total,,11,
BROOKS,Governor,,DEM,Lupe Valdez,False,667,82.65
BROOKS,Governor,,DEM,Andrew White,False,140,17.35
BROOKS,Governor,,,Total,,807,
BROWN,Governor,,DEM,Lupe Valdez,False,40,47.06
BROWN,Governor,,DEM,Andrew White,False,45,52.94
BROWN,Governor,,,Total,,85,
BURLESON,Governor,,DEM,Lupe Valdez,False,62,34.83
BURLESON,Governor,,DEM,Andrew White,False,116,65.17
BURLESON,Governor,,,Total,,178,
BURNET,U. S. Representative,25,DEM,Julie Oliver,False,259,43.60
BURNET,U. S. Representative,25,DEM,Chris Perri,False,335,56.40
BURNET,U. S. Representative,25,,Total,,594,
BURNET,Governor,,DEM,Lupe Valdez,False,206,34.11
BURNET,Governor,,DEM,Andrew White,False,398,65.89
BURNET,Governor,,,Total,,604,
CALDWELL,U. S. Representative,27,DEM,Raul (Roy) Barrera,False,137,47.74
CALDWELL,U. S. Representative,27,DEM,Eric Holguin,False,150,52.26
CALDWELL,U. S. Representative,27,,Total,,287,
CALDWELL,Governor,,DEM,Lupe Valdez,False,324,48.29
CALDWELL,Governor,,DEM,Andrew White,False,347,51.71
CALDWELL,Governor,,,Total,,671,
CALHOUN,U. S. Representative,27,DEM,Raul (Roy) Barrera,False,91,40.09
CALHOUN,U. S. Representative,27,DEM,Eric Holguin,False,136,59.91
CALHOUN,U. S. Representative,27,,Total,,227,
CALHOUN,Governor,,DEM,Lupe Valdez,False,97,42.54
CALHOUN,Governor,,DEM,Andrew White,False,131,57.46
CALHOUN,Governor,,,Total,,228,
CALLAHAN,Governor,,DEM,Lupe Valdez,False,16,45.71
CALLAHAN,Governor,,DEM,Andrew White,False,19,54.29
CALLAHAN,Governor,,,Total,,35,
CAMERON,Governor,,DEM,Lupe Valdez,False,8345,71.89
CAMERON,Governor,,DEM,Andrew White,False,3263,28.11
CAMERON,Governor,,,Total,,11608,
CAMERON,State Representative,37,DEM,Alex Dominguez,False,3289,56.68
CAMERON,State Representative,37,DEM,Rene O. Oliveira,True,2514,43.32
CAMERON,State Representative,37,,Total,,5803,
CAMERON,District Judge,197th Judicial District,DEM,Adolfo Cordova,False,7023,55.96
CAMERON,District Judge,197th Judicial District,DEM,Carlos Masso,False,5527,44.04
CAMERON,District Judge,197th Judicial District,,Total,,12550,
CAMP,Governor,,DEM,Lupe Valdez,False,52,50.49
CAMP,Governor,,DEM,Andrew White,False,51,49.51
CAMP,Governor,,,Total,,103,
CARSON,Governor,,DEM,Lupe Valdez,False,3,23.08
CARSON,Governor,,DEM,Andrew White,False,10,76.92
CARSON,Governor,,,Total,,13,
CASTRO,Governor,,DEM,Lupe Valdez,False,9,47.37
CASTRO,Governor,,DEM,Andrew White,False,10,52.63
CASTRO,Governor,,,Total,,19,
CHAMBERS,Governor,,DEM,Lupe Valdez,False,35,22.15
CHAMBERS,Governor,,DEM,Andrew White,False,123,77.85
CHAMBERS,Governor,,,Total,,158,
CHEROKEE,Governor,,DEM,Lupe Valdez,False,132,46.81
CHEROKEE,Governor,,DEM,Andrew White,False,150,53.19
CHEROKEE,Governor,,,Total,,282,
CHILDRESS,Governor,,DEM,Lupe Valdez,False,1,25.00
CHILDRESS,Governor,,DEM,Andrew White,False,3,75.00
CHILDRESS,Governor,,,Total,,4,
CLAY,Governor,,DEM,Lupe Valdez,False,20,38.46
CLAY,Governor,,DEM,Andrew White,False,32,61.54
CLAY,Governor,,,Total,,52,
COCHRAN,Governor,,DEM,Lupe Valdez,False,5,71.43
COCHRAN,Governor,,DEM,Andrew White,False,2,28.57
COCHRAN,Governor,,,Total,,7,
COKE,Governor,,DEM,Lupe Valdez,False,2,100.00
COKE,Governor,,DEM,Andrew White,False,0,0.00
COKE,Governor,,,Total,,2,
