county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee
Zapata,1,Straight Party,,REP,Republican,99,44,52,3
Zapata,1,Straight Party,,DEM,Democratic,223,108,106,9
Zapata,1,Straight Party,,LIB,Libertarian,3,3,0,0
Zapata,1,U.S. Senate,,REP,Ted Cruz,214,109,98,7
Zapata,1,U.S. Senate,,DEM,Beto O'Rourke,383,188,182,13
Zapata,1,U.S. Senate,,LIB,Neal M. Dikeman,5,4,0,1
Zapata,1,U.S. House,28,DEM,Henry Cuellar,518,262,238,18
Zapata,1,U.S. House,28,LIB,Arthur Thomas IV,25,13,11,1
Zapata,1,Governor,,REP,Greg Abbott,230,124,99,7
Zapata,1,Governor,,DEM,Lupe Valdez,350,162,175,13
Zapata,1,Governor,,LIB,Mark Jay Tippetts,5,3,1,1
Zapata,1,Lieutenant Governor,,REP,Dan Patrick,195,98,91,6
Zapata,1,Lieutenant Governor,,DEM,Mike Collier,364,174,176,14
Zapata,1,Lieutenant Governor,,LIB,Kerry Douglas McKennon,9,6,3,0
Zapata,1,Attorney General,,REP,Ken Paxton,173,85,86,2
Zapata,1,Attorney General,,DEM,Justin Nelson,380,184,181,15
Zapata,1,Attorney General,,LIB,Michael Ray Harris,19,13,4,2
Zapata,1,Comptroller of Public Accounts,,REP,Glenn Hegar,183,89,90,4
Zapata,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,349,169,166,14
Zapata,1,Comptroller of Public Accounts,,LIB,Ben Sanders,32,19,12,1
Zapata,1,"Commissioner of the General
Land Office",,REP,George P. Bush,224,111,109,4
Zapata,1,"Commissioner of the General
Land Office",,DEM,Miguel Suazo,342,163,163,16
Zapata,1,"Commissioner of the General
Land Office",,LIB,Matt Pina,10,9,1,0
Zapata,1,Commissioner of Agriculture,,REP,Sid Miller,177,89,85,3
Zapata,1,Commissioner of Agriculture,,DEM,Kim Olson,371,176,179,16
Zapata,1,Commissioner of Agriculture,,LIB,Richard Carpenter,14,7,6,1
Zapata,1,Railroad Commissioner,,REP,Christi Craddick,180,88,88,4
Zapata,1,Railroad Commissioner,,DEM,Roman McAllen,363,171,177,15
Zapata,1,Railroad Commissioner,,LIB,Mike Wright,12,9,3,0
Zapata,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,186,94,88,4
Zapata,1,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,372,176,181,15
Zapata,1,"Justice, Supreme Court, Place 4",,REP,John Devine,190,94,90,6
Zapata,1,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,366,175,178,13
Zapata,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,192,92,94,6
Zapata,1,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,361,175,172,14
Zapata,1,"Presiding Judge, Court of
Criminal Appeals",,REP,Sharon Keller,176,87,86,3
Zapata,1,"Presiding Judge, Court of
Criminal Appeals",,DEM,Maria T. (Terri) Jackson,380,182,181,17
Zapata,1,"Presiding Judge, Court of
Criminal Appeals",,LIB,William Bryan Strange III,8,5,3,0
Zapata,1,"Judge, Court of Criminal Appeals,
Place 7",,REP,Barbara Parker Hervey,184,89,90,5
Zapata,1,"Judge, Court of Criminal Appeals,
Place 7",,DEM,Ramona Franklin,371,180,177,14
Zapata,1,"Judge, Court of Criminal Appeals,
Place 8",,REP,Michelle Slaughter,243,121,118,4
Zapata,1,"Judge, Court of Criminal Appeals,
Place 8",,LIB,Mark Ash,126,61,58,7
Zapata,1,State Representative,80,DEM,Tracy King,488,235,233,20
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 2",,REP,Marialyn Barnard,178,89,86,3
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 2",,DEM,Beth Watkins,375,177,182,16
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 3",,REP,Jason Pulliam,149,73,74,2
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 3",,DEM,Patricia O'Connell Alvarez,408,195,195,18
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 4",,REP,Patrick Ballantyne,159,78,79,2
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 4",,DEM,Luz Elena Chapa,401,193,190,18
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 5",,REP,Rebecca Simmons,155,77,74,4
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 5",,DEM,Liza Rodriguez,412,199,197,16
Zapata,1,"Justice, 4th Court of Appeals
District, Place No. 7",,REP,Shane Stolarczyk,140,70,68,2
