county,precinct,precinct_name,office,district,party,candidate,votes,election_day,early_voting
Sabine,001,First BC Hemphill,State Senate,3,DEM,Shirley Ann Layton,31,20,11
Sabine,002,Yellowpine BC,State Senate,3,DEM,Shirley Ann Layton,27,9,18
Sabine,003,Pineland VFD,State Senate,3,DEM,Shirley Ann Layton,26,21,5
Sabine,004,Brookeland MBC,State Senate,3,DEM,Shirley Ann Layton,3,3,0
Sabine,005,Bronson FBC,State Senate,3,DEM,Shirley Ann Layton,21,7,14
Sabine,006,Bethany BC,State Senate,3,DEM,Shirley Ann Layton,28,11,17
Sabine,007,Thomas Johnson COC,State Senate,3,DEM,Shirley Ann Layton,8,4,4
Sabine,008,Rosevine COG,State Senate,3,DEM,Shirley Ann Layton,4,1,3
Sabine,001,First BC Hemphill,Governor,,DEM,Adrian Ocegueda,1,0,1
Sabine,001,First BC Hemphill,Governor,,DEM,"Cedric Wayne Davis, Sr.",2,2,0
Sabine,001,First BC Hemphill,Governor,,DEM,Grady Yarbrough,9,3,6
Sabine,001,First BC Hemphill,Governor,,DEM,Guadalupe Valdez,5,2,3
Sabine,001,First BC Hemphill,Governor,,DEM,James Jolly Clark,3,3,0
Sabine,001,First BC Hemphill,Governor,,DEM,Jeffrey Alan Payne,1,1,0
Sabine,001,First BC Hemphill,Governor,,DEM,Joseph William Mumbach,0,0,0
Sabine,001,First BC Hemphill,Governor,,DEM,Robert Andrew  White,12,11,1
Sabine,001,First BC Hemphill,Governor,,DEM,Thomas John Wakely,3,1,2
Sabine,002,Yellowpine BC,Governor,,DEM,Adrian Ocegueda,1,1,0
Sabine,002,Yellowpine BC,Governor,,DEM,"Cedric Wayne Davis, Sr.",2,0,2
Sabine,002,Yellowpine BC,Governor,,DEM,Grady Yarbrough,2,1,1
Sabine,002,Yellowpine BC,Governor,,DEM,Guadalupe Valdez,6,4,2
Sabine,002,Yellowpine BC,Governor,,DEM,James Jolly Clark,4,1,3
Sabine,002,Yellowpine BC,Governor,,DEM,Jeffrey Alan Payne,3,0,3
Sabine,002,Yellowpine BC,Governor,,DEM,Joseph William Mumbach,1,0,1
Sabine,002,Yellowpine BC,Governor,,DEM,Robert Andrew  White,9,5,4
Sabine,002,Yellowpine BC,Governor,,DEM,Thomas John Wakely,1,0,1
Sabine,003,Pineland VFD,Governor,,DEM,Adrian Ocegueda,4,3,1
Sabine,003,Pineland VFD,Governor,,DEM,"Cedric Wayne Davis, Sr.",6,6,0
Sabine,003,Pineland VFD,Governor,,DEM,Grady Yarbrough,4,3,1
Sabine,003,Pineland VFD,Governor,,DEM,Guadalupe Valdez,3,3,0
Sabine,003,Pineland VFD,Governor,,DEM,James Jolly Clark,1,1,0
Sabine,003,Pineland VFD,Governor,,DEM,Jeffrey Alan Payne,2,2,0
Sabine,003,Pineland VFD,Governor,,DEM,Joseph William Mumbach,1,1,0
Sabine,003,Pineland VFD,Governor,,DEM,Robert Andrew  White,10,7,3
Sabine,003,Pineland VFD,Governor,,DEM,Thomas John Wakely,1,1,0
Sabine,004,Brookeland MBC,Governor,,DEM,Adrian Ocegueda,0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,"Cedric Wayne Davis, Sr.",0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,Grady Yarbrough,0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,Guadalupe Valdez,0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,James Jolly Clark,0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,Jeffrey Alan Payne,0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,Joseph William Mumbach,0,0,0
Sabine,004,Brookeland MBC,Governor,,DEM,Robert Andrew  White,3,3,0
