county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting
Polk,1,United States Senator ,,REP,Mary Miller,9,,,
Polk,1,United States Senator ,,REP,Ted Cruz,53,,,
Polk,1,United States Senator ,,REP,"Bruce Jacobson, Jr.",1,,,
Polk,1,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,1,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,2,United States Senator ,,REP,Mary Miller,3,,,
Polk,2,United States Senator ,,REP,Ted Cruz,49,,,
Polk,2,United States Senator ,,REP,"Bruce Jacobson, Jr.",2,,,
Polk,2,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,2,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,3,United States Senator ,,REP,Mary Miller,30,,,
Polk,3,United States Senator ,,REP,Ted Cruz,244,,,
Polk,3,United States Senator ,,REP,"Bruce Jacobson, Jr.",14,,,
Polk,3,United States Senator ,,REP,Geraldine Sam,1,,,
Polk,3,United States Senator ,,REP,Stefano de Stefano,7,,,
Polk,4,United States Senator ,,REP,Mary Miller,44,,,
Polk,4,United States Senator ,,REP,Ted Cruz,266,,,
Polk,4,United States Senator ,,REP,"Bruce Jacobson, Jr.",3,,,
Polk,4,United States Senator ,,REP,Geraldine Sam,3,,,
Polk,4,United States Senator ,,REP,Stefano de Stefano,1,,,
Polk,5,United States Senator ,,REP,Mary Miller,46,,,
Polk,5,United States Senator ,,REP,Ted Cruz,420,,,
Polk,5,United States Senator ,,REP,"Bruce Jacobson, Jr.",12,,,
Polk,5,United States Senator ,,REP,Geraldine Sam,8,,,
Polk,5,United States Senator ,,REP,Stefano de Stefano,8,,,
Polk,6,United States Senator ,,REP,Mary Miller,70,,,
Polk,6,United States Senator ,,REP,Ted Cruz,798,,,
Polk,6,United States Senator ,,REP,"Bruce Jacobson, Jr.",30,,,
Polk,6,United States Senator ,,REP,Geraldine Sam,7,,,
Polk,6,United States Senator ,,REP,Stefano de Stefano,9,,,
Polk,7,United States Senator ,,REP,Mary Miller,13,,,
Polk,7,United States Senator ,,REP,Ted Cruz,121,,,
Polk,7,United States Senator ,,REP,"Bruce Jacobson, Jr.",6,,,
Polk,7,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,7,United States Senator ,,REP,Stefano de Stefano,4,,,
Polk,8,United States Senator ,,REP,Mary Miller,8,,,
Polk,8,United States Senator ,,REP,Ted Cruz,121,,,
Polk,8,United States Senator ,,REP,"Bruce Jacobson, Jr.",4,,,
Polk,8,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,8,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,9,United States Senator ,,REP,Mary Miller,8,,,
Polk,9,United States Senator ,,REP,Ted Cruz,120,,,
Polk,9,United States Senator ,,REP,"Bruce Jacobson, Jr.",3,,,
Polk,9,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,9,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,10,United States Senator ,,REP,Mary Miller,20,,,
Polk,10,United States Senator ,,REP,Ted Cruz,215,,,
Polk,10,United States Senator ,,REP,"Bruce Jacobson, Jr.",11,,,
Polk,10,United States Senator ,,REP,Geraldine Sam,2,,,
Polk,10,United States Senator ,,REP,Stefano de Stefano,2,,,
Polk,11,United States Senator ,,REP,Mary Miller,5,,,
Polk,11,United States Senator ,,REP,Ted Cruz,74,,,
Polk,11,United States Senator ,,REP,"Bruce Jacobson, Jr.",1,,,
Polk,11,United States Senator ,,REP,Geraldine Sam,2,,,
Polk,11,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,12,United States Senator ,,REP,Mary Miller,8,,,
Polk,12,United States Senator ,,REP,Ted Cruz,16,,,
Polk,12,United States Senator ,,REP,"Bruce Jacobson, Jr.",1,,,
Polk,12,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,12,United States Senator ,,REP,Stefano de Stefano,2,,,
Polk,13,United States Senator ,,REP,Mary Miller,5,,,
Polk,13,United States Senator ,,REP,Ted Cruz,72,,,
Polk,13,United States Senator ,,REP,"Bruce Jacobson, Jr.",1,,,
Polk,13,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,13,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,14,United States Senator ,,REP,Mary Miller,11,,,
Polk,14,United States Senator ,,REP,Ted Cruz,124,,,
Polk,14,United States Senator ,,REP,"Bruce Jacobson, Jr.",9,,,
Polk,14,United States Senator ,,REP,Geraldine Sam,0,,,
Polk,14,United States Senator ,,REP,Stefano de Stefano,1,,,
Polk,15,United States Senator ,,REP,Mary Miller,10,,,
Polk,15,United States Senator ,,REP,Ted Cruz,171,,,
Polk,15,United States Senator ,,REP,"Bruce Jacobson, Jr.",4,,,
Polk,15,United States Senator ,,REP,Geraldine Sam,3,,,
Polk,15,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,16,United States Senator ,,REP,Mary Miller,84,,,
Polk,16,United States Senator ,,REP,Ted Cruz,846,,,
Polk,16,United States Senator ,,REP,"Bruce Jacobson, Jr.",21,,,
Polk,16,United States Senator ,,REP,Geraldine Sam,6,,,
Polk,16,United States Senator ,,REP,Stefano de Stefano,15,,,
Polk,17,United States Senator ,,REP,Mary Miller,6,,,
Polk,17,United States Senator ,,REP,Ted Cruz,191,,,
Polk,17,United States Senator ,,REP,"Bruce Jacobson, Jr.",6,,,
Polk,17,United States Senator ,,REP,Geraldine Sam,2,,,
Polk,17,United States Senator ,,REP,Stefano de Stefano,2,,,
Polk,18,United States Senator ,,REP,Mary Miller,3,,,
Polk,18,United States Senator ,,REP,Ted Cruz,38,,,
Polk,18,United States Senator ,,REP,"Bruce Jacobson, Jr.",3,,,
Polk,18,United States Senator ,,REP,Geraldine Sam,3,,,
Polk,18,United States Senator ,,REP,Stefano de Stefano,2,,,
Polk,19,United States Senator ,,REP,Mary Miller,19,,,
Polk,19,United States Senator ,,REP,Ted Cruz,200,,,
Polk,19,United States Senator ,,REP,"Bruce Jacobson, Jr.",2,,,
Polk,19,United States Senator ,,REP,Geraldine Sam,1,,,
Polk,19,United States Senator ,,REP,Stefano de Stefano,0,,,
Polk,20,United States Senator ,,REP,Mary Miller,17,,,
Polk,20,United States Senator ,,REP,Ted Cruz,191,,,
Polk,20,United States Senator ,,REP,"Bruce Jacobson, Jr.",6,,,
Polk,20,United States Senator ,,REP,Geraldine Sam,1,,,
Polk,20,United States Senator ,,REP,Stefano de Stefano,3,,,
Polk,21,United States Senator ,,REP,Mary Miller,21,,,
Polk,21,United States Senator ,,REP,Ted Cruz,193,,,
Polk,21,United States Senator ,,REP,"Bruce Jacobson, Jr.",10,,,
Polk,21,United States Senator ,,REP,Geraldine Sam,3,,,
Polk,21,United States Senator ,,REP,Stefano de Stefano,1,,,
Polk,1,U.S. House,36,REP,Brian Babin,62,,,
Polk,2,U.S. House,36,REP,Brian Babin,50,,,
Polk,3,U.S. House,36,REP,Brian Babin,252,,,
Polk,4,U.S. House,36,REP,Brian Babin,299,,,
Polk,5,U.S. House,36,REP,Brian Babin,448,,,
Polk,6,U.S. House,36,REP,Brian Babin,847,,,
Polk,7,U.S. House,36,REP,Brian Babin,138,,,
Polk,8,U.S. House,36,REP,Brian Babin,128,,,
Polk,9,U.S. House,36,REP,Brian Babin,128,,,
Polk,10,U.S. House,36,REP,Brian Babin,237,,,
Polk,11,U.S. House,36,REP,Brian Babin,70,,,
Polk,12,U.S. House,36,REP,Brian Babin,22,,,
Polk,13,U.S. House,36,REP,Brian Babin,74,,,
Polk,14,U.S. House,36,REP,Brian Babin,135,,,
Polk,15,U.S. House,36,REP,Brian Babin,182,,,
Polk,16,U.S. House,36,REP,Brian Babin,904,,,
Polk,17,U.S. House,36,REP,Brian Babin,201,,,
Polk,18,U.S. House,36,REP,Brian Babin,41,,,
Polk,19,U.S. House,36,REP,Brian Babin,204,,,
Polk,20,U.S. House,36,REP,Brian Babin,204,,,
Polk,21,U.S. House,36,REP,Brian Babin,211,,,
Polk,1,Governor ,,REP,Barbara Krueger,1,,,
Polk,1,Governor ,,REP,SECEDE Kilgore,0,,,
Polk,1,Governor ,,REP,Greg Abbott,66,,,
Polk,2,Governor ,,REP,Barbara Krueger,3,,,
Polk,2,Governor ,,REP,SECEDE Kilgore,0,,,
Polk,2,Governor ,,REP,Greg Abbott,51,,,
Polk,3,Governor ,,REP,Barbara Krueger,30,,,
Polk,3,Governor ,,REP,SECEDE Kilgore,7,,,
Polk,3,Governor ,,REP,Greg Abbott,262,,,
Polk,4,Governor ,,REP,Barbara Krueger,27,,,
Polk,4,Governor ,,REP,SECEDE Kilgore,7,,,
Polk,4,Governor ,,REP,Greg Abbott,282,,,
Polk,5,Governor ,,REP,Barbara Krueger,40,,,
Polk,5,Governor ,,REP,SECEDE Kilgore,5,,,
Polk,5,Governor ,,REP,Greg Abbott,439,,,
Polk,6,Governor ,,REP,Barbara Krueger,62,,,
Polk,6,Governor ,,REP,SECEDE Kilgore,13,,,
Polk,6,Governor ,,REP,Greg Abbott,846,,,
Polk,7,Governor ,,REP,Barbara Krueger,14,,,
Polk,7,Governor ,,REP,SECEDE Kilgore,2,,,
Polk,7,Governor ,,REP,Greg Abbott,129,,,
Polk,8,Governor ,,REP,Barbara Krueger,6,,,
Polk,8,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,8,Governor ,,REP,Greg Abbott,124,,,
Polk,9,Governor ,,REP,Barbara Krueger,4,,,
Polk,9,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,9,Governor ,,REP,Greg Abbott,126,,,
Polk,10,Governor ,,REP,Barbara Krueger,20,,,
Polk,10,Governor ,,REP,SECEDE Kilgore,4,,,
Polk,10,Governor ,,REP,Greg Abbott,216,,,
Polk,11,Governor ,,REP,Barbara Krueger,4,,,
Polk,11,Governor ,,REP,SECEDE Kilgore,0,,,
Polk,11,Governor ,,REP,Greg Abbott,79,,,
Polk,12,Governor ,,REP,Barbara Krueger,10,,,
Polk,12,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,12,Governor ,,REP,Greg Abbott,14,,,
Polk,13,Governor ,,REP,Barbara Krueger,4,,,
Polk,13,Governor ,,REP,SECEDE Kilgore,0,,,
Polk,13,Governor ,,REP,Greg Abbott,73,,,
Polk,14,Governor ,,REP,Barbara Krueger,11,,,
Polk,14,Governor ,,REP,SECEDE Kilgore,2,,,
Polk,14,Governor ,,REP,Greg Abbott,127,,,
Polk,15,Governor ,,REP,Barbara Krueger,7,,,
Polk,15,Governor ,,REP,SECEDE Kilgore,1,,,
Polk,15,Governor ,,REP,Greg Abbott,183,,,
