county,precinct,office,district,party,candidate,votes,election_day,early_voting,mail,provisional
Van Zandt,1A,Ballots Cast,,,Total,490,184,256,49,1
Van Zandt,1A,Ballots Cast,,REP,,462,170,245,46,1
Van Zandt,1A,Ballots Cast,,DEM,,28,14,11,3,0
Van Zandt,1A,U.S. Senate,,,"Bruce Jacobson, Jr.",15,2,9,4,0
Van Zandt,1A,U.S. Senate,,,Geraldine Sam,5,3,2,0,0
Van Zandt,1A,U.S. Senate,,,Ted Cruz,376,132,208,35,1
Van Zandt,1A,U.S. Senate,,,Stefano de Stefano,8,5,2,1,0
Van Zandt,1A,U.S. Senate,,,Mary Miller,26,13,10,3,0
Van Zandt,1A,U.S. House,5,,Bunni Pounds,82,32,41,9,0
Van Zandt,1A,U.S. House,5,,Charles Lingerfelt,0,0,0,0,0
Van Zandt,1A,U.S. House,5,,David Williams,6,2,2,2,0
Van Zandt,1A,U.S. House,5,,Danny Campbell,5,1,4,0,0
Van Zandt,1A,U.S. House,5,,Sam Deen,267,94,149,23,1
Van Zandt,1A,U.S. House,5,,Earl Brunner,0,0,0,0,0
Van Zandt,1A,U.S. House,5,,Kenneth Sheets,10,7,2,1,0
Van Zandt,1A,U.S. House,5,,Lance Gooden,51,12,31,8,0
Van Zandt,1A,U.S. House,5,,Jason Wright,26,11,14,1,0
Van Zandt,1A,Governor,,,SECEDE Kilgore,5,4,1,0,0
Van Zandt,1A,Governor,,,Barbara Krueger,31,14,17,0,0
Van Zandt,1A,Governor,,,Greg Abbott,403,146,210,46,1
Van Zandt,1A,Lieutenant Governor,,,Scott Milder,135,44,85,6,0
Van Zandt,1A,Lieutenant Governor,,,Dan Patrick,306,113,153,39,1
Van Zandt,1A,Attorney General,,,Ken Paxton,365,134,190,40,1
Van Zandt,1A,Comptroller of Public Accounts,,,Glenn Hegar,335,117,180,37,1
Van Zandt,1A,Commissioner of the General Land Office,,,Davey Edwards,29,7,17,5,0
Van Zandt,1A,Commissioner of the General Land Office,,,Rick Range,24,10,13,1,0
Van Zandt,1A,Commissioner of the General Land Office,,,Jerry Patterson,111,41,56,14,0
Van Zandt,1A,Commissioner of the General Land Office,,,George P. Bush,238,87,129,22,0
Van Zandt,1A,Commissioner of Agriculture,,,Trey Blocker,63,13,46,4,0
Van Zandt,1A,Commissioner of Agriculture,,,Sid Miller,255,91,132,31,1
Van Zandt,1A,Commissioner of Agriculture,,,Jim Hogan,68,32,29,7,0
Van Zandt,1A,Railroad Commissioner,,,Christi Craddick,257,92,129,36,0
Van Zandt,1A,Railroad Commissioner,,,Weston Martinez,122,43,74,4,1
Van Zandt,1A,State Senate,2,,Bob Hall,250,91,122,36,1
Van Zandt,1A,State Senate,2,,Cindy Burkett,191,68,115,8,0
Van Zandt,1A,State Representative,2,,Dan Flynn,235,75,141,19,0
Van Zandt,1A,State Representative,2,,Bryan Slaton,216,87,101,27,1
Van Zandt,1B,Ballots Cast,,,Total,812,517,221,72,2
Van Zandt,1B,Ballots Cast,,REP,,766,488,216,60,2
Van Zandt,1B,Ballots Cast,,DEM,,46,29,5,12,0
Van Zandt,1B,U.S. Senate,,,"Bruce Jacobson, Jr.",48,32,10,6,0
Van Zandt,1B,U.S. Senate,,,Geraldine Sam,6,4,2,0,0
Van Zandt,1B,U.S. Senate,,,Ted Cruz,616,396,172,46,2
Van Zandt,1B,U.S. Senate,,,Stefano de Stefano,24,8,12,4,0
Van Zandt,1B,U.S. Senate,,,Mary Miller,41,26,13,2,0
Van Zandt,1B,U.S. House,5,,Bunni Pounds,144,89,45,9,1
Van Zandt,1B,U.S. House,5,,Charles Lingerfelt,10,9,1,0,0
Van Zandt,1B,U.S. House,5,,David Williams,22,19,3,0,0
Van Zandt,1B,U.S. House,5,,Danny Campbell,17,16,1,0,0
Van Zandt,1B,U.S. House,5,,Sam Deen,299,203,82,13,1
Van Zandt,1B,U.S. House,5,,Earl Brunner,4,3,1,0,0
Van Zandt,1B,U.S. House,5,,Kenneth Sheets,48,19,12,17,0
Van Zandt,1B,U.S. House,5,,Lance Gooden,104,56,33,15,0
Van Zandt,1B,U.S. House,5,,Jason Wright,64,35,27,2,0
Van Zandt,1B,Governor,,,SECEDE Kilgore,11,7,1,3,0
Van Zandt,1B,Governor,,,Barbara Krueger,70,45,23,2,0
Van Zandt,1B,Governor,,,Greg Abbott,644,413,175,54,2
Van Zandt,1B,Lieutenant Governor,,,Scott Milder,274,181,76,17,0
Van Zandt,1B,Lieutenant Governor,,,Dan Patrick,464,287,133,42,2
Van Zandt,1B,Attorney General,,,Ken Paxton,575,379,148,46,2
Van Zandt,1B,Comptroller of Public Accounts,,,Glenn Hegar,517,341,133,42,1
Van Zandt,1B,Commissioner of the General Land Office,,,Davey Edwards,69,46,21,2,0
Van Zandt,1B,Commissioner of the General Land Office,,,Rick Range,52,36,15,1,0
Van Zandt,1B,Commissioner of the General Land Office,,,Jerry Patterson,151,84,50,16,1
Van Zandt,1B,Commissioner of the General Land Office,,,George P. Bush,418,267,111,39,1
Van Zandt,1B,Commissioner of Agriculture,,,Trey Blocker,125,83,31,9,2
Van Zandt,1B,Commissioner of Agriculture,,,Sid Miller,393,243,120,30,0
Van Zandt,1B,Commissioner of Agriculture,,,Jim Hogan,133,89,32,12,0
Van Zandt,1B,Railroad Commissioner,,,Christi Craddick,450,290,113,45,2
Van Zandt,1B,Railroad Commissioner,,,Weston Martinez,195,122,65,8,0
Van Zandt,1B,State Senate,2,,Bob Hall,386,241,115,29,1
Van Zandt,1B,State Senate,2,,Cindy Burkett,349,228,90,30,1
Van Zandt,1B,State Representative,2,,Dan Flynn,379,266,83,28,2
Van Zandt,1B,State Representative,2,,Bryan Slaton,355,195,128,32,0
Van Zandt,1C,Ballots Cast,,,Total,456,311,122,20,3
Van Zandt,1C,Ballots Cast,,REP,,431,295,116,17,3
Van Zandt,1C,Ballots Cast,,DEM,,25,16,6,3,0
Van Zandt,1C,U.S. Senate,,,"Bruce Jacobson, Jr.",19,12,6,1,0
Van Zandt,1C,U.S. Senate,,,Geraldine Sam,5,2,2,1,0
Van Zandt,1C,U.S. Senate,,,Ted Cruz,368,256,94,15,3
Van Zandt,1C,U.S. Senate,,,Stefano de Stefano,6,2,4,0,0
Van Zandt,1C,U.S. Senate,,,Mary Miller,11,7,4,0,0
Van Zandt,1C,U.S. House,5,,Bunni Pounds,98,68,24,6,0
Van Zandt,1C,U.S. House,5,,Charles Lingerfelt,2,2,0,0,0
Van Zandt,1C,U.S. House,5,,David Williams,16,13,2,1,0
Van Zandt,1C,U.S. House,5,,Danny Campbell,7,6,1,0,0
Van Zandt,1C,U.S. House,5,,Sam Deen,173,116,53,3,1
Van Zandt,1C,U.S. House,5,,Earl Brunner,4,3,1,0,0
Van Zandt,1C,U.S. House,5,,Kenneth Sheets,7,6,1,0,0
Van Zandt,1C,U.S. House,5,,Lance Gooden,49,34,11,4,0
Van Zandt,1C,U.S. House,5,,Jason Wright,32,18,12,2,0
Van Zandt,1C,Governor,,,SECEDE Kilgore,1,1,0,0,0
Van Zandt,1C,Governor,,,Barbara Krueger,27,16,10,0,1
Van Zandt,1C,Governor,,,Greg Abbott,373,261,93,17,2
Van Zandt,1C,Lieutenant Governor,,,Scott Milder,166,112,52,1,1
Van Zandt,1C,Lieutenant Governor,,,Dan Patrick,251,172,62,15,2
Van Zandt,1C,Attorney General,,,Ken Paxton,331,229,87,12,3
Van Zandt,1C,Comptroller of Public Accounts,,,Glenn Hegar,308,215,77,13,3
Van Zandt,1C,Commissioner of the General Land Office,,,Davey Edwards,37,23,13,1,0
Van Zandt,1C,Commissioner of the General Land Office,,,Rick Range,26,16,8,2,0
Van Zandt,1C,Commissioner of the General Land Office,,,Jerry Patterson,95,60,31,4,0
Van Zandt,1C,Commissioner of the General Land Office,,,George P. Bush,228,168,47,10,3
Van Zandt,1C,Commissioner of Agriculture,,,Trey Blocker,68,43,21,4,0
Van Zandt,1C,Commissioner of Agriculture,,,Sid Miller,237,162,62,10,3
Van Zandt,1C,Commissioner of Agriculture,,,Jim Hogan,50,36,13,1,0
Van Zandt,1C,Railroad Commissioner,,,Christi Craddick,236,170,52,11,3
Van Zandt,1C,Railroad Commissioner,,,Weston Martinez,108,66,37,5,0
Van Zandt,1C,State Senate,2,,Bob Hall,196,131,54,9,2
Van Zandt,1C,State Senate,2,,Cindy Burkett,216,149,58,8,1
Van Zandt,1C,State Representative,2,,Dan Flynn,248,173,65,7,3
Van Zandt,1C,State Representative,2,,Bryan Slaton,171,112,49,10,0
Van Zandt,1D,Ballots Cast,,,Total,353,247,88,18,0
Van Zandt,1D,Ballots Cast,,REP,,339,235,86,18,0
Van Zandt,1D,Ballots Cast,,DEM,,14,12,2,0,0
Van Zandt,1D,U.S. Senate,,,"Bruce Jacobson, Jr.",20,16,4,0,0
Van Zandt,1D,U.S. Senate,,,Geraldine Sam,3,3,0,0,0
Van Zandt,1D,U.S. Senate,,,Ted Cruz,263,178,68,17,0
Van Zandt,1D,U.S. Senate,,,Stefano de Stefano,8,4,4,0,0
Van Zandt,1D,U.S. Senate,,,Mary Miller,29,21,7,1,0
Van Zandt,1D,U.S. House,5,,Bunni Pounds,61,30,21,10,0
Van Zandt,1D,U.S. House,5,,Charles Lingerfelt,8,2,5,1,0
