county,precinct,office,district,party,candidate,votes,early_votes,election_day,absentee
Young,5,Straight Party,,REP,Republican,1104,774,214,116
Young,5,Straight Party,,DEM,Democratic,140,70,45,25
Young,5,Straight Party,,LIB,Libertarian,7,4,3,0
Young,5,U.S. Senate,,REP,Ted Cruz,1423,1001,274,148
Young,5,U.S. Senate,,DEM,Beto O'Rourke,246,132,78,36
Young,5,U.S. Senate,,LIB,Neal M. Dikeman,7,2,4,1
Young,5,U.S. House,19,REP,Jodey Arrington,1444,1007,289,148
Young,5,U.S. House,19,DEM,Miguel Levario,223,121,65,37
Young,5,Governor,,REP,Greg Abbott,1438,1006,282,150
Young,5,Governor,,DEM,Lupe Valdez,214,119,59,36
Young,5,Governor,,LIB,Mark Jay Tippetts,26,13,13,0
Young,5,Lieutenant Governor,,REP,Dan Patrick,1361,953,263,145
Young,5,Lieutenant Governor,,DEM,Mike Collier,276,159,79,38
Young,5,Lieutenant Governor,,LIB,Kerry Douglas McKennon,34,21,11,2
Young,5,Attorney General,,REP,Ken Paxton,1396,981,272,143
Young,5,Attorney General,,DEM,Justin Nelson,243,133,71,39
Young,5,Attorney General,,LIB,Michael Ray Harris,26,15,9,2
Young,5,Comptroller of Public Accounts,,REP,Glenn Hegar,1420,999,276,145
Young,5,Comptroller of Public Accounts,,DEM,Joi Chevalier,199,112,52,35
Young,5,Comptroller of Public Accounts,,LIB,Ben Sanders,41,18,22,1
Young,5,Commissioner of the General Land Office,,REP,George P. Bush,1399,970,282,147
Young,5,Commissioner of the General Land Office,,DEM,Miguel Suazo,224,127,62,35
Young,5,Commissioner of the General Land Office,,LIB,Matt Pia,44,34,8,2
Young,5,Commissioner of Agriculture,,REP,Sid Miller,1390,979,271,140
Young,5,Commissioner of Agriculture,,DEM,Kim Olson,240,130,71,39
Young,5,Commissioner of Agriculture,,LIB,Richard Carpenter,28,16,10,2
Young,5,Railroad Commissioner,,REP,Christi Craddick,1421,996,280,145
Young,5,Railroad Commissioner,,DEM,Roman McAllen,213,113,65,35
Young,5,Railroad Commissioner,,LIB,Mike Wright,26,17,7,2
Young,5,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,1432,1005,282,145
Young,5,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,227,123,68,36
Young,5,"Justice, Supreme Court, Place 4",,REP,John Devine,1427,1002,278,147
Young,5,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,229,121,74,34
Young,5,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,1429,1002,284,143
Young,5,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,229,124,67,38
Young,5,"Presiding Judge, Court of Criminal Appeals",,REP,Sharon Keller,1419,1000,273,146
Young,5,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,214,111,69,34
Young,5,"Presiding Judge, Court of Criminal Appeals",,LIB,William Bryan Strange III,25,16,8,1
Young,5,"Judge, Court of Criminal Appeals, Place 7",,REP,Barbara Parker Hervey,1433,1008,279,146
Young,5,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,222,118,69,35
Young,5,"Judge, Court of Criminal Appeals, Place 8",,REP,Michelle Slaughter,1441,1004,291,146
Young,5,"Judge, Court of Criminal Appeals, Place 8",,LIB,Mark Ash,111,65,38,8
