county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_voting,absentee
El Paso,1,U.S. Senate,,REP,Mary Miller,2,2,0,0,0
El Paso,1,U.S. Senate,,REP,Stefano De Stefano,1,1,0,0,0
El Paso,1,U.S. Senate,,REP,Ted Cruz,52,29,0,21,2
El Paso,1,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
El Paso,1,U.S. Senate,,REP,Bruce Jacobson Jr,3,1,0,2,0
El Paso,1,U.S. House,16,REP,Alia Garcia-Ureste,28,13,0,15,0
El Paso,1,U.S. House,16,REP,Rick Seeberger,27,16,0,9,2
El Paso,1,Governor,,REP,Greg Abbott,52,30,0,20,2
El Paso,1,Governor,,REP,Barbara Krueger,5,2,0,3,0
El Paso,1,Governor,,REP,Secede Kilgore,1,0,0,1,0
El Paso,1,Lieutenant Governor,,REP,Dan Patrick,47,26,0,19,2
El Paso,1,Lieutenant Governor,,REP,Scott Milder,9,6,0,3,0
El Paso,1,Attorney General,,REP,Ken Paxton,50,29,0,21,0
El Paso,1,Comptroller Of Public Accounts,,REP,Glenn Hegar,48,28,0,20,0
El Paso,1,Commissioner Of General Land Office,,REP,Jerry Patterson,7,3,0,4,0
El Paso,1,Commissioner Of General Land Office,,REP,Rick Range,6,4,0,2,0
El Paso,1,Commissioner Of General Land Office,,REP,Davey Edwards,4,3,0,1,0
El Paso,1,Commissioner Of General Land Office,,REP,George P Bush,38,22,0,16,0
El Paso,1,Commissioner Of Agriculture,,REP,Trey Blocker,13,5,0,8,0
El Paso,1,Commissioner Of Agriculture,,REP,Jim Hogan,21,14,0,7,0
El Paso,1,Commissioner Of Agriculture,,REP,Sid Miller,16,9,0,7,0
El Paso,1,Railroad Commissioner,,REP,Christi Craddick,37,20,0,17,0
El Paso,1,Railroad Commissioner,,REP,Weston Martinez,14,8,0,6,0
El Paso,1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,44,25,0,19,0
El Paso,1,"Justice, Supreme Court, Place 4",,REP,John Devine,43,23,0,20,0
El Paso,1,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,43,23,0,20,0
El Paso,1,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,31,17,0,13,1
El Paso,1,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,20,10,0,10,0
El Paso,1,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,44,24,0,19,1
El Paso,1,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,17,13,0,4,0
El Paso,1,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,25,11,0,13,1
El Paso,1,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,9,3,0,6,0
El Paso,1,State Representative,78,REP,Jeffrey Lane,40,22,0,18,0
El Paso,1,County Commissioner 4,,REP,Andrew R Haggerty,41,24,0,17,0
El Paso,1,Justice Of The Peace 7,,REP,Crystal Urquidi,13,8,0,5,0
El Paso,1,Justice Of The Peace 7,,REP,Ida Gardner,23,10,0,13,0
El Paso,1,Justice Of The Peace 7,,REP,Kelly Dickson,18,12,0,4,2
El Paso,1,County Chairman,,REP,Adolpho R Telles,41,23,0,18,0
El Paso,1,Proposition 1,,REP,For (A Favor),41,25,0,14,2
El Paso,1,Proposition 1,,REP,Against (En Contra),18,8,0,10,0
El Paso,1,Proposition 2,,REP,For (A Favor),49,27,0,20,2
El Paso,1,Proposition 2,,REP,Against (En Contra),11,6,0,5,0
El Paso,1,Proposition 3,,REP,For (A Favor),51,29,0,20,2
El Paso,1,Proposition 3,,REP,Against (En Contra),8,4,0,4,0
El Paso,1,Proposition 4,,REP,For (A Favor),58,33,0,23,2
El Paso,1,Proposition 4,,REP,Against (En Contra),3,1,0,2,0
El Paso,1,Proposition 5,,REP,For (A Favor),50,28,0,20,2
El Paso,1,Proposition 5,,REP,Against (En Contra),10,6,0,4,0
El Paso,1,Proposition 6,,REP,For (A Favor),60,33,0,25,2
El Paso,1,Proposition 6,,REP,Against (En Contra),1,1,0,0,0
El Paso,1,Proposition 7,,REP,For (A Favor),44,26,0,18,0
El Paso,1,Proposition 7,,REP,Against (En Contra),15,7,0,6,2
El Paso,1,Proposition 8,,REP,For (A Favor),59,33,0,24,2
El Paso,1,Proposition 8,,REP,Against (En Contra),1,1,0,0,0
El Paso,1,Proposition 9,,REP,For (A Favor),54,32,0,20,2
El Paso,1,Proposition 9,,REP,Against (En Contra),6,2,0,4,0
El Paso,1,Proposition 10,,REP,For (A Favor),57,32,0,23,2
El Paso,1,Proposition 10,,REP,Against (En Contra),2,1,0,1,0
El Paso,1,Proposition 11,,REP,For (A Favor),52,28,0,22,2
El Paso,1,Proposition 11,,REP,Against (En Contra),8,6,0,2,0
El Paso,1,U.S. Senate,,DEM,Sema Hernandez,6,4,0,2,0
El Paso,1,U.S. Senate,,DEM,Beto O'Rourke,145,91,3,41,10
El Paso,1,U.S. Senate,,DEM,Edward Kimbrough,8,4,0,4,0
El Paso,1,U.S. House,16,DEM,Dori Fenenbock,39,29,0,8,2
El Paso,1,U.S. House,16,DEM,Veronica Escobar,110,64,3,35,8
El Paso,1,U.S. House,16,DEM,Norma Chavez,5,5,0,0,0
El Paso,1,U.S. House,16,DEM,John Carrillo,1,1,0,0,0
El Paso,1,U.S. House,16,DEM,Jerome Tilghman,4,1,0,3,0
El Paso,1,U.S. House,16,DEM,Enrique Garcia,4,1,0,3,0
El Paso,1,Governor,,DEM,Lupe Valdez,71,42,1,23,5
El Paso,1,Governor,,DEM,Adrian Ocegueda,12,7,0,2,3
El Paso,1,Governor,,DEM,Jeffrey Payne,5,3,0,2,0
El Paso,1,Governor,,DEM,James Jolly Clark,7,4,0,2,1
El Paso,1,Governor,,DEM,Joe Mumbach,5,5,0,0,0
El Paso,1,Governor,,DEM,Grady Yarbrough,10,7,1,2,0
El Paso,1,Governor,,DEM,Cedric Davis Sr,5,3,0,2,0
El Paso,1,Governor,,DEM,Andrew White,23,13,1,8,1
El Paso,1,Governor,,DEM,Tom Wakely,3,1,0,2,0
El Paso,1,Lieutenant Governor,,DEM,Michael Cooper,85,55,2,23,5
El Paso,1,Lieutenant Governor,,DEM,Mike Collier,47,24,0,18,5
El Paso,1,Attorney General,,DEM,Justin Nelson,112,65,2,35,10
El Paso,1,Comptroller Of Public Accounts,,DEM,Joi Chevalier,63,37,1,20,5
El Paso,1,Comptroller Of Public Accounts,,DEM,Tim Mahoney,64,38,1,20,5
El Paso,1,Commissioner Of General Land Office,,DEM,Miguel Suazo,96,57,2,28,9
El Paso,1,Commissioner Of General Land Office,,DEM,Tex Morgan,34,19,0,14,1
El Paso,1,Commissioner Of Agriculture,,DEM,Kim Olson,111,63,2,36,10
El Paso,1,Railroad Commissioner,,DEM,Roman Mcallen,81,50,1,21,9
El Paso,1,Railroad Commissioner,,DEM,Chris Spellmon,47,24,1,21,1
El Paso,1,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,108,64,2,32,10
El Paso,1,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,109,64,2,34,9
El Paso,1,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,109,65,2,33,9
El Paso,1,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,110,63,2,36,9
El Paso,1,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,114,69,2,34,9
El Paso,1,State Representative,78,DEM,Joe Moody,120,75,2,34,9
El Paso,1,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,112,69,2,32,9
El Paso,1,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,103,64,2,28,9
El Paso,1,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,110,69,2,30,9
El Paso,1,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,110,66,2,33,9
El Paso,1,District Judge 171st Judicial District,,DEM,Bonnie Rangel,106,64,2,31,9
El Paso,1,District Judge 205th Judicial District,,DEM,Francisco X Domingue,104,63,2,30,9
El Paso,1,District Judge 210th Judicial District,,DEM,Alyssa G Perez,98,64,1,28,5
El Paso,1,District Judge 210th Judicial District,,DEM,Monique Velarde,38,20,1,13,4
El Paso,1,District Judge 243rd Judicial District,,DEM,Selena Solis,60,40,1,15,4
El Paso,1,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,14,8,0,6,0
El Paso,1,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,27,14,0,11,2
El Paso,1,District Judge 243rd Judicial District,,DEM,Luis Aguilar,37,23,1,10,3
El Paso,1,District Judge 327th Judicial District,,DEM,Linda Yee Chew,106,64,2,31,9
El Paso,1,El Paso County Judge,,DEM,Ricardo Samaniego,45,31,1,10,3
El Paso,1,El Paso County Judge,,DEM,John Cook,73,45,0,26,2
El Paso,1,El Paso County Judge,,DEM,Laura Enriquez,35,20,1,11,3
El Paso,1,Judge County Court At Law 1,,DEM,Ruth Reyes,80,50,1,24,5
El Paso,1,Judge County Court At Law 1,,DEM,Ruben Nunez,63,38,1,19,5
El Paso,1,Judge County Court At Law 2,,DEM,Julie Gonzalez,111,67,2,33,9
El Paso,1,Judge County Court At Law 3,,DEM,Javier Alvarez,107,64,2,34,7
El Paso,1,Judge County Court At Law 4,,DEM,Alex Gonzalez,108,66,2,33,7
El Paso,1,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,52,29,1,17,5
El Paso,1,Judge County Court At Law 5,,DEM,Jesus Rodriguez,33,26,0,7,0
El Paso,1,Judge County Court At Law 5,,DEM,Mike Herrera,34,21,1,12,0
El Paso,1,Judge County Court At Law 5,,DEM,Danny Razo,17,9,0,6,2
El Paso,1,Judge County Court At Law 6,,DEM,M Sue Kurita,102,62,2,31,7
El Paso,1,Judge County Court At Law 7,,DEM,Patsy Lopez,74,46,1,23,4
El Paso,1,Judge County Court At Law 7,,DEM,Ruben Morales,56,36,1,16,3
El Paso,1,Judge County Criminal Court 1,,DEM,Alma Trejo,106,65,2,32,7
El Paso,1,Judge County Criminal Court 2,,DEM,Robert S Anchondo,104,63,2,32,7
El Paso,1,Judge County Probate Court 1,,DEM,Patricia B Chew,79,51,2,21,5
El Paso,1,Judge County Probate Court 1,,DEM,Darron Powell,52,29,0,21,2
El Paso,1,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,106,67,2,30,7
El Paso,1,District Clerk,,DEM,Norma Favela Barcele,108,67,2,32,7
El Paso,1,County Clerk,,DEM,Delia Briones,108,68,2,31,7
El Paso,1,County Commissioner 4,,DEM,Carl L Robinson,102,64,2,29,7
El Paso,1,Justice Of The Peace 7,,DEM,Stephanie Frietze,95,61,1,28,5
El Paso,1,Justice Of The Peace 7,,DEM,James W Wolff,31,16,1,12,2
El Paso,1,County Chairman,,DEM,Iliana Holguin,109,67,2,32,8
El Paso,1,Referendum 1,,DEM,For (A Favor),143,89,2,45,7
El Paso,1,Referendum 1,,DEM,Against (En Contra),12,6,0,5,1
El Paso,1,Referendum 2,,DEM,For (A Favor),144,90,2,44,8
El Paso,1,Referendum 2,,DEM,Against (En Contra),11,6,0,5,0
El Paso,1,Referendum 3,,DEM,For (A Favor),138,88,2,41,7
El Paso,1,Referendum 3,,DEM,Against (En Contra),16,7,0,8,1
El Paso,1,Referendum 4,,DEM,For (A Favor),142,88,2,44,8
El Paso,1,Referendum 4,,DEM,Against (En Contra),13,7,0,6,0
El Paso,1,Referendum 5,,DEM,For (A Favor),130,82,1,40,7
El Paso,1,Referendum 5,,DEM,Against (En Contra),20,10,1,8,1
El Paso,1,Referendum 6,,DEM,For (A Favor),152,95,2,47,8
El Paso,1,Referendum 6,,DEM,Against (En Contra),5,2,0,3,0
El Paso,1,Referendum 7,,DEM,For (A Favor),146,91,2,45,8
El Paso,1,Referendum 7,,DEM,Against (En Contra),10,5,0,5,0
El Paso,1,Referendum 8,,DEM,For (A Favor),133,78,2,44,9
El Paso,1,Referendum 8,,DEM,Against (En Contra),23,16,0,6,1
El Paso,1,Referendum 9,,DEM,For (A Favor),131,78,2,42,9
El Paso,1,Referendum 9,,DEM,Against (En Contra),23,15,0,7,1
El Paso,1,Referendum 10,,DEM,For (A Favor),145,88,2,45,10
El Paso,1,Referendum 10,,DEM,Against (En Contra),9,4,0,5,0
El Paso,1,Referendum 11,,DEM,For (A Favor),136,81,2,44,9
El Paso,1,Referendum 11,,DEM,Against (En Contra),17,10,0,6,1
El Paso,1,Referendum 12,,DEM,For (A Favor),139,82,2,45,10
El Paso,1,Referendum 12,,DEM,Against (En Contra),11,6,0,5,0
El Paso,2,U.S. Senate,,REP,Mary Miller,5,2,0,3,0
El Paso,2,U.S. Senate,,REP,Stefano De Stefano,3,0,0,3,0
El Paso,2,U.S. Senate,,REP,Ted Cruz,55,22,0,33,0
El Paso,2,U.S. Senate,,REP,Geraldine Sam,2,1,0,1,0
El Paso,2,U.S. Senate,,REP,Bruce Jacobson Jr,2,0,0,2,0
El Paso,2,U.S. House,16,REP,Alia Garcia-Ureste,23,11,0,12,0
El Paso,2,U.S. House,16,REP,Rick Seeberger,38,11,0,27,0
El Paso,2,Governor,,REP,Greg Abbott,52,18,0,34,0
El Paso,2,Governor,,REP,Barbara Krueger,10,4,0,6,0
El Paso,2,Governor,,REP,Secede Kilgore,4,1,0,3,0
El Paso,2,Lieutenant Governor,,REP,Dan Patrick,50,17,0,33,0
El Paso,2,Lieutenant Governor,,REP,Scott Milder,14,7,0,7,0
El Paso,2,Attorney General,,REP,Ken Paxton,56,22,0,34,0
El Paso,2,Comptroller Of Public Accounts,,REP,Glenn Hegar,49,19,0,30,0
El Paso,2,Commissioner Of General Land Office,,REP,Jerry Patterson,16,7,0,9,0
El Paso,2,Commissioner Of General Land Office,,REP,Rick Range,7,1,0,6,0
El Paso,2,Commissioner Of General Land Office,,REP,Davey Edwards,2,0,0,2,0
El Paso,2,Commissioner Of General Land Office,,REP,George P Bush,39,15,0,24,0
El Paso,2,Commissioner Of Agriculture,,REP,Trey Blocker,14,5,0,9,0
El Paso,2,Commissioner Of Agriculture,,REP,Jim Hogan,26,8,0,18,0
El Paso,2,Commissioner Of Agriculture,,REP,Sid Miller,21,10,0,11,0
El Paso,2,Railroad Commissioner,,REP,Christi Craddick,27,11,0,16,0
El Paso,2,Railroad Commissioner,,REP,Weston Martinez,32,11,0,21,0
El Paso,2,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,50,19,0,31,0
El Paso,2,"Justice, Supreme Court, Place 4",,REP,John Devine,51,19,0,32,0
El Paso,2,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,51,19,0,32,0
El Paso,2,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,32,10,0,22,0
El Paso,2,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,25,11,0,14,0
El Paso,2,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,49,18,0,31,0
El Paso,2,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,23,7,0,16,0
El Paso,2,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,33,15,0,18,0
El Paso,2,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,4,1,0,3,0
El Paso,2,State Representative,78,REP,Jeffrey Lane,47,17,0,30,0
El Paso,2,County Commissioner 4,,REP,Andrew R Haggerty,50,18,0,32,0
El Paso,2,Justice Of The Peace 7,,REP,Crystal Urquidi,9,3,0,6,0
El Paso,2,Justice Of The Peace 7,,REP,Ida Gardner,44,15,0,29,0
El Paso,2,Justice Of The Peace 7,,REP,Kelly Dickson,15,6,0,9,0
El Paso,2,County Chairman,,REP,Adolpho R Telles,48,18,0,30,0
El Paso,2,Proposition 1,,REP,For (A Favor),45,16,0,29,0
El Paso,2,Proposition 1,,REP,Against (En Contra),21,7,0,14,0
El Paso,2,Proposition 2,,REP,For (A Favor),59,19,0,40,0
El Paso,2,Proposition 2,,REP,Against (En Contra),7,5,0,2,0
El Paso,2,Proposition 3,,REP,For (A Favor),53,22,0,31,0
El Paso,2,Proposition 3,,REP,Against (En Contra),16,4,0,12,0
El Paso,2,Proposition 4,,REP,For (A Favor),62,24,0,38,0
El Paso,2,Proposition 4,,REP,Against (En Contra),8,3,0,5,0
El Paso,2,Proposition 5,,REP,For (A Favor),48,17,0,31,0
El Paso,2,Proposition 5,,REP,Against (En Contra),21,9,0,12,0
El Paso,2,Proposition 6,,REP,For (A Favor),67,25,0,42,0
El Paso,2,Proposition 6,,REP,Against (En Contra),3,1,0,2,0
El Paso,2,Proposition 7,,REP,For (A Favor),48,19,0,29,0
El Paso,2,Proposition 7,,REP,Against (En Contra),22,7,0,15,0
El Paso,2,Proposition 8,,REP,For (A Favor),65,25,0,40,0
El Paso,2,Proposition 8,,REP,Against (En Contra),5,1,0,4,0
El Paso,2,Proposition 9,,REP,For (A Favor),58,21,0,37,0
El Paso,2,Proposition 9,,REP,Against (En Contra),11,5,0,6,0
El Paso,2,Proposition 10,,REP,For (A Favor),66,24,0,42,0
El Paso,2,Proposition 10,,REP,Against (En Contra),3,2,0,1,0
El Paso,2,Proposition 11,,REP,For (A Favor),56,20,0,36,0
El Paso,2,Proposition 11,,REP,Against (En Contra),13,5,0,8,0
El Paso,2,U.S. Senate,,DEM,Sema Hernandez,17,4,0,13,0
El Paso,2,U.S. Senate,,DEM,Beto O'Rourke,217,99,0,106,12
El Paso,2,U.S. Senate,,DEM,Edward Kimbrough,3,2,0,1,0
El Paso,2,U.S. House,16,DEM,Dori Fenenbock,38,16,0,19,3
El Paso,2,U.S. House,16,DEM,Veronica Escobar,159,72,0,79,8
El Paso,2,U.S. House,16,DEM,Norma Chavez,22,10,0,12,0
El Paso,2,U.S. House,16,DEM,John Carrillo,4,1,0,3,0
El Paso,2,U.S. House,16,DEM,Jerome Tilghman,9,3,0,5,1
El Paso,2,U.S. House,16,DEM,Enrique Garcia,10,5,0,5,0
El Paso,2,Governor,,DEM,Lupe Valdez,113,45,0,62,6
