county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee
Red River,11,President,,Andrew Yang,DEM,0,0,0,0
Red River,11,President,,Amy Klobuchar,DEM,1,0,0,1
Red River,11,President,,Cory Booker,DEM,0,0,0,0
Red River,11,President,,Julián Castro,DEM,0,0,0,0
Red River,11,President,,Bernie Sanders,DEM,1,0,1,0
Red River,11,President,,Tulsi Gabbard,DEM,0,0,0,0
Red River,11,President,,Pete Buttigieg,DEM,2,1,0,1
Red River,11,President,,Tom Steyer,DEM,0,0,0,0
Red River,11,President,,John K. Delaney,DEM,0,0,0,0
Red River,11,President,,Elizabeth Warren,DEM,2,0,1,1
Red River,11,President,,Joseph R. Biden,DEM,6,1,3,2
Red River,11,Registered Voters,,,,497,,,
Red River,11,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Red River,11,President,,Michael Bennet,DEM,0,0,0,0
Red River,11,President,,Michael R. Bloomberg,DEM,6,5,0,1
Red River,11,President,,Deval Patrick,DEM,0,0,0,0
Red River,11,President,,Marianne Williamson,DEM,0,0,0,0
Red River,11,President,,Robby Wells,DEM,0,0,0,0
Red River,11,United States Senator,,D.R. Hunter,DEM,2,0,1,1
Red River,11,United States Senator,,Royce West,DEM,1,0,0,1
Red River,11,United States Senator,,Victor Hugo Harris,DEM,1,0,1,0
Red River,11,United States Senator,,Amanda K. Edwards,DEM,1,1,0,0
Red River,11,United States Senator,,Cristina Tzintzun Ramirez,DEM,1,1,0,0
Red River,11,United States Senator,,"Annie ""Mamá"" Garcia",DEM,3,1,0,2
Red River,11,United States Senator,,"Mary ""MJ"" Hegar",DEM,2,0,1,1
Red River,11,United States Senator,,Jack Daniel Foster Jr,DEM,0,0,0,0
Red River,11,United States Senator,,Sema Hernandez,DEM,0,0,0,0
Red River,11,United States Senator,,Michael Cooper,DEM,1,0,1,0
Red River,11,United States Senator,,Adrian Ocegueda,DEM,1,1,0,0
Red River,11,United States Senator,,Chris Bell,DEM,2,1,0,1
Red River,11,"United States Representative,
District No. 4",,Russell Foster,DEM,13,5,3,5
Red River,11,Railroad Commissioner,,Kelly Stone,DEM,3,0,1,2
Red River,11,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,4,2,1,1
Red River,11,Railroad Commissioner,,Chrysta Castañeda,DEM,3,1,0,2
Red River,11,Railroad Commissioner,,Mark Watson,DEM,5,2,2,1
Red River,11,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,3,0,2,1
Red River,11,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,13,6,2,5
Red River,11,"Justice, Supreme Court, Place 6 - Unexpired Term",,Kathy Cheng,DEM,11,5,3,3
Red River,11,"Justice, Supreme Court, Place 6 - Unexpired Term",,Larry Praeger,DEM,5,1,1,3
Red River,11,"Justice, Supreme Court, Place 7",,Staci Williams,DEM,10,4,2,4
Red River,11,"Justice, Supreme Court, Place 7",,Brandy Voss,DEM,5,1,2,2
Red River,11,"Justice, Supreme Court, Place 8",,Peter Kelly,DEM,8,3,2,3
Red River,11,"Justice, Supreme Court, Place 8",,Gisela D. Triana,DEM,8,3,2,3
Red River,11,"Judge, Court of Criminal Appeals, Place 3",,William Pieratt Demond,DEM,3,0,1,2
Red River,11,"Judge, Court of Criminal Appeals, Place 3",,Elizabeth Davis Frizell,DEM,12,6,3,3
Red River,11,"Judge, Court of Criminal Appeals, Place 3",,Dan Wood,DEM,0,0,0,0
Red River,11,"Judge, Court of Criminal Appeals, Place 4",,Steven Miears,DEM,4,1,1,2
Red River,11,"Judge, Court of Criminal Appeals, Place 4",,Tina Clinton,DEM,11,5,3,3
Red River,11,"Judge, Court of Criminal Appeals, Place 9",,Brandon Birmingham,DEM,12,4,3,5
Red River,11,"Member, State Board of Education",9,Brenda Davis,DEM,14,5,4,5
Red River,11,State Senator,1,Audrey Spanko,DEM,13,5,3,5
Red River,11,County Chairman,,Hunter Evans,DEM,14,5,4,5
Red River,11,Proposition #1,,Yes,DEM,15,6,3,6
Red River,11,Proposition #1,,No,DEM,3,1,2,0
Red River,11,Proposition #2,,Yes,DEM,17,6,5,6
Red River,11,Proposition #2,,No,DEM,1,1,0,0
Red River,11,Proposition #3,,Yes,DEM,17,7,4,6
Red River,11,Proposition #3,,No,DEM,1,0,1,0
Red River,11,Proposition #4,,Yes,DEM,16,6,4,6
Red River,11,Proposition #4,,No,DEM,2,1,1,0
Red River,11,Proposition #5,,Yes,DEM,17,7,4,6
Red River,11,Proposition #5,,No,DEM,1,0,1,0
Red River,11,Proposition #6,,Yes,DEM,17,7,4,6
Red River,11,Proposition #6,,No,DEM,1,0,1,0
Red River,11,Proposition #7,,Yes,DEM,16,6,4,6
Red River,11,Proposition #7,,No,DEM,2,1,1,0
Red River,11,Proposition #8,,Yes,DEM,17,7,4,6
Red River,11,Proposition #8,,No,DEM,1,0,1,0
Red River,11,Proposition #9,,Yes,DEM,17,7,4,6
Red River,11,Proposition #9,,No,DEM,0,0,0,0
Red River,11,Proposition #10,,Yes,DEM,16,7,3,6
Red River,11,Proposition #10,,No,DEM,2,0,2,0
Red River,11,Proposition #11,,Yes,DEM,17,7,4,6
Red River,11,Proposition #11,,No,DEM,1,0,1,0
Red River,2,President,,Andrew Yang,DEM,0,0,0,0
Red River,2,President,,Amy Klobuchar,DEM,0,0,0,0
Red River,2,President,,Cory Booker,DEM,0,0,0,0
Red River,2,President,,Julián Castro,DEM,0,0,0,0
Red River,2,President,,Bernie Sanders,DEM,12,2,8,2
Red River,2,President,,Tulsi Gabbard,DEM,0,0,0,0
Red River,2,President,,Pete Buttigieg,DEM,3,1,1,1
Red River,2,President,,Tom Steyer,DEM,3,2,1,0
Red River,2,President,,John K. Delaney,DEM,1,0,1,0
Red River,2,President,,Elizabeth Warren,DEM,3,1,1,1
Red River,2,President,,Joseph R. Biden,DEM,36,12,22,2
Red River,2,Registered Voters,,,,686,,,
Red River,2,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Red River,2,President,,Michael Bennet,DEM,0,0,0,0
Red River,2,President,,Michael R. Bloomberg,DEM,7,0,4,3
Red River,2,President,,Deval Patrick,DEM,0,0,0,0
Red River,2,President,,Marianne Williamson,DEM,0,0,0,0
Red River,2,President,,Robby Wells,DEM,0,0,0,0
Red River,2,United States Senator,,D.R. Hunter,DEM,2,1,1,0
Red River,2,United States Senator,,Royce West,DEM,30,8,16,6
Red River,2,United States Senator,,Victor Hugo Harris,DEM,1,0,1,0
Red River,2,United States Senator,,Amanda K. Edwards,DEM,6,0,4,2
Red River,2,United States Senator,,Cristina Tzintzun Ramirez,DEM,1,0,1,0
Red River,2,United States Senator,,"Annie ""Mamá"" Garcia",DEM,5,2,2,1
Red River,2,United States Senator,,"Mary ""MJ"" Hegar",DEM,7,2,5,0
Red River,2,United States Senator,,Jack Daniel Foster Jr,DEM,1,1,0,0
Red River,2,United States Senator,,Sema Hernandez,DEM,0,0,0,0
Red River,2,United States Senator,,Michael Cooper,DEM,1,1,0,0
Red River,2,United States Senator,,Adrian Ocegueda,DEM,0,0,0,0
Red River,2,United States Senator,,Chris Bell,DEM,4,2,2,0
Red River,2,"United States Representative,
District No. 4",,Russell Foster,DEM,43,12,24,7
Red River,2,Railroad Commissioner,,Kelly Stone,DEM,18,4,8,6
Red River,2,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",DEM,17,3,12,2
Red River,2,Railroad Commissioner,,Chrysta Castañeda,DEM,8,5,3,0
Red River,2,Railroad Commissioner,,Mark Watson,DEM,10,3,6,1
Red River,2,"Chief Justice, Supreme Court",,Jerry Zimmerer,DEM,18,8,10,0
Red River,2,"Chief Justice, Supreme Court",,Amy Clark Meachum,DEM,36,8,19,9
Red River,2,"Justice, Supreme Court, Place 6 - Unexpired Term",,Kathy Cheng,DEM,41,12,22,7
Red River,2,"Justice, Supreme Court, Place 6 - Unexpired Term",,Larry Praeger,DEM,13,4,7,2
