county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee
Wheeler,1,President,,Zoltan G. Istvan,REP,0,0,0,0
Wheeler,1,President,,Matthew John Matern,REP,0,0,0,0
Wheeler,1,President,,Donald J. Trump,REP,144,76,59,9
Wheeler,1,President,,Bill Weld,REP,0,0,0,0
Wheeler,1,Registered Voters,,,,234,,,
Wheeler,1,President,,Bob Ely,REP,0,0,0,0
Wheeler,1,President,,Joe Walsh,REP,0,0,0,0
Wheeler,1,President,,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0,0,0
Wheeler,1,President,,Uncommitted,REP,1,0,1,0
Wheeler,1,United States Senator,,Virgil Bierschwale,REP,2,0,2,0
Wheeler,1,United States Senator,,John Anthony Castro,REP,7,4,3,0
Wheeler,1,United States Senator,,Mark Yancey,REP,14,9,5,0
Wheeler,1,United States Senator,,Dwayne Stovall,REP,16,5,11,0
Wheeler,1,United States Senator,,John Cornyn,REP,87,50,28,9
Wheeler,1,United States Representative,13,Matt McArthur,REP,3,2,1,0
Wheeler,1,United States Representative,13,Josh Winegarner,REP,83,47,30,6
Wheeler,1,United States Representative,13,Chris Ekstrom,REP,9,1,7,1
Wheeler,1,United States Representative,13,Vance Snider II,REP,16,11,5,0
Wheeler,1,United States Representative,13,Monique Worthy,REP,0,0,0,0
Wheeler,1,United States Representative,13,Mark Neese,REP,1,0,1,0
Wheeler,1,United States Representative,13,Asusena Resndiz,REP,1,0,1,0
Wheeler,1,United States Representative,13,Ronny Jackson,REP,17,6,9,2
Wheeler,1,United States Representative,13,Diane Knowlton,REP,1,0,1,0
Wheeler,1,United States Representative,13,Richard Herman,REP,1,0,1,0
Wheeler,1,United States Representative,13,Lee Harvey,REP,0,0,0,0
Wheeler,1,United States Representative,13,"Catherine ""I SWEAR"" Carr",REP,1,1,0,0
Wheeler,1,United States Representative,13,Jamie Culley,REP,0,0,0,0
Wheeler,1,United States Representative,13,Elaine Hays,REP,2,1,1,0
Wheeler,1,United States Representative,13,Jason Foglesong,REP,0,0,0,0
Wheeler,1,Railroad Commissioner,,"James ""Jim"" Wright",REP,72,36,30,6
Wheeler,1,Railroad Commissioner,,Ryan Sitton,REP,46,25,20,1
Wheeler,1,"Chief Justice, Supreme Court",,Nathan Hecht,REP,117,59,52,6
Wheeler,1,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jane Bland,REP,120,61,52,7
Wheeler,1,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,118,60,52,6
Wheeler,1,"Justice, Supreme Court, Place 8",,Brett Busby,REP,116,60,50,6
Wheeler,1,"Judge, Court of Criminal Appeals, Place 3",,Gina Parker,REP,46,27,18,1
Wheeler,1,"Judge, Court of Criminal Appeals, Place 3",,Bert Richardson,REP,69,33,29,7
Wheeler,1,"Judge, Court of Criminal Appeals, Place 4",,Kevin Patrick Yeary,REP,114,59,49,6
Wheeler,1,"Judge, Court of Criminal Appeals, Place 9",,David Newell,REP,114,59,49,6
Wheeler,1,"Member, State Board of Education",15,Jay Johnson,REP,118,60,51,7
Wheeler,1,State Representative,68,Drew Springer,REP,118,63,49,6
Wheeler,1,"Chief Justice, 7th Court of Appeals District",,Brian Quinn,REP,116,60,50,6
Wheeler,1,"Justice, 7th Court of Appeals District, Place 4",,Steven Denny,REP,51,28,19,4
Wheeler,1,"Justice, 7th Court of Appeals District, Place 4",,Larry Doss,REP,63,32,28,3
Wheeler,1,"District Attorney, 31st Judicial District",,Franklin McDonough,REP,110,58,46,6
Wheeler,1,County Attorney,,Misty L. Walker,REP,73,40,31,2
Wheeler,1,County Attorney,,Leslie Standerfer,REP,68,33,28,7
Wheeler,1,Sheriff,,John Hankins,REP,70,40,25,5
Wheeler,1,Sheriff,,Billy Dean Doss,REP,2,1,1,0
Wheeler,1,Sheriff,,Larry Z. Ashurst,REP,4,0,4,0
Wheeler,1,Sheriff,,Johnny Carter,REP,42,16,25,1
Wheeler,1,Sheriff,,G. W. Barrett,REP,26,18,5,3
Wheeler,1,County Tax Assessor-Collector,,Cindy L. Brown,REP,136,70,59,7
