county,precinct,office,district,candidate,party,votes,early_voting,election_day
San Patricio,101,President,,Joseph R. Biden,DEM,30,10,20
San Patricio,101,President,,Cory Booker,DEM,0,0,0
San Patricio,101,President,,Tulsi Gabbard,DEM,0,0,0
San Patricio,101,President,,Julin Castro,DEM,2,1,1
San Patricio,101,President,,Andrew Yang,DEM,0,0,0
San Patricio,101,President,,Amy Klobuchar,DEM,1,0,1
San Patricio,101,President,,Bernie Sanders,DEM,10,3,7
San Patricio,101,President,,Deval Patrick,DEM,0,0,0
San Patricio,101,President,,Marianne Williamson,DEM,0,0,0
San Patricio,101,President,,Michael Bennet,DEM,1,0,1
San Patricio,101,President,,Tom Steyer,DEM,0,0,0
San Patricio,101,President,,Robby Wells,DEM,0,0,0
San Patricio,101,President,,Pete Buttigieg,DEM,1,1,0
San Patricio,101,President,,"Roque ""Rocky"" De La Fuente",DEM,0,0,0
San Patricio,101,President,,Michael R. Bloomberg,DEM,13,3,10
San Patricio,101,President,,Elizabeth Warren,DEM,4,2,2
San Patricio,101,President,,John K. Delaney,DEM,0,0,0
San Patricio,101,United States Senator,,Adrian Ocegueda,DEM,5,1,4
San Patricio,101,United States Senator,,"Mary ""MJ"" Hegar",DEM,5,2,3
San Patricio,101,United States Senator,,Amanda K. Edwards,DEM,4,1,3
San Patricio,101,United States Senator,,Jack Daniel Foster Jr,DEM,0,0,0
San Patricio,101,United States Senator,,D.R. Hunter,DEM,3,1,2
San Patricio,101,United States Senator,,Michael Cooper,DEM,7,1,6
San Patricio,101,United States Senator,,Royce West,DEM,1,0,1
San Patricio,101,United States Senator,,Cristina Tzintzun Ramirez,DEM,24,6,18
San Patricio,101,United States Senator,,Chris Bell,DEM,5,5,0
San Patricio,101,United States Senator,,Victor Hugo Harris,DEM,0,0,0
San Patricio,101,United States Senator,,Sema Hernandez,DEM,0,0,0
San Patricio,101,United States Senator,,"Annie ""Mam"" Garcia",DEM,3,1,2
