county,precinct,office,district,party,candidate,election_day,early_voting,mail,provisional,total
Wilson,101,President,,D,Bernie Sanders ,41,27,9,0,77
Wilson,101,President,,D,Michael Bennet ,1,1,0,0,2
Wilson,101,President,,D,Juli·n Castro ,0,0,0,0,0
Wilson,101,President,,D,Joseph R. Biden ,78,17,9,0,104
Wilson,101,President,,D,Cory Booker ,0,0,0,0,0
Wilson,101,President,,D,Elizabeth Warren ,10,8,1,0,19
Wilson,101,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,101,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,101,President,,D,Andrew Yang ,3,1,0,0,4
Wilson,101,President,,D,Tom Steyer ,2,1,1,0,4
Wilson,101,President,,D,Tulsi Gabbard ,1,0,0,0,1
Wilson,101,President,,D,Michael R. Bloomberg ,19,11,10,0,40
Wilson,101,President,,D,Robby Wells ,0,0,0,0,0
Wilson,101,President,,D,Roque De La Fuente ,0,0,0,0,0
Wilson,101,President,,D,Pete Buttigieg ,0,6,0,0,6
Wilson,101,President,,D,Amy Klobuchar ,0,3,0,0,3
Wilson,101,President,,D,Marianne Williamson ,0,1,0,0,1
Wilson,101,President,,R,R DeLa Fuente Guerra ,0,0,0,0,0
Wilson,101,President,,R,Bill Weld ,1,0,0,0,1
Wilson,101,President,,R,Matthew John Matern ,1,0,0,0,1
Wilson,101,President,,R,Joe Walsh ,1,0,0,0,1
Wilson,101,President,,R,Bob Ely ,0,0,0,0,0
Wilson,101,President,,R,Donald J. Trump ,198,153,11,0,362
Wilson,101,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,101,President,,R,Uncommitted ,4,1,0,0,5
Wilson,102,President,,D,Bernie Sanders ,37,19,9,0,65
Wilson,102,President,,D,Michael Bennet ,0,1,0,0,1
Wilson,102,President,,D,Juli·n Castro ,7,7,4,0,18
Wilson,102,President,,D,Joseph R. Biden ,47,20,11,0,78
Wilson,102,President,,D,Cory Booker ,0,0,0,0,0
Wilson,102,President,,D,Elizabeth Warren ,13,13,1,0,27
Wilson,102,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,102,President,,D,John K. Delaney ,0,0,0,0,0
Wilson,102,President,,D,Andrew Yang ,0,0,0,0,0
Wilson,102,President,,D,Tom Steyer ,2,2,0,0,4
Wilson,102,President,,D,Tulsi Gabbard ,0,0,0,0,0
Wilson,102,President,,D,Michael R. Bloomberg ,20,18,18,0,56
Wilson,102,President,,D,Robby Wells ,0,0,0,0,0
Wilson,102,President,,D,Roque De La Fuente ,0,2,0,0,2
Wilson,102,President,,D,Pete Buttigieg ,0,3,4,0,7
Wilson,102,President,,D,Amy Klobuchar ,0,3,1,0,4
Wilson,102,President,,D,Marianne Williamson ,0,0,0,0,0
Wilson,102,President,,R,R DeLa Fuente Guerra ,4,6,0,0,10
Wilson,102,President,,R,Bill Weld ,0,1,0,0,1
Wilson,102,President,,R,Matthew John Matern ,0,0,0,0,0
Wilson,102,President,,R,Joe Walsh ,1,2,0,0,3
Wilson,102,President,,R,Bob Ely ,1,1,0,0,2
Wilson,102,President,,R,Donald J. Trump ,86,88,2,0,176
Wilson,102,President,,R,Zoltan G. Istvan ,0,0,0,0,0
Wilson,102,President,,R,Uncommitted ,13,11,0,0,24
Wilson,103,President,,D,Bernie Sanders ,24,14,7,0,45
Wilson,103,President,,D,Michael Bennet ,1,0,0,0,1
Wilson,103,President,,D,Juli·n Castro ,2,0,3,0,5
Wilson,103,President,,D,Joseph R. Biden ,49,12,10,0,71
Wilson,103,President,,D,Cory Booker ,0,0,0,0,0
Wilson,103,President,,D,Elizabeth Warren ,11,10,3,0,24
Wilson,103,President,,D,Deval Patrick ,0,0,0,0,0
Wilson,103,President,,D,John K. Delaney ,0,0,0,0,0
