office,district,candidate,incumbent,party,votes,pct
President/VicePresident,,George W. Bush,TRUE,REP,635948,92.49
President/VicePresident,,Uncommitted,FALSE,REP,51667,7.51
President/VicePresident,,Total,,,687615,
U. S. Representative,1,Wayne Christian,FALSE,REP,6854,14.73
U. S. Representative,1,Louis Gohmert,FALSE,REP,19421,41.73
U. S. Representative,1,John Graves,FALSE,REP,13933,29.94
U. S. Representative,1,Emily Mathews,FALSE,REP,1266,2.72
U. S. Representative,1,Larry Thornton,FALSE,REP,457,0.98
U. S. Representative,1,Lyle Thorstenson,FALSE,REP,4604,9.89
U. S. Representative,1,Total,,,46535,
U. S. Representative,2,Andrew J. Bolton,FALSE,REP,246,1.01
U. S. Representative,2,George Fastuca,FALSE,REP,3668,15.02
U. S. Representative,2,Mark Henry,FALSE,REP,2423,9.92
U. S. Representative,2,Clint Moore,FALSE,REP,2868,11.74
U. S. Representative,2,John Nickell,FALSE,REP,285,1.17
U. S. Representative,2,Ted Poe,FALSE,REP,14932,61.14
U. S. Representative,2,Total,,,24422,
U. S. Representative,3,Sam Johnson,TRUE,REP,12429,84.06
U. S. Representative,3,Brian Rubarts,FALSE,REP,2357,15.94
U. S. Representative,3,Total,,,14786,
U. S. Representative,4,Ralph Hall,TRUE,REP,22484,77.19
U. S. Representative,4,Mike Mosher,FALSE,REP,3122,10.72
U. S. Representative,4,Mike Murphy,FALSE,REP,3524,12.1
U. S. Representative,4,Total,,,29130,
U. S. Representative,5,Jeb Hensarling,TRUE,REP,18756,100
U. S. Representative,5,Total,,,18756,
U. S. Representative,6,Joe Barton,TRUE,REP,13486,100
U. S. Representative,6,Total,,,13486,
U. S. Representative,7,John Culberson,TRUE,REP,26561,92.21
U. S. Representative,7,Sam Texas,FALSE,REP,2245,7.79
U. S. Representative,7,Total,,,28806,
U. S. Representative,8,Kevin Brady,TRUE,REP,26445,100
U. S. Representative,8,Total,,,26445,
U. S. Representative,9,A.R. Hassan,FALSE,REP,1132,18.97
U. S. Representative,9,Arlette Molina,FALSE,REP,4836,81.03
U. S. Representative,9,Total,,,5968,
U. S. Representative,10,John Devine,FALSE,REP,7096,21.34
U. S. Representative,10,Teresa Doggett Taylor,FALSE,REP,1494,4.49
U. S. Representative,10,Pat Elliott,FALSE,REP,1245,3.74
U. S. Representative,10,John Kelley,FALSE,REP,952,2.86
U. S. Representative,10,Michael T. McCaul,FALSE,REP,7953,23.91
U. S. Representative,10,Dave Phillips,FALSE,REP,4460,13.41
U. S. Representative,10,Ben Streusand,FALSE,REP,9364,28.15
U. S. Representative,10,Brad Tashenberg,FALSE,REP,695,2.09
U. S. Representative,10,Total,,,33259,
U. S. Representative,11,Mike Conaway,FALSE,REP,38792,74.53
U. S. Representative,11,Bill Lester,FALSE,REP,13255,25.47
U. S. Representative,11,Total,,,52047,
U. S. Representative,12,Kay Granger,TRUE,REP,17964,100
U. S. Representative,12,Total,,,17964,
U. S. Representative,13,Mac Thornberry,TRUE,REP,40801,100
U. S. Representative,13,Total,,,40801,
U. S. Representative,14,Ron Paul,TRUE,REP,21095,100
U. S. Representative,14,Total,,,21095,
