office,district,candidate,incumbent,party,votes,pct
State Senator,31  Unexpired Term,Bob Barnes,FALSE,REP,9478,13.65
State Senator,31  Unexpired Term,Kirk Edwards,FALSE,REP,14273,20.56
State Senator,31  Unexpired Term,Lee Gibson,FALSE,REP,2429,3.5
State Senator,31  Unexpired Term,Elaine King  Miller,FALSE,DEM,5738,8.27
State Senator,31  Unexpired Term,Jesse Quackenbush,FALSE,REP,1488,2.14
State Senator,31  Unexpired Term,Kel Seliger,FALSE,REP,24793,35.72
State Senator,31  Unexpired Term,Don Sparks,FALSE,REP,11216,16.16
State Senator,31  Unexpired Term,Total,,,69415,
State Senator,1  Unexpired Term,Kevin Eltife,FALSE,REP,24919,36.01
State Senator,1  Unexpired Term,Bill Godsey,FALSE,REP,502,0.73
State Senator,1  Unexpired Term,Tommy Merritt,FALSE,REP,14786,21.37
State Senator,1  Unexpired Term,Paul Sadler,FALSE,DEM,27339,39.5
State Senator,1  Unexpired Term,Daryl Ware,FALSE,CON,480,0.69
State Senator,1  Unexpired Term,Jerry Yost,FALSE,REP,1180,1.71
State Senator,1  Unexpired Term,Total,,,69206,
