county,office,district,candidate,incumbent,party,votes,pct
BEXAR,U. S. Representative,23,Henry Bonilla,True,REP,19953,43.79
BEXAR,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,25617,56.21
BEXAR,U. S. Representative,23,Total,,,45570,
BREWSTER,U. S. Representative,23,Henry Bonilla,True,REP,630,47.66
BREWSTER,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,692,52.34
BREWSTER,U. S. Representative,23,Total,,,1322,
CROCKETT,U. S. Representative,23,Henry Bonilla,True,REP,369,78.18
CROCKETT,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,103,21.82
CROCKETT,U. S. Representative,23,Total,,,472,
CULBERSON,U. S. Representative,23,Henry Bonilla,True,REP,78,53.42
CULBERSON,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,68,46.58
CULBERSON,U. S. Representative,23,Total,,,146,
DIMMIT,U. S. Representative,23,Henry Bonilla,True,REP,292,25.19
DIMMIT,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,867,74.81
DIMMIT,U. S. Representative,23,Total,,,1159,
EDWARDS,U. S. Representative,23,Henry Bonilla,True,REP,325,79.85
EDWARDS,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,82,20.15
EDWARDS,U. S. Representative,23,Total,,,407,
EL PASO,U. S. Representative,23,Henry Bonilla,True,REP,226,34.88
EL PASO,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,422,65.12
EL PASO,U. S. Representative,23,Total,,,648,
HUDSPETH,U. S. Representative,23,Henry Bonilla,True,REP,130,78.31
HUDSPETH,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,36,21.69
HUDSPETH,U. S. Representative,23,Total,,,166,
JEFF DAVIS,U. S. Representative,23,Henry Bonilla,True,REP,321,62.94
JEFF DAVIS,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,189,37.06
JEFF DAVIS,U. S. Representative,23,Total,,,510,
KINNEY,U. S. Representative,23,Henry Bonilla,True,REP,416,65.82
KINNEY,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,216,34.18
KINNEY,U. S. Representative,23,Total,,,632,
MAVERICK,U. S. Representative,23,Henry Bonilla,True,REP,471,14.15
MAVERICK,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,2857,85.85
MAVERICK,U. S. Representative,23,Total,,,3328,
MEDINA,U. S. Representative,23,Henry Bonilla,True,REP,3177,67.77
MEDINA,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,1511,32.23
MEDINA,U. S. Representative,23,Total,,,4688,
PECOS,U. S. Representative,23,Henry Bonilla,True,REP,875,66.34
PECOS,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,444,33.66
PECOS,U. S. Representative,23,Total,,,1319,
PRESIDIO,U. S. Representative,23,Henry Bonilla,True,REP,161,35.00
PRESIDIO,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,299,65.00
PRESIDIO,U. S. Representative,23,Total,,,460,
REEVES,U. S. Representative,23,Henry Bonilla,True,REP,476,56.87
REEVES,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,361,43.13
REEVES,U. S. Representative,23,Total,,,837,
SUTTON,U. S. Representative,23,Henry Bonilla,True,REP,146,73.37
SUTTON,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,53,26.63
SUTTON,U. S. Representative,23,Total,,,199,
TERRELL,U. S. Representative,23,Henry Bonilla,True,REP,100,62.11
TERRELL,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,61,37.89
TERRELL,U. S. Representative,23,Total,,,161,
UVALDE,U. S. Representative,23,Henry Bonilla,True,REP,1874,60.47
UVALDE,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,1225,39.53
UVALDE,U. S. Representative,23,Total,,,3099,
VAL VERDE,U. S. Representative,23,Henry Bonilla,True,REP,1942,50.90
VAL VERDE,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,1873,49.10
VAL VERDE,U. S. Representative,23,Total,,,3815,
ZAVALA,U. S. Representative,23,Henry Bonilla,True,REP,255,16.61
ZAVALA,U. S. Representative,23,Ciro D. Rodriguez,False,DEM,1280,83.39
ZAVALA,U. S. Representative,23,Total,,,1535,
