office,district,candidate,incumbent,party,votes,pct
U.S. Senate,,Darrel Reece Hunter,FALSE,DEM,93609,18.69
U.S. Senate,,Gene Kelly,FALSE,DEM,191400,38.22
U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,215776,43.09
U.S. Senate,,Total,,,500785,
U. S. Representative,1,Roger L. Owen,FALSE,DEM,10121,53.35
U. S. Representative,1,Duane Shaw,FALSE,DEM,8851,46.65
U. S. Representative,1,Total,,,18972,
U. S. Representative,2,Gary E. Binderim,FALSE,DEM,18491,100
U. S. Representative,2,Total,,,18491,
U. S. Representative,3,Dan Dodd,FALSE,DEM,2478,100
U. S. Representative,3,Total,,,2478,
U. S. Representative,4,Glenn Melancon,FALSE,DEM,15696,100
U. S. Representative,4,Total,,,15696,
U. S. Representative,5,Charlie Thompson,FALSE,DEM,7516,100
U. S. Representative,5,Total,,,7516,
U. S. Representative,6,David T. Harris,FALSE,DEM,8538,100
U. S. Representative,6,Total,,,8538,
U. S. Representative,7,Jim  Henley,FALSE,DEM,3950,67.5
U. S. Representative,7,David Murff,FALSE,DEM,1902,32.5
U. S. Representative,7,Total,,,5852,
U. S. Representative,8,"James ""Jim"" Wright",FALSE,DEM,19881,100
U. S. Representative,8,Total,,,19881,
U. S. Representative,9,Al Green,TRUE,DEM,10549,100
U. S. Representative,9,Total,,,10549,
U. S. Representative,10,Ted Ankrum,FALSE,DEM,3703,36.74
U. S. Representative,10,Paul Foreman,FALSE,DEM,3610,35.82
U. S. Representative,10,Pat  Mynatt,FALSE,DEM,1291,12.81
U. S. Representative,10,Sid Smith,FALSE,DEM,1475,14.63
U. S. Representative,10,Total,,,10079,
U. S. Representative,12,John R.  Morris,FALSE,DEM,4846,100
U. S. Representative,12,Total,,,4846,
U. S. Representative,13,Roger J. Waun,FALSE,DEM,10651,100
U. S. Representative,13,Total,,,10651,
U. S. Representative,14,Shane Sklar,FALSE,DEM,13244,100
U. S. Representative,14,Total,,,13244,
U. S. Representative,15,Rub̩n  Hinojosa,TRUE,DEM,39094,100
U. S. Representative,15,Total,,,39094,
U. S. Representative,16,Jorge Artalejo,,,DEM,
U. S. Representative,16,Silvestre Reyes,TRUE,DEM,28931,100
U. S. Representative,16,Total,,,28931,
U. S. Representative,17,Chet Edwards,TRUE,DEM,11913,100
U. S. Representative,17,Total,,,11913,
U. S. Representative,18,Sheila  Jackson Lee,TRUE,DEM,9512,100
U. S. Representative,18,Total,,,9512,
U. S. Representative,19,Robert Ricketts,FALSE,DEM,9656,100
U. S. Representative,19,Total,,,9656,
U. S. Representative,20,Charles A. Gonzalez,TRUE,DEM,16398,100
U. S. Representative,20,Total,,,16398,
U. S. Representative,21,John Courage,FALSE,DEM,11264,100
U. S. Representative,21,Total,,,11264,
U. S. Representative,22,Nick Lampson,FALSE,DEM,7993,100
U. S. Representative,22,Total,,,7993,
U. S. Representative,23,Rick Bolanos,FALSE,DEM,30164,100
U. S. Representative,23,Total,,,30164,
U. S. Representative,24,Gary R. Page,FALSE,DEM,3089,100
U. S. Representative,24,Total,,,3089,
U. S. Representative,25,Lloyd Doggett,TRUE,DEM,29119,100
U. S. Representative,25,Total,,,29119,
U. S. Representative,26,Tim Barnwell,FALSE,DEM,5157,100
U. S. Representative,26,Total,,,5157,
