county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,U.S. Senate,,Gene Kelly,FALSE,DEM,1292,57.37
ANDERSON,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,960,42.63
ANDERSON,U.S. Senate,,Total,,,2252,
ANDERSON,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,673,30.04
ANDERSON,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,1567,69.96
ANDERSON,Lieutenant Governor,,Total,,,2240,
ANDREWS,U.S. Senate,,Gene Kelly,FALSE,DEM,316,54.77
ANDREWS,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,261,45.23
ANDREWS,U.S. Senate,,Total,,,577,
ANDREWS,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,297,49.75
ANDREWS,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,300,50.25
ANDREWS,Lieutenant Governor,,Total,,,597,
ANGELINA,U.S. Senate,,Gene Kelly,FALSE,DEM,48,17.2
ANGELINA,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,231,82.8
ANGELINA,U.S. Senate,,Total,,,279,
ANGELINA,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,58,20.94
ANGELINA,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,219,79.06
ANGELINA,Lieutenant Governor,,Total,,,277,
ARANSAS,U.S. Senate,,Gene Kelly,FALSE,DEM,30,31.58
ARANSAS,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,65,68.42
ARANSAS,U.S. Senate,,Total,,,95,
ARANSAS,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,46,46.46
ARANSAS,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,53,53.54
ARANSAS,Lieutenant Governor,,Total,,,99,
ARCHER,U.S. Senate,,Gene Kelly,FALSE,DEM,8,23.53
ARCHER,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,26,76.47
ARCHER,U.S. Senate,,Total,,,34,
ARCHER,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,12,36.36
ARCHER,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,21,63.64
ARCHER,Lieutenant Governor,,Total,,,33,
ARMSTRONG,U.S. Senate,,Gene Kelly,FALSE,DEM,0,0
ARMSTRONG,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,0,0
ARMSTRONG,U.S. Senate,,Total,,,0,
ARMSTRONG,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,0,0
ARMSTRONG,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,0,0
ARMSTRONG,Lieutenant Governor,,Total,,,0,
ATASCOSA,U.S. Senate,,Gene Kelly,FALSE,DEM,45,26.79
ATASCOSA,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,123,73.21
ATASCOSA,U.S. Senate,,Total,,,168,
ATASCOSA,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,111,66.47
ATASCOSA,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,56,33.53
ATASCOSA,Lieutenant Governor,,Total,,,167,
AUSTIN,U.S. Senate,,Gene Kelly,FALSE,DEM,16,9.14
AUSTIN,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,159,90.86
AUSTIN,U.S. Senate,,Total,,,175,
AUSTIN,U. S. Representative,10,Ted Ankrum,FALSE,DEM,134,77.91
AUSTIN,U. S. Representative,10,Paul Foreman,FALSE,DEM,38,22.09
AUSTIN,U. S. Representative,10,Total,,,172,
AUSTIN,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,45,27.44
AUSTIN,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,119,72.56
AUSTIN,Lieutenant Governor,,Total,,,164,
BAILEY,U.S. Senate,,Gene Kelly,FALSE,DEM,4,44.44
BAILEY,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,5,55.56
BAILEY,U.S. Senate,,Total,,,9,
BAILEY,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,2,25
BAILEY,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,6,75
BAILEY,Lieutenant Governor,,Total,,,8,
BANDERA,U.S. Senate,,Gene Kelly,FALSE,DEM,3,6.12
BANDERA,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,46,93.88
BANDERA,U.S. Senate,,Total,,,49,
BANDERA,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,15,31.25
BANDERA,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,33,68.75
BANDERA,Lieutenant Governor,,Total,,,48,
BASTROP,U.S. Senate,,Gene Kelly,FALSE,DEM,151,26.77
BASTROP,U.S. Senate,,Barbara Ann Radnofsky,FALSE,DEM,413,73.23
BASTROP,U.S. Senate,,Total,,,564,
BASTROP,U. S. Representative,10,Ted Ankrum,FALSE,DEM,76,60.8
BASTROP,U. S. Representative,10,Paul Foreman,FALSE,DEM,49,39.2
BASTROP,U. S. Representative,10,Total,,,125,
BASTROP,Lieutenant Governor,,Maria Luisa Alvarado,FALSE,DEM,255,46.88
BASTROP,Lieutenant Governor,,Benjamin Z. Grant,FALSE,DEM,289,53.13
BASTROP,Lieutenant Governor,,Total,,,544,
