office,district,candidate,incumbent,party,votes,pct
U. S. Senator,,Kay Bailey Hutchison,True,REP,2661789,61.69
U. S. Senator,,Barbara Ann Radnofsky,False,DEM,1555202,36.04
U. S. Senator,,Scott Lanier Jameson,False,LIB,97672,2.26
U. S. Senator,,Total,,,4314663,
U. S. Representative,1,Louie Gohmert,True,REP,104099,68.01
U. S. Representative,1,Roger L. Owen,False,DEM,46303,30.25
U. S. Representative,1,Donald Perkison,False,LIB,2668,1.74
U. S. Representative,1,Total,,,153070,
U. S. Representative,2,Ted  Poe,True,REP,90490,65.64
U. S. Representative,2,Gary E. Binderim,False,DEM,45080,32.70
U. S. Representative,2,Justo J. Perez,False,LIB,2295,1.66
U. S. Representative,2,Total,,,137865,
U. S. Representative,3,Sam Johnson,True,REP,88690,62.51
U. S. Representative,3,Dan Dodd,False,DEM,49529,34.91
U. S. Representative,3,Christopher J. Claytor,False,LIB,3662,2.58
U. S. Representative,3,Total,,,141881,
U. S. Representative,4,Ralph M. Hall,True,REP,106495,64.44
U. S. Representative,4,Glenn Melancon,False,DEM,55278,33.45
U. S. Representative,4,Kurt G. Helm,False,LIB,3496,2.12
U. S. Representative,4,Total,,,165269,
U. S. Representative,5,Jeb Hensarling,True,REP,88478,61.76
U. S. Representative,5,Charlie Thompson,False,DEM,50983,35.59
U. S. Representative,5,Mike Nelson,False,LIB,3791,2.65
U. S. Representative,5,Total,,,143252,
U. S. Representative,6,Joe L. Barton,True,REP,91927,60.46
U. S. Representative,6,David T. Harris,False,DEM,56369,37.08
U. S. Representative,6,Carl Nulsen,False,LIB,3740,2.46
U. S. Representative,6,Total,,,152036,
U. S. Representative,7,John Culberson,True,REP,99318,59.19
U. S. Representative,7,Jim  Henley,False,DEM,64514,38.45
U. S. Representative,7,Drew Parks,False,LIB,3953,2.36
U. S. Representative,7,Total,,,167785,
U. S. Representative,8,Kevin  Brady,True,REP,105665,67.28
U. S. Representative,8,"James ""Jim"" Wright",False,DEM,51393,32.72
U. S. Representative,8,Total,,,157058,
U. S. Representative,9,Al Green,True,DEM,60253,100.00
U. S. Representative,9,Total,,,60253,
U. S. Representative,10,Michael T. McCaul,True,REP,97726,55.29
U. S. Representative,10,Ted Ankrum,False,DEM,71415,40.40
U. S. Representative,10,Michael Badnarik,False,LIB,7614,4.31
U. S. Representative,10,Total,,,176755,
U. S. Representative,11,Mike Conaway,True,REP,107268,100.00
U. S. Representative,11,Total,,,107268,
U. S. Representative,12,Kay Granger,True,REP,98371,66.95
U. S. Representative,12,John R.  Morris,False,DEM,45676,31.09
U. S. Representative,12,Gardner Osborne,False,LIB,2888,1.97
U. S. Representative,12,Total,,,146935,
U. S. Representative,13,Mac Thornberry,True,REP,108107,74.35
U. S. Representative,13,Roger J. Waun,False,DEM,33460,23.01
U. S. Representative,13,Jim Thompson,False,LIB,3829,2.63
U. S. Representative,13,Total,,,145396,
U. S. Representative,14,Ron Paul,True,REP,94380,60.19
U. S. Representative,14,Shane Sklar,False,DEM,62429,39.81
U. S. Representative,14,Total,,,156809,
U. S. Representative,16,Silvestre Reyes,True,DEM,61116,78.67
U. S. Representative,16,Gordon R. Strickland,False,LIB,16572,21.33
U. S. Representative,16,Total,,,77688,
U. S. Representative,17,Van Taylor,False,REP,64142,40.31
U. S. Representative,17,Chet Edwards,True,DEM,92478,58.12
U. S. Representative,17,Guillermo Acosta,False,LIB,2504,1.57
U. S. Representative,17,Total,,,159124,
U. S. Representative,18,Ahmad Hassan,False,REP,16448,19.11
U. S. Representative,18,Sheila  Jackson Lee,True,DEM,65936,76.62
U. S. Representative,18,Patrick Warren,False,LIB,3667,4.26
U. S. Representative,18,Total,,,86051,
U. S. Representative,19,Randy Neugebauer,True,REP,94785,67.70
U. S. Representative,19,Robert Ricketts,False,DEM,41676,29.77
U. S. Representative,19,Fred C. Jones,False,LIB,3349,2.39
U. S. Representative,19,Mike Sadler,False,WI,197,0.14
U. S. Representative,19,Total,,,140007,
U. S. Representative,20,Charles A. Gonzalez,True,DEM,68348,87.35
U. S. Representative,20,Michael Idrogo,False,LIB,9897,12.65
U. S. Representative,20,Total,,,78245,
U. S. Representative,22,Nick Lampson,False,DEM,76775,51.79
U. S. Representative,22,Bob Smither,False,LIB,9009,6.08
U. S. Representative,22,Joe Reasbeck,False,WI,89,0.06
U. S. Representative,22,Don Richardson,False,WI,428,0.29
U. S. Representative,22,Shelley Sekula Gibbs,False,WI,61938,41.78
U. S. Representative,22,Total,,,148239,
U. S. Representative,24,Kenny E Marchant,True,REP,83835,59.82
U. S. Representative,24,Gary R. Page,False,DEM,52075,37.16
U. S. Representative,24,Mark Frohman,False,LIB,4228,3.02
U. S. Representative,24,Total,,,140138,
U. S. Representative,26,Michael C. Burgess,True,REP,94219,60.21
U. S. Representative,26,Tim Barnwell,False,DEM,58271,37.24
U. S. Representative,26,Rich Haas,False,LIB,3993,2.55
U. S. Representative,26,Total,,,156483,
U. S. Representative,27,"Wm. ""Willie""  Vaden",False,REP,42538,38.91
U. S. Representative,27,Solomon P. Ortiz,True,DEM,62058,56.77
U. S. Representative,27,Robert Powell,False,LIB,4718,4.32
U. S. Representative,27,Total,,,109314,
U. S. Representative,29,Eric Story,False,REP,12347,24.43
U. S. Representative,29,Gene Green,True,DEM,37174,73.54
U. S. Representative,29,Clifford Lee Messina,False,LIB,1029,2.04
U. S. Representative,29,Total,,,50550,
U. S. Representative,30,Wilson Aurbach,False,REP,17850,17.60
U. S. Representative,30,Eddie Bernice Johnson,True,DEM,81348,80.19
U. S. Representative,30,Ken Ashby,False,LIB,2250,2.22
U. S. Representative,30,Total,,,101448,
U. S. Representative,31,John R. Carter,True,REP,90869,58.48
U. S. Representative,31,Mary Beth Harrell,False,DEM,60293,38.80
U. S. Representative,31,Matt McAdoo,False,LIB,4221,2.72
U. S. Representative,31,Total,,,155383,
U. S. Representative,32,Pete Sessions,True,REP,71461,56.42
U. S. Representative,32,Will Pryor,False,DEM,52269,41.27
U. S. Representative,32,John B.  Hawley,False,LIB,2922,2.31
U. S. Representative,32,Total,,,126652,
Governor,,Rick Perry,True,REP,1716792,39.03
Governor,,Chris Bell,False,DEM,1310337,29.79
Governor,,James Werner,False,LIB,26749,0.61
Governor,,"Richard ""Kinky"" Friedman",False,IND,547674,12.45
Governor,,Carole Keeton Strayhorn,False,IND,796851,18.11
Governor,,"James ""Patriot"" Dillon",False,WI,713,0.02
Governor,,Total,,,4399116,
Lieutenant Governor,,David Dewhurst,True,REP,2513530,58.19
Lieutenant Governor,,Maria Luisa Alvarado,False,DEM,1617490,37.45
Lieutenant Governor,,Judy Baker,False,LIB,188206,4.36
Lieutenant Governor,,Total,,,4319226,
Attorney General,,Greg Abbott,True,REP,2556063,59.52
Attorney General,,David Van Os,False,DEM,1599069,37.23
Attorney General,,Jon Roland,False,LIB,139668,3.25
Attorney General,,Total,,,4294800,
Comptroller of Public Accounts,,Susan Combs,False,REP,2547323,59.47
