county,office,district,candidate,incumbent,party,votes,pct
ATASCOSA,U. S. Representative,28,Ron Avery,False,CON,847,13.01
ATASCOSA,U. S. Representative,28,Henry Cuellar,True,DEM,4647,71.38
ATASCOSA,U. S. Representative,28,Frank Enriquez,False,DEM,1016,15.61
ATASCOSA,U. S. Representative,28,Total,,,6510,
BANDERA,U. S. Representative,21,Tommy Calvert,False,IND,105,1.83
BANDERA,U. S. Representative,21,John Courage,False,DEM,698,12.19
BANDERA,U. S. Representative,21,Gene Kelly,False,DEM,507,8.85
BANDERA,U. S. Representative,21,James Lyle Peterson,False,IND,146,2.55
BANDERA,U. S. Representative,21,Mark J. Rossano,False,IND,64,1.12
BANDERA,U. S. Representative,21,Lamar Smith,True,REP,4093,71.48
BANDERA,U. S. Representative,21,James Arthur Strohm,False,LIB,113,1.97
BANDERA,U. S. Representative,21,Total,,,5726,
BANDERA,State Senate,19  Unexpired Term,Dick Bowen,False,REP,3727,68.41
BANDERA,State Senate,19  Unexpired Term,Carlos I. Uresti,False,DEM,1721,31.59
BANDERA,State Senate,19  Unexpired Term,Total,,,5448,
BASTROP,U. S. Representative,25,Barbara Cunningham,False,LIB,430,3.80
BASTROP,U. S. Representative,25,Lloyd Doggett,True,DEM,6853,60.56
BASTROP,U. S. Representative,25,Brian Parrett,False,IND,290,2.56
BASTROP,U. S. Representative,25,Grant Rostig,False,REP,3743,33.08
BASTROP,U. S. Representative,25,Total,,,11316,
BEE,U. S. Representative,15,Paul B. Haring,False,REP,1198,21.20
BEE,U. S. Representative,15,Rubén  Hinojosa,True,DEM,3657,64.71
BEE,U. S. Representative,15,Eddie Zamora,False,REP,796,14.09
BEE,U. S. Representative,15,Total,,,5651,
BEXAR,U. S. Representative,21,Tommy Calvert,False,IND,3691,3.92
BEXAR,U. S. Representative,21,John Courage,False,DEM,25596,27.20
BEXAR,U. S. Representative,21,Gene Kelly,False,DEM,6448,6.85
BEXAR,U. S. Representative,21,James Lyle Peterson,False,IND,865,0.92
BEXAR,U. S. Representative,21,Mark J. Rossano,False,IND,627,0.67
BEXAR,U. S. Representative,21,Lamar Smith,True,REP,55664,59.15
