office,district,candidate,incumbent,party,votes,pct
U. S. Representative,15,Paul B. Haring,False,REP,16601,23.72
U. S. Representative,15,Rubén Hinojosa,True,DEM,43236,61.78
U. S. Representative,15,Eddie Zamora,False,REP,10150,14.50
U. S. Representative,15,Total,,,69987,
U. S. Representative,21,Tommy Calvert,False,IND,5280,2.59
U. S. Representative,21,John Courage,False,DEM,49957,24.51
U. S. Representative,21,Gene Kelly,False,DEM,18355,9.01
U. S. Representative,21,James Lyle Peterson,False,IND,2189,1.07
U. S. Representative,21,Mark J. Rossano,False,IND,1439,0.71
U. S. Representative,21,Lamar Smith,True,REP,122486,60.11
U. S. Representative,21,James Arthur Strohm,False,LIB,4076,2.00
U. S. Representative,21,Total,,,203782,
U. S. Representative,22 Unexpired Term,Don Richardson,False,REP,7405,5.98
U. S. Representative,22 Unexpired Term,Shelley Sekula Gibbs,False,REP,76924,62.07
U. S. Representative,22 Unexpired Term,M. Bob Smither,False,LIB,23425,18.90
U. S. Representative,22 Unexpired Term,Steve Stockman,False,REP,13600,10.97
U. S. Representative,22 Unexpired Term,Giannibicego Hoa Tran,False,REP,2568,2.07
U. S. Representative,22 Unexpired Term,Total,,,123922,
U. S. Representative,23,"August G. ""Augie"" Beltran",False,DEM,2647,2.14
U. S. Representative,23,Rick Bolanos,False,DEM,2564,2.07
U. S. Representative,23,Henry Bonilla,True,REP,60175,48.61
U. S. Representative,23,Adrian DeLeon,False,DEM,2198,1.78
U. S. Representative,23,Lukin Gilliland,False,DEM,13728,11.09
U. S. Representative,23,Ciro D. Rodriguez,False,DEM,24594,19.87
U. S. Representative,23,Craig T. Stephens,False,IND,3341,2.70
U. S. Representative,23,Albert Uresti,False,DEM,14552,11.75
U. S. Representative,23,Total,,,123799,
U. S. Representative,25,Barbara Cunningham,False,LIB,6942,4.25
U. S. Representative,25,Lloyd Doggett,True,DEM,109911,67.26
U. S. Representative,25,Brian Parrett,False,IND,3596,2.20
U. S. Representative,25,Grant Rostig,False,REP,42975,26.30
U. S. Representative,25,Total,,,163424,
U. S. Representative,28,Ron Avery,False,CON,9383,12.07
U. S. Representative,28,Henry Cuellar,True,DEM,52574,67.61
U. S. Representative,28,Frank Enriquez,False,DEM,15798,20.32
U. S. Representative,28,Total,,,77755,
State Senate,19 Unexpired Term,Dick Bowen,False,REP,38070,40.03
State Senate,19 Unexpired Term,Carlos I. Uresti,False,DEM,57045,59.97
State Senate,19 Unexpired Term,Total,,,95115,
State Representative,33 Unexpired Term,Joe McComb,False,REP,11114,43.45
State Representative,33 Unexpired Term,"Danny Noyola, Sr.",False,DEM,3215,12.57
State Representative,33 Unexpired Term,"Solomon P. Ortiz, Jr.",False,DEM,11247,43.97
State Representative,33 Unexpired Term,Total,,,25576,
