county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional,limited
Comanche,Pct 1,Registered Voters,,,,1732,,,,,
Comanche,Pct 1,Ballots Cast,,,,1120,,,,,
Comanche,Pct 1,President,,REP,Donald J. Trump,961,23,782,144,0,12
Comanche,Pct 1,President,,DEM,Kamala D. Harris,146,7,100,39,0,0
Comanche,Pct 1,President,,LIB,Chase Oliver,3,0,1,2,0,0
Comanche,Pct 1,President,,GRN,Jill Stein,0,0,0,0,0,0
Comanche,Pct 1,President,,,Under Votes,10,3,5,2,0,0
Comanche,Pct 1,President,,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,U.S. Senate,,REP,Ted Cruz,920,25,759,126,0,10
Comanche,Pct 1,U.S. Senate,,DEM,Colin Allred,174,8,115,49,0,2
Comanche,Pct 1,U.S. Senate,,LIB,Ted Brown,11,0,5,6,0,0
Comanche,Pct 1,U.S. Senate,,,Under Votes,14,0,8,6,0,0
Comanche,Pct 1,U.S. Senate,,,Over Votes,1,0,1,0,0,0
Comanche,Pct 1,U.S. House,25,REP,Roger Williams,930,27,752,148,0,3
Comanche,Pct 1,U.S. House,25,,Under Votes,189,6,135,39,0,9
Comanche,Pct 1,U.S. House,25,,Over Votes,1,0,1,0,0,0
Comanche,Pct 1,Railroad Commissioner,,REP,Christi Craddick,871,25,709,128,0,9
Comanche,Pct 1,Railroad Commissioner,,DEM,Katherine Culbert,123,5,89,29,0,0
Comanche,Pct 1,Railroad Commissioner,,LIB,Hawk Dunlap,23,0,17,6,0,0
Comanche,Pct 1,Railroad Commissioner,,GRN,Eddie Espinoza,20,0,15,5,0,0
Comanche,Pct 1,Railroad Commissioner,,,Under Votes,81,3,56,19,0,3
Comanche,Pct 1,Railroad Commissioner,,,Over Votes,2,0,2,0,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,921,26,751,135,0,9
Comanche,Pct 1,"Justice, Supreme Court, Place 2",,DEM,Dasean Jones,132,4,90,38,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 2",,,Under Votes,66,3,46,14,0,3
Comanche,Pct 1,"Justice, Supreme Court, Place 2",,,Over Votes,1,0,1,0,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 4",,REP,John Devine,903,25,740,129,0,9
Comanche,Pct 1,"Justice, Supreme Court, Place 4",,DEM,Christine Vinh Weems,147,4,100,43,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 4",,,Under Votes,70,4,48,15,0,3
Comanche,Pct 1,"Justice, Supreme Court, Place 4",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 6",,REP,Jane Bland,890,26,729,126,0,9
Comanche,Pct 1,"Justice, Supreme Court, Place 6",,DEM,Bonnie Lee Goldstein,135,3,96,36,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 6",,LIB,J. David Roberson,22,0,13,9,0,0
Comanche,Pct 1,"Justice, Supreme Court, Place 6",,,Under Votes,73,4,50,16,0,3
Comanche,Pct 1,"Justice, Supreme Court, Place 6",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,906,26,740,131,0,9
Comanche,Pct 1,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,141,3,97,41,0,0
Comanche,Pct 1,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,73,4,51,15,0,3
Comanche,Pct 1,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 7",,REP,Gina Parker,906,26,737,134,0,9
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 7",,DEM,Nancy Mulder,135,3,95,37,0,0
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 7",,,Under Votes,79,4,56,16,0,3
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 7",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 8",,REP,Lee Finley,914,25,744,136,0,9
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 8",,DEM,Chika Anyiam,127,3,90,34,0,0
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 8",,,Under Votes,79,5,54,17,0,3
Comanche,Pct 1,"Judge, Court of Criminal Appeals, Place 8",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,State House,68,REP,David Spiller,897,27,735,133,0,2
Comanche,Pct 1,State House,68,DEM,Stacey Swann,148,3,105,40,0,0
Comanche,Pct 1,State House,68,,Under Votes,75,3,48,14,0,10
Comanche,Pct 1,State House,68,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,"Chief Justice, 11th Court of Appeals District",,REP,John Bailey,926,25,753,146,0,2
Comanche,Pct 1,"Chief Justice, 11th Court of Appeals District",,,Under Votes,194,8,135,41,0,10
Comanche,Pct 1,"Chief Justice, 11th Court of Appeals District",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,"District Attorney, 220th Judicial District",,REP,Adam Sibley,913,25,747,141,0,0
Comanche,Pct 1,"District Attorney, 220th Judicial District",,,Under Votes,207,8,141,46,0,12
Comanche,Pct 1,"District Attorney, 220th Judicial District",,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,County Attorney,,REP,Molly Odgers,918,26,748,144,0,0
Comanche,Pct 1,County Attorney,,,Under Votes,202,7,140,43,0,12
Comanche,Pct 1,County Attorney,,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,Sheriff,,REP,Chris Pounds,935,26,761,148,0,0
Comanche,Pct 1,Sheriff,,,Under Votes,185,7,127,39,0,12
Comanche,Pct 1,Sheriff,,,Over Votes,0,0,0,0,0,0
Comanche,Pct 1,County Tax Assessor-Collector,,REP,Grace E. Everheart,925,28,754,143,0,0
Comanche,Pct 1,County Tax Assessor-Collector,,,Under Votes,195,5,134,44,0,12
Comanche,Pct 1,County Tax Assessor-Collector,,,Over Votes,0,0,0,0,0,0
