county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Sutton,101,Registered Voters,,,,512,,,
Sutton,101,Ballots Cast,,,,271,6,199,66
Sutton,101,Ballots Cast - Blank,,,,0,0,0,0
Sutton,101,President,,REP,Donald J. Trump,193,0,155,38
Sutton,101,President,,DEM,Kamala D. Harris,73,6,41,26
Sutton,101,President,,LIB,Chase Oliver,2,0,1,1
Sutton,101,President,,GRN,Jill Stein,2,0,1,1
Sutton,101,President,,,Write-ins,0,0,0,0
Sutton,101,U.S. Senate,,REP,Ted Cruz,178,0,141,37
Sutton,101,U.S. Senate,,DEM,Colin Allred,81,6,50,25
Sutton,101,U.S. Senate,,LIB,Ted Brown,3,0,2,1
Sutton,101,U.S. Senate,,,Write-ins,2,0,1,1
Sutton,101,U.S. House,23,REP,Tony Gonzales,201,2,157,42
Sutton,101,U.S. House,23,DEM,S. Limon,62,4,37,21
Sutton,101,Railroad Commissioner,,REP,Christi Craddick,176,0,144,32
Sutton,101,Railroad Commissioner,,DEM,Katherine Culbert,63,4,39,20
Sutton,101,Railroad Commissioner,,LIB,Hawk Dunlap,6,0,2,4
Sutton,101,Railroad Commissioner,,GRN,Eddie Espinoza,14,2,7,5
Sutton,101,Railroad Commissioner,,,Write-ins,0,0,0,0
Sutton,101,"Justice, Supreme Court, PI 2",,REP,Jimmy Blacklock,183,0,149,34
Sutton,101,"Justice, Supreme Court, PI 2",,DEM,DaSean Jones,74,6,42,26
Sutton,101,"Justice, Supreme Court, PI 4",,REP,John Devine,182,0,148,34
Sutton,101,"Justice, Supreme Court, PI 4",,DEM,Christine Vinh Weems,73,6,42,25
Sutton,101,"Justice, Supreme Court, PI 6",,REP,Jane Bland,181,0,149,32
Sutton,101,"Justice, Supreme Court, PI 6",,DEM,Bonnie Lee Goldstein,71,6,41,24
Sutton,101,"Justice, Supreme Court, PI 6",,LIB,J. David Roberson,5,0,2,3
Sutton,101,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,181,0,148,33
Sutton,101,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,75,6,43,26
Sutton,101,"Judge, Ct of Crim App, PI 7",,REP,Gina Parker,179,0,144,35
Sutton,101,"Judge, Ct of Crim App, PI 7",,DEM,Nancy Mulder,73,6,44,23
Sutton,101,"Judge, Ct of Crim App, PI 8",,REP,Lee Finley,187,0,153,34
Sutton,101,"Judge, Ct of Crim App, PI 8",,DEM,Chika Anyiam,68,6,39,23
Sutton,101,"Member, State BoE, Dist 1",,REP,Michael (Travis) Stevens,174,0,142,32
Sutton,101,"Member, State BoE, Dist 1",,DEM,Gustavo Reveles,83,6,50,27
Sutton,101,State Representative,53,REP,Wes Virdell,177,0,143,34
Sutton,101,State Representative,53,DEM,Joe P. Herrera,80,6,49,25
Sutton,101,State Representative,53,LIB,B. W. Holt,1,0,0,1
Sutton,101,"Justice, 4th Ct of App Dist, PI 2",,DEM,Velia J. Meza,128,5,86,37
Sutton,101,"Justice, 4th Ct of App Dist, PI 3",,REP,Todd McCray,181,0,148,33
Sutton,101,"Justice, 4th Ct of App Dist, PI 3",,DEM,Cynthia Marie Chapa,72,6,42,24
Sutton,101,"Justice, 4th Ct of App Dist, PI 4",,REP,Lori Massey Brissette,179,0,145,34
Sutton,101,"Justice, 4th Ct of App Dist, PI 4",,DEM,Luz Elena Chapa,78,6,46,26
Sutton,101,"Justice, 4th Ct of App Dist, PI 5",,REP,Adrian Spears,176,0,143,33
Sutton,101,"Justice, 4th Ct of App Dist, PI 5",,DEM,Liza A. Rodriguez,80,6,47,27
Sutton,101,"Justice, 4th Ct of App Dist, PI 7",,REP,Lori I. Valenzuela,197,4,152,41
Sutton,101,"Dist Attorney, 112th Judicial Dist",,REP,Stephen Dodd,205,2,159,44
Sutton,101,County Attorney,,REP,Dawn B. Cahill,211,3,161,47
Sutton,101,Sheriff,,REP,Duwayne Castro,216,5,161,50
