county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Hutchinson,Precinct 11,Registered Voters,,,,1814,,,
Hutchinson,Precinct 11,Ballots Cast,,,,1184,28,874,282
Hutchinson,Precinct 11,Ballots Cast Blank,,,,0,0,0,0
Hutchinson,Precinct 11,President,,REP,Donald J. Trump/JD Vance,1047,22,788,237
Hutchinson,Precinct 11,President,,DEM,Kamala D. Harris/Tim Walz,118,6,77,35
Hutchinson,Precinct 11,President,,LIB,Chase Oliver/Mike ter Maat,7,0,3,4
Hutchinson,Precinct 11,President,,GRN,Jill Stein/Rudolph Ware,4,0,3,1
Hutchinson,Precinct 11,President,,,Write-ins,6,0,1,5
Hutchinson,Precinct 11,President,,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,President,,,Under Votes,2,0,2,0
Hutchinson,Precinct 11,U.S. Senate,,REP,Ted Cruz,1007,23,763,221
Hutchinson,Precinct 11,U.S. Senate,,DEM,Colin Allred,127,4,81,42
Hutchinson,Precinct 11,U.S. Senate,,LIB,Ted Brown,26,0,20,6
Hutchinson,Precinct 11,U.S. Senate,,,Write-ins,2,0,2,0
Hutchinson,Precinct 11,U.S. Senate,,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,U.S. Senate,,,Under Votes,20,1,10,9
Hutchinson,Precinct 11,U.S. House,13,REP,Ronny Jackson,1036,23,778,235
Hutchinson,Precinct 11,U.S. House,13,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,U.S. House,13,,Under Votes,148,5,96,47
Hutchinson,Precinct 11,Railroad Commissioner,,REP,Christi Craddick,964,23,732,209
Hutchinson,Precinct 11,Railroad Commissioner,,DEM,Katherine Culbert,100,4,66,30
Hutchinson,Precinct 11,Railroad Commissioner,,LIB,Hawk Dunlap,43,0,26,17
Hutchinson,Precinct 11,Railroad Commissioner,,GRN,Eddie Espinoza,14,0,8,6
Hutchinson,Precinct 11,Railroad Commissioner,,,Write-ins,1,1,0,0
Hutchinson,Precinct 11,Railroad Commissioner,,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,Railroad Commissioner,,,Under Votes,62,1,41,20
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 2,REP,Jimmy Blacklock,1025,23,771,231
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 2,DEM,DaSean Jones,111,4,72,35
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 2,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 2,,Under Votes,48,1,31,16
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 4,REP,John Devine,1011,24,763,225
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 4,DEM,Christine Vinh Weems,112,3,78,31
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 4,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 4,,Under Votes,55,1,33,21
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 6,REP,Jane Bland,995,22,752,221
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 6,DEM,Bonnie Lee Goldstein,101,3,65,33
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 6,LIB,J. David Roberson,44,2,30,12
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 6,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Justice, Supreme Court",Pl 6,,Under Votes,44,1,27,16
Hutchinson,Precinct 11,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1011,23,761,227
Hutchinson,Precinct 11,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,121,4,82,35
Hutchinson,Precinct 11,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Presiding Judge, Ct of Crim App",,,Under Votes,52,1,31,20
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 7,REP,Gina Parker,1021,23,770,228
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 7,DEM,Nancy Mulder,111,4,72,35
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 7,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 7,,Under Votes,52,1,32,19
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 8,REP,Lee Finley,1019,23,771,225
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 8,DEM,Chika Anyiam,110,4,70,36
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 8,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Judge, Ct of Crim App",Pl 8,,Under Votes,55,1,33,21
Hutchinson,Precinct 11,"Member, State BoE",Dist 15,REP,Aaron Kinsey,977,22,740,215
Hutchinson,Precinct 11,"Member, State BoE",Dist 15,DEM,Morgan Kirkpatrick,118,4,78,36
Hutchinson,Precinct 11,"Member, State BoE",Dist 15,LIB,Jack B. Westbrook,39,0,28,11
Hutchinson,Precinct 11,"Member, State BoE",Dist 15,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Member, State BoE",Dist 15,,Under Votes,50,1,29,20
Hutchinson,Precinct 11,State Representative,87,REP,Caroline Fairly,1009,25,763,221
Hutchinson,Precinct 11,State Representative,87,DEM,Timothy W. Gassaway,124,2,84,38
Hutchinson,Precinct 11,State Representative,87,,Write-ins,4,0,1,3
Hutchinson,Precinct 11,State Representative,87,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,State Representative,87,,Under Votes,47,1,26,20
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist",Pl 2,REP,Judy Parker,1051,24,782,245
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist",Pl 2,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist",Pl 2,,Under Votes,133,4,92,37
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist",Pl 3,REP,Alex Yarbrough,1045,24,779,242
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist",Pl 3,,Over Votes,0,0,0,0
Hutchinson,Precinct 11,"Justice, 7th Ct of App Dist",Pl 3,,Under Votes,139,4,95,40
Hutchinson,Precinct 11,"Dist Judge, 84th Judicial Dist",,REP,Curt W. Brancheau,1034,24,770,240
