county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Garza,Precinct 1,Registered Voters,,,,611,,,
Garza,Precinct 1,Ballots Cast,,,,411,16,291,104
Garza,Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Garza,Precinct 1,President,,REP,Donald J. Trump,352,8,252,92
Garza,Precinct 1,President,,DEM,Kamala D. Harris,53,6,36,11
Garza,Precinct 1,President,,LIB,Chase Oliver,4,0,3,1
Garza,Precinct 1,President,,GRN,Jill Stein,0,0,0,0
Garza,Precinct 1,President,,,Write-ins,0,0,0,0
Garza,Precinct 1,U.S. Senate,,REP,Ted Cruz,330,10,247,81
Garza,Precinct 1,U.S. Senate,,DEM,Colin Allred,52,2,36,12
Garza,Precinct 1,U.S. Senate,,LIB,Ted Brown,12,0,7,5
Garza,Precinct 1,U.S. Senate,,,Write-ins,1,0,0,1
Garza,Precinct 1,U.S. House,19,REP,Jodey C. Arrington,350,12,251,87
Garza,Precinct 1,U.S. House,19,LIB,Bernard Johnson,20,0,12,8
Garza,Precinct 1,U.S. House,19,IND,Nathan Lewis,20,1,11,8
Garza,Precinct 1,Railroad Commissioner,,REP,Christi Craddick,325,10,231,84
Garza,Precinct 1,Railroad Commissioner,,DEM,Katherine Culbert,40,2,31,7
Garza,Precinct 1,Railroad Commissioner,,LIB,Hawk Dunlap,10,1,5,4
Garza,Precinct 1,Railroad Commissioner,,GRN,Eddie Espinoza,7,0,4,3
Garza,Precinct 1,Railroad Commissioner,,,Write-ins,0,0,0,0
Garza,Precinct 1,"Justice, Supreme Court, PI 2",,REP,Jimmy Blacklock,334,10,233,91
Garza,Precinct 1,"Justice, Supreme Court, PI 2",,DEM,DaSean Jones,45,3,32,10
Garza,Precinct 1,"Justice, Supreme Court, PI 4",,REP,John Devine,335,10,238,87
Garza,Precinct 1,"Justice, Supreme Court, PI 4",,DEM,Christine Vinh Weems,45,2,34,9
Garza,Precinct 1,"Justice, Supreme Court, PI 6",,REP,Jane Bland,324,9,235,80
Garza,Precinct 1,"Justice, Supreme Court, PI 6",,DEM,Bonnie Lee Goldstein,45,3,33,9
Garza,Precinct 1,"Justice, Supreme Court, PI 6",,LIB,J. David Roberson,11,1,5,5
Garza,Precinct 1,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,335,10,238,87
Garza,Precinct 1,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,47,3,33,11
Garza,Precinct 1,"Judge, Ct of Crim App, PI 7",,REP,Gina Parker,332,10,238,84
Garza,Precinct 1,"Judge, Ct of Crim App, PI 7",,DEM,Nancy Mulder,44,3,32,9
Garza,Precinct 1,"Judge, Ct of Crim App, PI 8",,REP,Lee Finley,338,9,240,89
Garza,Precinct 1,"Judge, Ct of Crim App, PI 8",,DEM,Chika Anyiam,37,4,25,8
Garza,Precinct 1,"Member, State BoE, Dist 15",,REP,Aaron Kinsey,311,8,223,80
Garza,Precinct 1,"Member, State BoE, Dist 15",,DEM,Morgan Kirkpatrick,62,3,45,14
Garza,Precinct 1,"Member, State BoE, Dist 15",,LIB,Jack B. Westbrook,7,1,2,4
