county,precinct,office,district,party,candidate,votes,election_day,ev_in-person,ev_mail,prov/ev/ed
Dallas,1004-01,Ballots Cast,,,,297,,,,
Dallas,1004-02,Ballots Cast,,,,921,,,,
Dallas,1006-01,Ballots Cast,,,,1396,,,,
Dallas,1007-01,Ballots Cast,,,,324,,,,
Dallas,1039-01,Ballots Cast,,,,136,,,,
Dallas,1040-01,Ballots Cast,,,,929,,,,
Dallas,1040-02,Ballots Cast,,,,722,,,,
Dallas,1041-01,Ballots Cast,,,,309,,,,
Dallas,1043-01,Ballots Cast,,,,1539,,,,
Dallas,1043-02,Ballots Cast,,,,183,,,,
Dallas,1044-01,Ballots Cast,,,,2278,,,,
Dallas,1045-01,Ballots Cast,,,,793,,,,
Dallas,1046-01,Ballots Cast,,,,229,,,,
Dallas,1047-01,Ballots Cast,,,,923,,,,
Dallas,1048-01,Ballots Cast,,,,2227,,,,
Dallas,1049-01,Ballots Cast,,,,1506,,,,
Dallas,1050-01,Ballots Cast,,,,45,,,,
Dallas,1050-02,Ballots Cast,,,,85,,,,
Dallas,1051-01,Ballots Cast,,,,168,,,,
Dallas,1052-01,Ballots Cast,,,,2598,,,,
Dallas,1054-01,Ballots Cast,,,,921,,,,
Dallas,1055-01,Ballots Cast,,,,405,,,,
Dallas,1056-01,Ballots Cast,,,,619,,,,
Dallas,1057-01,Ballots Cast,,,,873,,,,
Dallas,1057-02,Ballots Cast,,,,388,,,,
Dallas,1058-01,Ballots Cast,,,,1433,,,,
Dallas,1059-01,Ballots Cast,,,,1248,,,,
Dallas,1060-01,Ballots Cast,,,,2767,,,,
Dallas,1060-02,Ballots Cast,,,,704,,,,
Dallas,1061-01,Ballots Cast,,,,1151,,,,
Dallas,1062-01,Ballots Cast,,,,18,,,,
Dallas,1063-01,Ballots Cast,,,,576,,,,
Dallas,1063-02,Ballots Cast,,,,374,,,,
Dallas,1064-01,Ballots Cast,,,,61,,,,
Dallas,1065-01,Ballots Cast,,,,691,,,,
Dallas,1065-02,Ballots Cast,,,,646,,,,
Dallas,1067-02,Ballots Cast,,,,4,,,,
Dallas,1068-01,Ballots Cast,,,,56,,,,
Dallas,1076-01,Ballots Cast,,,,28,,,,
Dallas,1078-01,Ballots Cast,,,,437,,,,
Dallas,1078-03,Ballots Cast,,,,77,,,,
Dallas,1079-01,Ballots Cast,,,,925,,,,
Dallas,1079-02,Ballots Cast,,,,250,,,,
Dallas,1080-01,Ballots Cast,,,,352,,,,
Dallas,1081-01,Ballots Cast,,,,2017,,,,
Dallas,1082-01,Ballots Cast,,,,53,,,,
Dallas,1082-02,Ballots Cast,,,,94,,,,
Dallas,1083-01,Ballots Cast,,,,613,,,,
Dallas,1083-02,Ballots Cast,,,,120,,,,
Dallas,1083-03,Ballots Cast,,,,136,,,,
Dallas,1084-01,Ballots Cast,,,,2351,,,,
