county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional,limited
Hunt,1,Registered Voters,,,,1825,,,,,
Hunt,1,Ballots Cast,,,,1111,,,,,
Hunt,1,President,,REP,Donald J. Trump JD Vance,841,24,693,124,0,0
Hunt,1,President,,DEM,Kamala D. Harris Tim Walz,254,17,199,38,0,0
Hunt,1,President,,LIB,Chase Oliver Mike ter Maat,4,0,3,1,0,0
Hunt,1,President,,GRN,Jill Stein Rudolph Ware,2,1,0,1,0,0
Hunt,1,President,,,Cheruda Fox/Harlan McVay,0,0,0,0,0,0
Hunt,1,President,,,Claudia De La Cruz/Karina Garcia,0,0,0,0,0,0
Hunt,1,President,,,Cornel West/Melina Abdullah,0,0,0,0,0,0
Hunt,1,President,,,Jessie Cuellar/Wesley Lasley,0,0,0,0,0,0
Hunt,1,President,,,Peter Sonski/Lauren Onak,0,0,0,0,0,0
Hunt,1,President,,,Shiva Ayyadurai/Crystal Ellis,0,0,0,0,0,0
Hunt,1,U.S. Senate,,REP,Ted Cruz,816,22,676,118,0,0
Hunt,1,U.S. Senate,,DEM,Colin Allred,267,18,206,43,0,0
Hunt,1,U.S. Senate,,LIB,Ted Brown,13,1,7,5,0,0
Hunt,1,U.S. Senate,,,Analisa Roche,0,0,0,0,0,0
Hunt,1,U.S. Senate,,,Tracy Andrus,0,0,0,0,0,0
Hunt,1,U.S. House,36,REP,Brian Babin,839,26,689,124,0,0
Hunt,1,U.S. House,36,DEM,Dayna Steele,243,15,191,37,0,0
Hunt,1,Railroad Commissioner,,REP,Christi Craddick,798,24,660,114,0,0
Hunt,1,Railroad Commissioner,,DEM,Katherine Culbert,236,11,195,30,0,0
Hunt,1,Railroad Commissioner,,LIB,Hawk Dunlap,33,3,22,8,0,0
Hunt,1,Railroad Commissioner,,GRN,Eddie Espinoza,6,0,2,4,0,0
Hunt,1,Railroad Commissioner,,,Richard McKibbin,0,0,0,0,0,0
Hunt,1,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,827,25,679,123,0,0
Hunt,1,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,250,13,201,36,0,0
Hunt,1,"Justice, Supreme Court, Place 4",4,REP,John Devine,817,23,671,123,0,0
Hunt,1,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,252,15,202,35,0,0
Hunt,1,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,803,23,662,118,0,0
Hunt,1,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,246,14,196,36,0,0
Hunt,1,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,28,2,22,4,0,0
Hunt,1,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,825,25,679,121,0,0
Hunt,1,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,247,14,196,37,0,0
Hunt,1,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,821,23,682,116,0,0
Hunt,1,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,246,14,192,40,0,0
Hunt,1,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,835,25,684,126,0,0
Hunt,1,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,235,14,188,33,0,0
Hunt,1,State Representative,18,REP,Janis Holt,816,22,675,119,0,0
Hunt,1,State Representative,18,LIB,Seth Steele,159,11,122,26,0,0
Hunt,1,"Justice, 9th Court of Appeals District, Place 3",3,REP,Leanne Johnson,873,27,718,128,0,0
Hunt,1,"Justice, 9th Court of Appeals District, Place 4",4,REP,Kent Chambers,863,25,711,127,0,0
Hunt,1,"District Judge, 88th Judicial District",,REP,Earl B. Stover III,880,29,721,130,0,0
Hunt,1,"District Judge, 356th Judicial District",,REP,Steve Thomas,881,31,722,128,0,0
Hunt,1,"District Attorney, 88th Judicial District",,REP,Rebecca R. Walton,894,29,734,131,0,0
Hunt,1,County Attorney,,REP,Matthew Minick,874,28,715,131,0,0
Hunt,1,Sheriff,,REP,Mark Davis,892,30,731,131,0,0
Hunt,1,County Tax Assessor-Collector,,REP,Steve Smith,873,27,714,132,0,0
Hunt,1,"County Commissioner, Precinct 3",3,REP,Amanda Young,871,28,717,126,0,0
Hunt,1,"Constable, Precinct 3",3,REP,"Robert ""Trey"" Brothers",875,29,718,128,0,0
Hunt,2,Registered Voters,,,,5115,,,,,
Hunt,2,Ballots Cast,,,,3171,,,,,
Hunt,2,President,,REP,Donald J. Trump JD Vance,2807,35,2346,426,0,0
Hunt,2,President,,DEM,Kamala D. Harris Tim Walz,336,19,247,70,0,0
Hunt,2,President,,LIB,Chase Oliver Mike ter Maat,13,0,6,7,0,0
Hunt,2,President,,GRN,Jill Stein Rudolph Ware,3,0,3,0,0,0
Hunt,2,President,,,Cheruda Fox/Harlan McVay,0,0,0,0,0,0
Hunt,2,President,,,Claudia De La Cruz/Karina Garcia,0,0,0,0,0,0
Hunt,2,President,,,Cornel West/Melina Abdullah,0,0,0,0,0,0
Hunt,2,President,,,Jessie Cuellar/Wesley Lasley,0,0,0,0,0,0
Hunt,2,President,,,Peter Sonski/Lauren Onak,0,0,0,0,0,0
Hunt,2,President,,,Shiva Ayyadurai/Crystal Ellis,0,0,0,0,0,0
Hunt,2,U.S. Senate,,REP,Ted Cruz,2718,37,2277,404,0,0
Hunt,2,U.S. Senate,,DEM,Colin Allred,365,17,273,75,0,0
Hunt,2,U.S. Senate,,LIB,Ted Brown,63,0,40,23,0,0
Hunt,2,U.S. Senate,,,Analisa Roche,0,0,0,0,0,0
Hunt,2,U.S. Senate,,,Tracy Andrus,0,0,0,0,0,0
Hunt,2,U.S. House,36,REP,Brian Babin,2805,37,2340,428,0,0
Hunt,2,U.S. House,36,DEM,Dayna Steele,319,17,232,70,0,0
Hunt,2,Railroad Commissioner,,REP,Christi Craddick,2673,36,2239,398,0,0
Hunt,2,Railroad Commissioner,,DEM,Katherine Culbert,294,16,222,56,0,0
Hunt,2,Railroad Commissioner,,LIB,Hawk Dunlap,105,0,75,30,0,0
Hunt,2,Railroad Commissioner,,GRN,Eddie Espinoza,11,0,9,2,0,0
Hunt,2,Railroad Commissioner,,,Richard McKibbin,0,0,0,0,0,0
Hunt,2,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,2778,37,2320,421,0,0
Hunt,2,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,315,15,235,65,0,0
Hunt,2,"Justice, Supreme Court, Place 4",4,REP,John Devine,2747,37,2300,410,0,0
Hunt,2,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,330,15,245,70,0,0
Hunt,2,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,2713,37,2272,404,0,0
Hunt,2,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,301,13,228,60,0,0
Hunt,2,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,77,2,54,21,0,0
Hunt,2,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,2756,36,2311,409,0,0
Hunt,2,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,329,16,238,75,0,0
Hunt,2,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,2771,37,2317,417,0,0
Hunt,2,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,312,15,232,65,0,0
Hunt,2,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,2788,37,2331,420,0,0
Hunt,2,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,294,15,216,63,0,0
Hunt,2,State Representative,18,REP,Janis Holt,2653,37,2214,402,0,0
Hunt,2,State Representative,18,LIB,Seth Steele,363,10,281,72,0,0
Hunt,2,"Justice, 9th Court of Appeals District, Place 3",3,REP,Leanne Johnson,2787,40,2311,436,0,0
Hunt,2,"Justice, 9th Court of Appeals District, Place 4",4,REP,Kent Chambers,2755,41,2287,427,0,0
Hunt,2,"District Judge, 88th Judicial District",,REP,Earl B. Stover III,2792,41,2315,436,0,0
Hunt,2,"District Judge, 356th Judicial District",,REP,Steve Thomas,2783,41,2310,432,0,0
Hunt,2,"District Attorney, 88th Judicial District",,REP,Rebecca R. Walton,2757,40,2291,426,0,0
Hunt,2,County Attorney,,REP,Matthew Minick,2781,41,2309,431,0,0
Hunt,2,Sheriff,,REP,Mark Davis,2800,42,2322,436,0,0
Hunt,2,County Tax Assessor-Collector,,REP,Steve Smith,2790,40,2317,433,0,0
Hunt,2,"Constable, Precinct 2",2,REP,Ben Hawthorne,2801,39,2329,433,0,0
Hunt,3 - WHCCISD,Registered Voters,,,,696,,,,,
Hunt,3 - WHCCISD,Ballots Cast,,,,469,,,,,
Hunt,3 - WHCCISD,President,,REP,Donald J. Trump JD Vance,437,8,245,184,0,0
Hunt,3 - WHCCISD,President,,DEM,Kamala D. Harris Tim Walz,29,0,13,16,0,0
Hunt,3 - WHCCISD,President,,LIB,Chase Oliver Mike ter Maat,2,0,1,1,0,0
Hunt,3 - WHCCISD,President,,GRN,Jill Stein Rudolph Ware,0,0,0,0,0,0
Hunt,3 - WHCCISD,President,,,Cheruda Fox/Harlan McVay,0,0,0,0,0,0
Hunt,3 - WHCCISD,President,,,Claudia De La Cruz/Karina Garcia,0,0,0,0,0,0
Hunt,3 - WHCCISD,President,,,Cornel West/Melina Abdullah,0,0,0,0,0,0
Hunt,3 - WHCCISD,President,,,Jessie Cuellar/Wesley Lasley,0,0,0,0,0,0
Hunt,3 - WHCCISD,President,,,Peter Sonski/Lauren Onak,0,0,0,0,0,0
Hunt,3 - WHCCISD,President,,,Shiva Ayyadurai/Crystal Ellis,0,0,0,0,0,0
Hunt,3 - WHCCISD,U.S. Senate,,REP,Ted Cruz,423,8,241,174,0,0
Hunt,3 - WHCCISD,U.S. Senate,,DEM,Colin Allred,35,0,15,20,0,0
Hunt,3 - WHCCISD,U.S. Senate,,LIB,Ted Brown,10,0,4,6,0,0
Hunt,3 - WHCCISD,U.S. Senate,,,Analisa Roche,0,0,0,0,0,0
Hunt,3 - WHCCISD,U.S. Senate,,,Tracy Andrus,0,0,0,0,0,0
Hunt,3 - WHCCISD,U.S. House,36,REP,Brian Babin,433,9,241,183,0,0
Hunt,3 - WHCCISD,U.S. House,36,DEM,Dayna Steele,31,0,14,17,0,0
Hunt,3 - WHCCISD,Railroad Commissioner,,REP,Christi Craddick,411,8,227,176,0,0
Hunt,3 - WHCCISD,Railroad Commissioner,,DEM,Katherine Culbert,28,0,16,12,0,0
Hunt,3 - WHCCISD,Railroad Commissioner,,LIB,Hawk Dunlap,20,1,10,9,0,0
Hunt,3 - WHCCISD,Railroad Commissioner,,GRN,Eddie Espinoza,2,0,2,0,0,0
Hunt,3 - WHCCISD,Railroad Commissioner,,,Richard McKibbin,0,0,0,0,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,428,9,239,180,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,32,0,15,17,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 4",4,REP,John Devine,421,9,236,176,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,36,0,17,19,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,418,9,234,175,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,30,0,13,17,0,0
Hunt,3 - WHCCISD,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,13,0,7,6,0,0
Hunt,3 - WHCCISD,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,423,9,237,177,0,0
Hunt,3 - WHCCISD,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,35,0,15,20,0,0
Hunt,3 - WHCCISD,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,431,9,238,184,0,0
Hunt,3 - WHCCISD,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,29,0,15,14,0,0
Hunt,3 - WHCCISD,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,433,9,240,184,0,0
Hunt,3 - WHCCISD,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,25,0,13,12,0,0
Hunt,3 - WHCCISD,State Representative,18,REP,Janis Holt,415,7,232,176,0,0
Hunt,3 - WHCCISD,State Representative,18,LIB,Seth Steele,37,2,17,18,0,0
Hunt,3 - WHCCISD,"Justice, 9th Court of Appeals District, Place 3",3,REP,Leanne Johnson,427,9,238,180,0,0
Hunt,3 - WHCCISD,"Justice, 9th Court of Appeals District, Place 4",4,REP,Kent Chambers,422,9,234,179,0,0
Hunt,3 - WHCCISD,"District Judge, 88th Judicial District",,REP,Earl B. Stover III,427,9,238,180,0,0
