county,office,district,candidate,incumbent,party,votes,pct
ARANSAS,State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,69,6.06
ARANSAS,State Senator,18  Unexpired Term,Gary Gates,False,REP,502,44.11
ARANSAS,State Senator,18  Unexpired Term,Charles Gregory,False,REP,34,2.99
ARANSAS,State Senator,18  Unexpired Term,Christian E. Hawkins,False,DEM,40,3.51
ARANSAS,State Senator,18  Unexpired Term,Lois W. Kolkhorst,False,REP,493,43.32
ARANSAS,State Senator,18  Unexpired Term,Total,,,1138,
AUSTIN,State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,44,1.39
AUSTIN,State Senator,18  Unexpired Term,Gary Gates,False,REP,600,18.96
AUSTIN,State Senator,18  Unexpired Term,Charles Gregory,False,REP,25,0.79
AUSTIN,State Senator,18  Unexpired Term,Christian E. Hawkins,False,DEM,60,1.90
AUSTIN,State Senator,18  Unexpired Term,Lois W. Kolkhorst,False,REP,2435,76.96
AUSTIN,State Senator,18  Unexpired Term,Total,,,3164,
BURLESON,State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,51,4.91
BURLESON,State Senator,18  Unexpired Term,Gary Gates,False,REP,259,24.95
BURLESON,State Senator,18  Unexpired Term,Charles Gregory,False,REP,4,0.39
BURLESON,State Senator,18  Unexpired Term,Christian E. Hawkins,False,DEM,28,2.70
BURLESON,State Senator,18  Unexpired Term,Lois W. Kolkhorst,False,REP,696,67.05
BURLESON,State Senator,18  Unexpired Term,Total,,,1038,
CALHOUN,State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,61,7.38
CALHOUN,State Senator,18  Unexpired Term,Gary Gates,False,REP,398,48.18
CALHOUN,State Senator,18  Unexpired Term,Charles Gregory,False,REP,11,1.33
CALHOUN,State Senator,18  Unexpired Term,Christian E. Hawkins,False,DEM,35,4.24
CALHOUN,State Senator,18  Unexpired Term,Lois W. Kolkhorst,False,REP,321,38.86
CALHOUN,State Senator,18  Unexpired Term,Total,,,826,
COLORADO,State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,23,1.84
COLORADO,State Senator,18  Unexpired Term,Gary Gates,False,REP,302,24.22
COLORADO,State Senator,18  Unexpired Term,Charles Gregory,False,REP,5,0.40
COLORADO,State Senator,18  Unexpired Term,Christian E. Hawkins,False,DEM,30,2.41
COLORADO,State Senator,18  Unexpired Term,Lois W. Kolkhorst,False,REP,887,71.13
COLORADO,State Senator,18  Unexpired Term,Total,,,1247,
DEWITT,State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,38,3.74
