county,office,district,candidate,incumbent,party,votes,pct
AUSTIN,State Representative,13,Becky Berger,False,REP,195,8.23
AUSTIN,State Representative,13,Carolyn Cerny Bilski,False,REP,1293,54.58
AUSTIN,State Representative,13,Leighton Schubert,False,REP,736,31.07
AUSTIN,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,145,6.12
AUSTIN,State Representative,13,Total,,,2369,
BURLESON,State Representative,13,Becky Berger,False,REP,28,2.80
BURLESON,State Representative,13,Carolyn Cerny Bilski,False,REP,78,7.80
BURLESON,State Representative,13,Leighton Schubert,False,REP,749,74.90
BURLESON,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,145,14.50
BURLESON,State Representative,13,Total,,,1000,
COLORADO,State Representative,13,Becky Berger,False,REP,51,7.11
COLORADO,State Representative,13,Carolyn Cerny Bilski,False,REP,465,64.85
COLORADO,State Representative,13,Leighton Schubert,False,REP,104,14.50
COLORADO,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,97,13.53
COLORADO,State Representative,13,Total,,,717,
FAYETTE,State Representative,13,Becky Berger,False,REP,290,18.88
FAYETTE,State Representative,13,Carolyn Cerny Bilski,False,REP,597,38.87
FAYETTE,State Representative,13,Leighton Schubert,False,REP,374,24.35
FAYETTE,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,275,17.90
FAYETTE,State Representative,13,Total,,,1536,
GRIMES,State Representative,13,Becky Berger,False,REP,128,15.48
GRIMES,State Representative,13,Carolyn Cerny Bilski,False,REP,313,37.85
GRIMES,State Representative,13,Leighton Schubert,False,REP,204,24.67
GRIMES,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,182,22.01
GRIMES,State Representative,13,Total,,,827,
LAVACA,State Representative,13,Becky Berger,False,REP,203,26.82
LAVACA,State Representative,13,Carolyn Cerny Bilski,False,REP,371,49.01
LAVACA,State Representative,13,Leighton Schubert,False,REP,113,14.93
LAVACA,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,70,9.25
LAVACA,State Representative,13,Total,,,757,
WASHINGTON,State Representative,13,Becky Berger,False,REP,181,6.62
WASHINGTON,State Representative,13,Carolyn Cerny Bilski,False,REP,1202,43.98
WASHINGTON,State Representative,13,Leighton Schubert,False,REP,979,35.82
WASHINGTON,State Representative,13,"Cecil R. Webster, Sr.",False,DEM,371,13.57
WASHINGTON,State Representative,13,Total,,,2733,
