county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,U. S. Senator,,John Cornyn,True,REP,7791,76.88
ANDERSON,U. S. Senator,,David M. Alameel,False,DEM,2017,19.90
ANDERSON,U. S. Senator,,Rebecca Paddock,False,LIB,250,2.47
ANDERSON,U. S. Senator,,"Emily ""Spicybrown"" Sanchez",False,GRN,74,0.73
ANDERSON,U. S. Senator,,Mohammed Tahiro,False,WI,2,0.02
ANDERSON,U. S. Senator,,Total,,,10134,
ANDERSON,U. S. Representative,5,Jeb Hensarling,True,REP,8016,89.13
ANDERSON,U. S. Representative,5,Ken Ashby,False,LIB,978,10.87
ANDERSON,U. S. Representative,5,Total,,,8994,
ANDERSON,Governor,,Greg Abbott,False,REP,7732,75.71
ANDERSON,Governor,,Wendy R. Davis,False,DEM,2286,22.38
ANDERSON,Governor,,Kathie Glass,False,LIB,141,1.38
ANDERSON,Governor,,Brandon Parmer,False,GRN,54,0.53
ANDERSON,Governor,,Sarah M. Pavitt,False,WI,0,0.00
ANDERSON,Governor,,Total,,,10213,
ANDERSON,Lieutenant Governor,,Dan Patrick,False,REP,7659,75.27
ANDERSON,Lieutenant Governor,,Leticia Van de Putte,False,DEM,2215,21.77
ANDERSON,Lieutenant Governor,,Robert D. Butler,False,LIB,251,2.47
ANDERSON,Lieutenant Governor,,Chandrakantha Courtney,False,GRN,50,0.49
ANDERSON,Lieutenant Governor,,Total,,,10175,
ANDERSON,Attorney General,,Ken Paxton,False,REP,7686,75.70
ANDERSON,Attorney General,,Sam Houston,False,DEM,2244,22.10
ANDERSON,Attorney General,,Jamie Balagia,False,LIB,181,1.78
ANDERSON,Attorney General,,Jamar Osborne,False,GRN,42,0.41
ANDERSON,Attorney General,,Total,,,10153,
ANDERSON,Comptroller of Public Accounts,,Glenn Hegar,False,REP,7463,74.24
ANDERSON,Comptroller of Public Accounts,,Mike  Collier,False,DEM,2251,22.39
ANDERSON,Comptroller of Public Accounts,,Ben Sanders,False,LIB,269,2.68
ANDERSON,Comptroller of Public Accounts,,Deb Shafto,False,GRN,70,0.70
ANDERSON,Comptroller of Public Accounts,,Total,,,10053,
ANDERSON,Commissioner of the General Land Office,,George P. Bush,False,REP,7550,74.37
ANDERSON,Commissioner of the General Land Office,,John Cook,False,DEM,2230,21.97
ANDERSON,Commissioner of the General Land Office,,Justin Knight,False,LIB,293,2.89
ANDERSON,Commissioner of the General Land Office,,Valerie Alessi,False,GRN,79,0.78
ANDERSON,Commissioner of the General Land Office,,Total,,,10152,
ANDERSON,Commissioner of Agriculture,,Sid Miller,False,REP,7390,73.41
ANDERSON,Commissioner of Agriculture,,Jim Hogan,False,DEM,2315,23.00
ANDERSON,Commissioner of Agriculture,,David (Rocky) Palmquist,False,LIB,226,2.24
ANDERSON,Commissioner of Agriculture,,Kenneth Kendrick,False,GRN,136,1.35
ANDERSON,Commissioner of Agriculture,,Total,,,10067,
ANDERSON,Railroad Commissioner,,Ryan Sitton,False,REP,7404,73.49
ANDERSON,Railroad Commissioner,,Steve  Brown,False,DEM,2221,22.04
ANDERSON,Railroad Commissioner,,Mark A. Miller,False,LIB,350,3.47
ANDERSON,Railroad Commissioner,,Martina Salinas,False,GRN,100,0.99
ANDERSON,Railroad Commissioner,,Total,,,10075,
ANDERSON,"Chief Justice, Supreme Court",,Nathan Hecht,True,REP,7494,74.47
ANDERSON,"Chief Justice, Supreme Court",,William Moody,False,DEM,2258,22.44
ANDERSON,"Chief Justice, Supreme Court",,Tom Oxford,False,LIB,311,3.09
ANDERSON,"Chief Justice, Supreme Court",,Total,,,10063,
ANDERSON,Justice Supreme Court,6  Unexpired Term,Jeff Brown,True,REP,7606,75.60
ANDERSON,Justice Supreme Court,6  Unexpired Term,Lawrence Edward Meyers,False,DEM,2138,21.25
ANDERSON,Justice Supreme Court,6  Unexpired Term,Mark Ash,False,LIB,317,3.15
ANDERSON,Justice Supreme Court,6  Unexpired Term,Total,,,10061,
ANDERSON,Justice Supreme Court,7,Jeff Boyd,True,REP,7572,75.37
ANDERSON,Justice Supreme Court,7,Gina Benavides,False,DEM,2129,21.19
ANDERSON,Justice Supreme Court,7,Don Fulton,False,LIB,294,2.93
ANDERSON,Justice Supreme Court,7,Charles E. Waterbury,False,GRN,51,0.51
ANDERSON,Justice Supreme Court,7,Total,,,10046,
ANDERSON,Justice Supreme Court,8,Phil Johnson,True,REP,7847,88.59
ANDERSON,Justice Supreme Court,8,RS Roberto Koelsch,False,LIB,666,7.52
ANDERSON,Justice Supreme Court,8,Jim Chisolm,False,GRN,345,3.89
ANDERSON,Justice Supreme Court,8,Total,,,8858,
ANDERSON,Judge Court of Criminal Appeals,3,Bert Richardson,False,REP,7476,74.30
ANDERSON,Judge Court of Criminal Appeals,3,John Granberg,False,DEM,2152,21.39
ANDERSON,Judge Court of Criminal Appeals,3,Mark W. Bennett,False,LIB,434,4.31
ANDERSON,Judge Court of Criminal Appeals,3,Total,,,10062,
ANDERSON,Judge Court of Criminal Appeals,4,Kevin Patrick Yeary,False,REP,7613,85.53
ANDERSON,Judge Court of Criminal Appeals,4,Quanah Parker,False,LIB,1021,11.47
ANDERSON,Judge Court of Criminal Appeals,4,Judith SandersCastro,False,GRN,267,3.00
ANDERSON,Judge Court of Criminal Appeals,4,Total,,,8901,
ANDERSON,Judge Court of Criminal Appeals,9,David Newell,False,REP,7814,88.15
ANDERSON,Judge Court of Criminal Appeals,9,"William Bryan Strange, III",False,LIB,828,9.34
ANDERSON,Judge Court of Criminal Appeals,9,George Joseph Altgelt,False,GRN,222,2.50
ANDERSON,Judge Court of Criminal Appeals,9,Total,,,8864,
ANDERSON,State Senator,3,Robert Nichols,True,REP,7946,88.62
ANDERSON,State Senator,3,J. Tyler Lindsey,False,LIB,1020,11.38
ANDERSON,State Senator,3,Total,,,8966,
ANDERSON,State Representative,8,Byron Cook,True,REP,7853,87.02
ANDERSON,State Representative,8,John Wilford,False,LIB,1171,12.98
ANDERSON,State Representative,8,Total,,,9024,
ANDERSON,"Chief Justice, 12th Court of Appeals District",,Jim Worthen,True,REP,8132,100.00
ANDERSON,"Chief Justice, 12th Court of Appeals District",,Total,,,8132,
ANDERSON,District Judge,87th Judicial District,Deborah Oakes Evans,True,REP,8226,100.00
ANDERSON,District Judge,87th Judicial District,Total,,,8226,
ANDERSON,District Judge,369th Judicial District,"Bascom W. Bentley, III",True,REP,8222,100.00
ANDERSON,District Judge,369th Judicial District,Total,,,8222,
ANDERSON,Criminal,Attorney Anderson County,Allyson Mitchell,False,REP,8281,100.00
ANDERSON,Criminal,Attorney Anderson County,Total,,,8281,
ANDERSON,Prop 1 Use and dedication of money transferred to the state highway fund,,IN FAVOR,,,6338,76.89
ANDERSON,Prop 1 Use and dedication of money transferred to the state highway fund,,AGAINST,,,1905,23.11
ANDERSON,Prop 1 Use and dedication of money transferred to the state highway fund,,Total,,,8243,
ANDREWS,U. S. Senator,,John Cornyn,True,REP,1943,88.60
ANDREWS,U. S. Senator,,David M. Alameel,False,DEM,178,8.12
ANDREWS,U. S. Senator,,Rebecca Paddock,False,LIB,50,2.28
ANDREWS,U. S. Senator,,"Emily ""Spicybrown"" Sanchez",False,GRN,22,1.00
ANDREWS,U. S. Senator,,Mohammed Tahiro,False,WI,0,0.00
