office,district,candidate,incumbent,party,votes,pct
State Senator,18  Unexpired Term,Cindy Drabek,False,DEM,1893,4.81
State Senator,18  Unexpired Term,Gary Gates,False,REP,13439,34.15
State Senator,18  Unexpired Term,Charles Gregory,False,REP,779,1.98
State Senator,18  Unexpired Term,Christian E. Hawkins,False,DEM,1280,3.25
State Senator,18  Unexpired Term,Lois W. Kolkhorst,False,REP,21961,55.81
State Senator,18  Unexpired Term,Total,,,39352,
