office,district,candidate,incumbent,party,votes,pct
State Senator,4,Gordy Bunch,False,REP,6618,21.81
State Senator,4,Brandon Creighton,False,REP,13716,45.20
State Senator,4,Michael  Galloway,False,REP,2818,9.29
State Senator,4,Steve Toth,False,REP,7196,23.71
State Senator,4,Total,,,30348,
