office,district,candidate,incumbent,party,votes,pct
U. S. Representative,19  Unexpired Term,Richard  Bartlett,False,REP,1046,1.79
U. S. Representative,19  Unexpired Term,John D. Bell,False,REP,1883,3.23
U. S. Representative,19  Unexpired Term,Jamie Berryhill,False,REP,1907,3.27
U. S. Representative,19  Unexpired Term,William M. (Bill) Christian,False,REP,1029,1.76
U. S. Representative,19  Unexpired Term,Mike Conaway,False,REP,12270,21.02
U. S. Representative,19  Unexpired Term,Thomas Flournoy,False,CON,93,0.16
U. S. Representative,19  Unexpired Term,Kaye Gaddy,False,DEM,1396,2.39
U. S. Representative,19  Unexpired Term,"E.L. ""Ed"" Hicks",False,IND,81,0.14
U. S. Representative,19  Unexpired Term,Carl H. Isett,False,REP,11015,18.87
U. S. Representative,19  Unexpired Term,David R. Langston,False,REP,8053,13.80
U. S. Representative,19  Unexpired Term,Donald May,False,REP,629,1.08
U. S. Representative,19  Unexpired Term,Randy Neugebauer,False,REP,13091,22.43
U. S. Representative,19  Unexpired Term,Julia Penelope,False,GRN,223,0.38
U. S. Representative,19  Unexpired Term,Richard (Chip) Peterson,False,LIB,159,0.27
U. S. Representative,19  Unexpired Term,Jerri SimmonsAsmussen,False,DEM,898,1.54
U. S. Representative,19  Unexpired Term,Vickie Sutton,False,REP,1987,3.40
U. S. Representative,19  Unexpired Term,Stace Williams,False,REP,2609,4.47
U. S. Representative,19  Unexpired Term,Total,,,58369,
